"rca","Sistema Eléctrico","estado","Comuna","nombre","Combustible","Potencia MW","Unidades","Coordenada Norte","Uso","Región","Provincia","Propietario","Coordenada Este","Datum"
"RCA 004/1995 RCA 044/2014 RCA 049/2004 RCA 249/2008 RCA 056/2006 RCA 068/2006 RCA 175/2006","SIC","EN OPERACION","HUASCO","GUACOLDA","CARBON","610,00","4","278994,83","19","III REGION DE ATACAMA","HUASCO","GUACOLDA","278994,83","WGS/84"
"SIN RCA","SIC","EN OPERACION","HUASCO","HUASCO","IFO 180","91,80","5","279459,19","19","III REGION DE ATACAMA","HUASCO","ENDESA","279459,19","WGS/84"
"SIN RCA","SIC","EN OPERACION","LONQUIMAY","LONQUIMAY","DIESEL","1,65","2","288311,64","19","IX REGION DE LA ARAUCANIA","MALLECO","SAGESA","288311,64","WGS/84"
"RCA 58/2002","SIC","EN OPERACION","CASABLANCA","TAPIHUE","GAS NATURAL","6,40","2","277557,01","19","V REGION DE VALPARAISO","VALPARAISO","TECNORED","277557,01","WGS/84"
"RCA 922/2008","SIC","EN OPERACION","QUINTERO","QUINTERO","GNL","289,78","2","267224,51","19","V REGION DE VALPARAISO","VALPARAISO","ENDESA","267224,51","WGS/84"
"RCA 275/10","SIC","EN OPERACION","PUCHUNCAVI","CENTRAL CAMPICHE","VAPOR/CARBON","272,00","1","267333,89","19","V REGION DE VALPARAISO","VALPARAISO","AES GENER","267333,89","WGS/84"
"RCA 1785/2007","SIC","EN OPERACION","PICHIDEGUA","LAS PAMPAS","NO CLASIFICADO","0,40","1","278453,70","19","VI REGION DEL LIBERTADOR BERNARDO O'HIGGINS","CACHAPOAL","BIO ENERGIA SANTA IRENE SPA","278453,70","WGS/84"
"SIN RCA","SIC","EN OPERACION","PUCHUNCAVI","VENTANAS","CARBON","333,50","2","267341,50","19","V REGION DE VALPARAISO","VALPARAISO","AES GENER","267341,50","WGS/84"
"RCA 34/2008","SIC","EN OPERACION","TENO","TENO","DIESEL","53,57","36","304181,72","19","VII REGION DEL MAULE","CURICO","ENLASA","304181,72","WGS/84"
"RCA 67/2000 / RCA 124/2000 - RCA 109/1998","SIC","EN OPERACION","TALTAL","TALTAL","DIESEL","240,00","2","352042,00","19","II REGION DE ANTOFAGASTA","ANTOFAGASTA","ENDESA","352042,00","WGS/84"
"RCA 161/2008","SIC","EN OPERACION","DIEGO DE ALMAGRO","SAN LORENZO DE D. DE ALMAGRO","DIESEL","55,84","2","396462,18","19","III REGION DE ATACAMA","CHANARAL","ENLASA","396462,18","WGS/84"
"RCA 86/5/03-2008 - RCA 14/2010","SIC","EN OPERACION","LOS VILOS","OLIVOS","DIESEL","120,12","60","265862,84","19","IV REGION DE COQUIMBO","CHOAPA","POTENCIA CHILE","265862,84","WGS/84"
"RCA 007/1996 / RCA 123/2003 RCA 323/2005 - RCA 173/2010","SIC","EN OPERACION","RENCA","NUEVA RENCA","DIESEL","800,00","4","343145,27","19","XIII REGION METROPOLITANA DE SANTIAGO","SANTIAGO","AES GENER","343145,27","WGS/84"
"RCA 83/4/03-2008 - RCA 7/2009","SIC","EN OPERACION","LOS VILOS","LOS ESPINOS","DIESEL","136,96","80","268119,92","19","IV REGION DE COQUIMBO","CHOAPA","LOS ESPINOS","268119,92","WGS/84"
"RCA 007/2003","SIC","EN OPERACION","VALPARAISO","LAGUNA VERDE","DIESEL","66,30","2","250143,44","19","V REGION DE VALPARAISO","VALPARAISO","AES GENER","250143,44","WGS/84"
