"rca","Sistema Eléctrico","estado","Comuna","nombre","Combustible","Potencia MW","Unidades","Coordenada Norte","Uso","Región","Provincia","Propietario","Coordenada Este","Datum"
"S/I","SING","EN OPERACION","IQUIQUE","DIESEL IQUIQUE","DIESEL + FUEL OIL","43,01","8","381139,00","19","I REGION DE TARAPACA","IQUIQUE","E/CL","381139,00","WGS/84"
"S/I","SING","EN OPERACION","ANTOFAGASTA","DIESEL MANTOS BLANCOS","DIESEL + FUEL OIL","28,64","10","391672,00","19","II REGION DE ANTOFAGASTA","ANTOFAGASTA","MINERA MANTOS BLANCOS","391672,00","WGS/84"
"S/I","SING","EN OPERACION","TOCOPILLA","DIESEL TAMAYA","FUEL OIL NRO. 6","103,70","10","387619,00","19","II REGION DE ANTOFAGASTA","TOCOPILLA","E/CL","387619,00","WGS/84"
"S/I","SING","EN OPERACION","IQUIQUE","DIESEL ZOFRI","DIESEL","6,10","6","381945,00","19","I REGION DE TARAPACA","IQUIQUE","ENOR CHILE S.A.","381945,00","WGS/84"
"S/I","SING","EN OPERACION","IQUIQUE","ESTANDARTES","DIESEL","4,80","6","381980,00","19","I REGION DE TARAPACA","IQUIQUE","ENOR CHILE S.A.","381980,00","WGS/84"
"S/I","SING","EN OPERACION","MEJILLONES","PLANTA DE ACIDO SULFURICO MEJILLONES","COGENERACION","17,50","1","355407,00","19","II REGION DE ANTOFAGASTA","ANTOFAGASTA","NORACID","355407,00","WGS/84"
"S/I","SING","EN OPERACION","MEJILLONES","TERMOELECTRICA ANDINA","CARBON","168,80","1","355297,00","19","II REGION DE ANTOFAGASTA","ANTOFAGASTA","ANDINA","355297,00","WGS/84"
"S/I","SING","EN OPERACION","MEJILLONES","TERMOELECTRICA ANGAMOS","CARBON","545,00","2","360272,00","19","II REGION DE ANTOFAGASTA","ANTOFAGASTA","ANGAMOS","360272,00","WGS/84"
"S/I","SING","EN OPERACION","MEJILLONES","TERMOELECTRICA HORNITOS","CARBON","170,10","1","353500,00","19","II REGION DE ANTOFAGASTA","ANTOFAGASTA","HORNITOS","353500,00","WGS/84"
"S/I","SING","EN OPERACION","MEJILLONES","TERMOELECTRICA MEJILLONES","CARBON/GAS NATURAL","591,70","3","355313,00","19","II REGION DE ANTOFAGASTA","ANTOFAGASTA","E/CL","355313,00","WGS/84"
