"Nombre Central","Latitud","Longitud","Altitud","-"
"Hidrobonito_MC2","-40.9177913311206","-72.4036483550277","0.0",""
"Horcones TG","-37.2118009390684","-73.2167423436224","0.0",""
"Hornitos","-32.9005715655295","-70.2633388466055","0.0",""
"Huasco TG","-28.470740373289","-71.2525818540662","0.0",""
"Isla","-35.8104223898976","-70.8356951953472","0.0",""
"JCE","-37.5332453172887","-72.2228490037609","0.0",""
"Juncal","-32.901102877214","-70.2696545711812","0.0",""
"Juncalito","-32.901102877214","-70.2696545711812","0.0",""
"La Arena","-41.6812577082676","-72.6455197082941","0.0",""
"La Confluencia","-34.8334610257909","-70.5537124386856","0.0",""
"La Higuera","-34.751540191071","-70.7143374837938","0.0",""
"La Paloma","-30.7003911310278","-71.0372659989648","0.0",""
"Laguna Verde","-33.1031551685741","-71.6771635899642","0.0",""
"Laguna Verde TG","-33.1031551685741","-71.6771635899642","0.0",""
"Laja","-37.1690292624674","-72.4086753366685","0.0",""
"Laja 1 (**)","-37.244097","-72.530241","0.0",""
"Lalackama","-25.1207651232806","-70.3109855626529","0.0",""
"Las Flores","-40.1363","-72.39609","0.0",""
"Las Pampas","-34.3676277845985","-71.4092114699036","0.0",""
"Las Vegas","-32.8428472422577","-71.0114885556599","0.0",""
"Las Vertientes","-33.5927130775727","-70.4695731151352","0.0",""
"Lautaro","-38.5418527539513","-72.4674285282293","0.0",""
"Lautaro II","-38.5406789316668","-72.4681950981276","0.0",""
"Lebu","-37.615372612997","-73.6693727567786","0.0",""
"Licán","-40.6180008987392","-72.4013998175793","0.0",""
"Licanten","-34.9881912356543","-72.0199378073674","0.0",""
"Linares Norte","-35.8267350048531","-71.6439726234521","0.0",""
"Lircay","-35.5372508126035","-71.261355265074","0.0",""
"Lleuquereo","-37.5666850266768","-71.5241369611172","0.0",""
"Loma Alta","-35.790864595474","-70.9821703254855","0.0",""
"Loma Los Colorados (KDM)","-32.9556867346079","-70.8043465143218","0.0",""
"Loma Los Colorados II","-32.9567027221949","-70.8045936458264","0.0",""
"Lonquimay","-38.5527653049048","-71.4292873001287","0.0",""
"Los Alamos","-37.6257277826394","-73.4179777336724","0.0",""
"Los Bajos","-33.6352392592595","-70.594710045705","0.0",""
"Los Colonos","-40.984871","-72.886093","0.0",""
"Los Corrales","-40.6471725243253","-72.3148132427656","0.0",""
"Los Corrales 2","-40.6412350397162","-72.3143537109245","0.0",""
"Los Espinos","-31.8830065371531","-71.4503012014069","0.0",""
"Los Hierros 2","-35.8397902255674","-71.0788821184252","0.0",""
"Los Hierros(**)","-35.8578068778988","-71.0638943696007","0.0",""
"Los Molles","-30.7446622198713","-70.5875061434532","0.0",""
"Los Morros","-33.6481871337965","-70.6566213303283","0.0",""
"Los Padres","-37.5283279741419","-71.7059175297182","0.0",""
"Los Pinos","-37.0854357281189","-72.3247443842793","0.0",""
"Los Quilos","-32.8664931565624","-70.4079816060457","0.0",""
"Los Sauces II","-37.9658460870347","-72.8268670115531","0.0",""
"Los Vientos","-32.8438607885246","-71.0128466258599","0.0",""
"Lousiana Pacific","-39.5609561453535","-72.4743034635263","0.0",""
"Lousiana Pacific II","-38.5417609988748","-72.4699300645055","0.0",""
"Machicura","-35.7324308155501","-71.3979441374956","0.0",""
"Maisan","-38.973982","-72.647032","0.0",""
"Maitenes","-33.5306985471853","-70.2616705543541","0.0",""
"Mallarauco","-33.5873943408899","-71.0044217919013","0.0",""
"Mampil","-37.5403667692526","-71.7098204004378","0.0",""
"María Elena","-40.7719411230652","-72.4875222510406","0.0",""
"Mariposas","-35.596052383828","-71.2641676842899","0.0",""
"Masisa","-37.0455496686184","-72.4000860873531","0.0",""
"Maule","-35.3601508121215","-72.4065551695749","0.0",""
"Monte Patria","-30.6967832899834","-70.9490955822948","0.0",""
"Monte Redondo","-31.0773270089841","-71.6578260618966","0.0",""
"Muchi","-40.3167740763719","-72.2272611451807","0.0",""
"MultiExport I","-41.4678170205108","-72.9738489521726","0.0",""
"MultiExport II","-41.4672652350402","-72.9758519771639","0.0",""
