NOTE: This Power Watch database of power plants is currently in draft status and not yet published. Please do not reference or cite the data as basis for research or publications until the data is officially published.
name,pw_idnr,capacity_mw,year_of_capacity_data,annual_generation_gwh,year_of_generation_data,country,owner,source,url,latitude,longitude,fuel1,fuel2,fuel3,fuel4
Roxwell Landfill Scheme,GBR0000791,1.3,2016,None,None,United Kingdom,Redland Aggregates Ltd (Lafarge Redland),Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;https://www.gov.uk/government/collections/renewable-energy-planning-data,51.7631471496,0.405510873488,Waste
Norlands Lane Landfill Site (Extension),GBR0000790,4.0,2016,None,None,United Kingdom,Thames Waste Management Ltd,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;https://www.gov.uk/government/collections/renewable-energy-planning-data,51.4115489525,-0.513941617113,Waste
Point Wind / Beinn Ghrideag Farm,GBR0004272,9.0,2016,None,None,United Kingdom,Point Power & Energy Ltd / SgurrEnergy,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;https://www.gov.uk/government/collections/renewable-energy-planning-data,58.2437077663,-6.16348794312,Wind
Drummond Moor Landfill,GBR0000799,2.0,2016,None,None,United Kingdom,Waste Recycling Group,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;https://www.gov.uk/government/collections/renewable-energy-planning-data,55.8822462881,-3.07737841266,Waste
Dorket Head,GBR0000798,2.8,2016,None,None,United Kingdom,Waste Recycling Group,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;https://www.gov.uk/government/collections/renewable-energy-planning-data,53.0214966696,-1.11442645097,Waste
Brigg Renewable Energy Plant (Re-submission),GBR0000150,40.0,2016,None,None,United Kingdom,Eco2,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;https://www.gov.uk/government/collections/renewable-energy-planning-data,53.5423279746,-0.509609103271,Biomass
Ld NW Of Ratcliffe House Farm,GBR0005305,3.5,2016,None,None,United Kingdom,Lightsource Renewable Energy,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;https://www.gov.uk/government/collections/renewable-energy-planning-data,52.5945597689,-1.50789251163,Solar
Markinch Biomass CHP Plant,GBR0000155,65.0,2016,None,None,United Kingdom,RWE,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;https://www.gov.uk/government/collections/renewable-energy-planning-data,56.2011804139,-3.16225502069,Biomass
Land East Of Honeysome Road,GBR0005302,4.6,2016,None,None,United Kingdom,Honeysome Road Solar,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;https://www.gov.uk/government/collections/renewable-energy-planning-data,52.4568926761,0.0393308937098,Solar
Land at Woodhouse Farm,GBR0005309,5.0,2016,None,None,United Kingdom,Lightsource Renewable Energy,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;https://www.gov.uk/government/collections/renewable-energy-planning-data,54.5349916076,-1.07577322241,Solar
