NOTE: This Power Watch database of power plants is currently in draft status and not yet published. Please do not reference or cite the data as basis for research or publications until the data is officially published.
name,pw_idnr,capacity_mw,year_of_capacity_data,country,owner,source,url,latitude,longitude,fuel1,fuel2,fuel3,fuel4,generation_gwh_2012,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016
CPI Chifeng Daban power station,SRCWT0000363,1200.0,2017,China,Mengdong Energy Group,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,43.5895845,118.7114382,Coal,,,,,,,,
CPI Huolinhe power station,SRCWT0000364,1200.0,2017,China,China Power International Development Ltd,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,45.4613347,119.5376873,Coal,,,,,,,,
CPI Linhe power station,SRCWT0000519,700.0,2017,China,CPI Ningxia Energy Aluminum,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,38.35,106.413,Coal,,,,,,,,
CPI Nanyang power station,SRCWT0000247,420.0,2017,China,CPI Henan Electric Power Co,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,33.0306757,112.5106333,Coal,,,,,,,,
CPI Pingwei power station,SRCWT0000006,4480.0,2017,China,China Power International Development Ltd and China Power Intl Dev Ltd,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,32.68417,116.901389,Coal,,,,,,,,
CPI Qinghe power station,SRCWT0000505,1600.0,2017,China,CPI Northeast Power Co. and China Power International Development Limited,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,42.5305787,124.1402779,Coal,,,,,,,,
CPI Shanxi Houma power station,SRCWT0000599,700.0,2017,China,China Power Investment Corp and Zhangze Power,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,35.6080565,111.3693779,Coal,,,,,,,,
CPI Shentou power station,SRCWT0000600,1320.0,2017,China,China Power Intl Dev Ltd,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,39.550981,112.488736,Coal,,,,,,,,
CPI Wusu power station,SRCWT0000651,600.0,2017,China,CPI Xinjiang Energy Chemistry Group Co,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,44.4363462,84.7604549,Coal,,,,,,,,
CPI Xinchang power station,SRCWT0000479,1400.0,2017,China,China Power Investment Corp,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,28.8613,115.97585,Coal,,,,,,,,
CPI Xining power station,SRCWT0000532,1320.0,2017,China,Yellow River Upper Stream Hydropower Development Co.,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,36.584279,101.493067,Coal,,,,,,,,
Cangzhou Bohai power station,SRCWT0000183,700.0,2017,China,China Resources Power Holdings,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,38.412,117.659,Coal,,,,,,,,
Cangzhou power station,SRCWT0000184,660.0,2017,China,China Resources Power Holdings,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,38.366422,116.8167846,Coal,,,,,,,,
Caofeidian Works power station,SRCWT0000185,600.0,2017,China,Shougang Jingtang Iron & Steel,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,38.9440646,118.4930691,Coal,,,,,,,,
Castle Peak power station,SRCWT0000312,4108.0,2017,China,Castle Peak Power Co,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,22.3750979,113.9205405,Coal,,,,,,,,
Changji Fukang power station,SRCWT0000650,270.0,2017,China,Huaneng Xinjiang Energy Dev Co,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,44.1419432,88.0164099,Coal,,,,,,,,
Changshu-2 power station,SRCWT0000424,1950.0,2017,China,China Resources Power Holdings,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,31.7577639,120.9781303,Coal,,,,,,,,
Changxing Island Hengli Petrochemical power station,SRCWT0000503,120.0,2017,China,Changxing Island Hengli Petrochemical (Dalian) Co.,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,39.594,121.448,Coal,,,,,,,,
Changzhi power station,SRCWT0000598,660.0,2017,China,Guodian Shanxi Branch Co.,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,36.195,113.116,Coal,,,,,,,,
Chaoyang Yanshanhu power station,SRCWT0000504,1200.0,2017,China,CPI Northeast Power Co.,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,41.5232906,120.366742,Coal,,,,,,,,
Chaozhou Sanbaimen power station,SRCWT0000087,3200.0,2017,China,Datang International Power Generation Co and Datang Intl Power Gen Co,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,23.56645,117.0972,Coal,,,,,,,,
Chengdu Jintang power station,SRCWT0000636,1200.0,2017,China,Guodian Chengdu Jintang Power,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,30.7056052,104.5803369,Coal,,,,,,,,
Chifeng Meiganshi power station,SRCWT0000360,270.0,2017,China,China Power Investment Corp,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,42.2885488,119.0522472,Coal,,,,,,,,
Chifeng Yuanbaoshan power station,SRCWT0000361,2100.0,2017,China,China Power Investment Corp,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,42.303333,119.324167,Coal,,,,,,,,
China Resources Caofeidian power station,SRCWT0000186,600.0,2017,China,China Resources Power Holdings,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,38.9960653,118.4875488,Coal,,,,,,,,
China Resources Dengkou power station,SRCWT0000362,660.0,2017,China,China Resources Power Holdings,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,40.3837469,107.0038426,Coal,,,,,,,,
China Resources Gucheng power station,SRCWT0000245,600.0,2017,China,China Resources Power Holdings,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,32.8720994,114.0435684,Coal,,,,,,,,
China Resources Xingning power station,SRCWT0000088,270.0,2017,China,China Resources Power Holdings,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,24.283019,115.7057154,Coal,,,,,,,,
Chiping Haoji power station,SRCWT0000557,1400.0,2017,China,Chiping Xinyuan Aluminum,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,36.4873847,116.3332415,Coal,,,,,,,,
Chizhou Jiuhua power station,SRCWT0000005,600.0,2017,China,China Shenhua Energy Co Ltd,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,30.7531097,117.5906618,Coal,,,,,,,,
Chongqing Baihe power station,SRCWT0000037,700.0,2017,China,China Power Investment Corp,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,31.269167,108.456944,Coal,,,,,,,,
Chongqing Longqiao power station,SRCWT0000038,300.0,2017,China,China Sinogy Elec Engrg Corp,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,29.7070772,107.3033145,Coal,,,,,,,,
Chongqing Qineng power station,SRCWT0000039,660.0,2017,China,Chongqing Qineng Elec & Alumn,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,29.157,107.099,Coal,,,,,,,,
Chongqing Shizhu power station,SRCWT0000040,700.0,2017,China,Datang Intl Power Gen Co,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,30.3899703,108.2202055,Coal,,,,,,,,
Chongqing Shuanghuai power station,SRCWT0000041,1920.0,2017,China,Chongqing Hechuan Power Generation Co and Chongqing Hechuan Power Gen Co,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,30.1611074,106.5480599,Coal,,,,,,,,
Dafang power station,SRCWT0000155,1200.0,2017,China,Guizhou Dafang Power company,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,27.1006457,105.5657641,Coal,,,,,,,,
Daihai power station,SRCWT0000365,2400.0,2017,China,Beijing Energy Investment Holding,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,40.5196746,112.6677248,Coal,,,,,,,,
Dalate power station,SRCWT0000366,3180.0,2017,China,North United Power Co Ltd,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,40.36695,109.99604,Coal,,,,,,,,
Dalian Ganjingzi power station,SRCWT0000506,600.0,2017,China,CPI Northeast Power Co.,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,39.02636,121.55016,Coal,,,,,,,,
Dandong Jinshan power station,SRCWT0000507,600.0,2017,China,China Huadian Group Corp,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,40.10626,124.31927,Coal,,,,,,,,
Daqing Ethylene Plant power station,SRCWT0000225,320.0,2017,China,Daqing Petroleum Group,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,46.4451952,125.2241767,Coal,,,,,,,,
Daqing Oil Central power station,SRCWT0000226,500.0,2017,China,Daqing Petroleum Group,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,46.548836,125.073801,Coal,,,,,,,,
Daqing power station,SRCWT0000227,600.0,2017,China,Daqing Petroleum Group,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,46.5528282,125.0739301,Coal,,,,,,,,
Datang 803 power station,SRCWT0000062,50.0,2017,China,Datang 803 Power Plant,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,40.208093,97.359004,Coal,,,,,,,,
Datang Anhui Huainan Tianjia'an power station,SRCWT0000007,640.0,2017,China,Datang International Power Generation Co,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,32.6699252,117.0253207,Coal,,,,,,,,
Datang Anyang-2 power station,SRCWT0000248,1240.0,2017,China,Datang International Power Generation Co,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,36.1197548,114.2758372,Coal,,,,,,,,
Datang Baoding power station,SRCWT0000187,650.0,2017,China,Datang International Power Generation Co,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,38.873,115.464,Coal,,,,,,,,
Datang Baoji power station,SRCWT0000535,660.0,2017,China,Datang Shaanxi Power Generation Co,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,34.3814392,107.2935534,Coal,,,,,,,,
Datang Binchang power station,SRCWT0000536,1260.0,2017,China,Datang Shaanxi Power Generation Co,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,34.329,108.708,Coal,,,,,,,,
Datang Binzhou power station,SRCWT0000558,700.0,2017,China,Datang Shandong,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,37.4666332,118.0468682,Coal,,,,,,,,
Datang Changshan power station,SRCWT0000491,660.0,2017,China,Datang Jilin Power Generation,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,45.3169693,124.4892597,Coal,,,,,,,,
Datang Fuzhou power station,SRCWT0000480,2000.0,2017,China,Datang Intl Fuzhou Power Jv,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,27.7844943,116.5644289,Coal,,,,,,,,
Datang Gangu power station,SRCWT0000063,660.0,2017,China,Datang Gansu Power Generation Co Ltd,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,34.7548032,105.1007823,Coal,,,,,,,,
Datang Harbin power station,SRCWT0000228,600.0,2017,China,Datang Heilongjiang Power Generation,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,45.711682,126.465442,Coal,,,,,,,,
Datang Heshan power station,SRCWT0000140,1330.0,2017,China,Guangxi Guiguan Electric Power,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,23.8211955,108.8672059,Coal,,,,,,,,
Datang Hutubi power station,SRCWT0000652,600.0,2017,China,Datang Xinjiang Power Gen Co,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,44.1889512,86.8402719,Coal,,,,,,,,
Datang Jingtai power station,SRCWT0000064,1320.0,2017,China,Datang Gansu Power Generation Co Ltd,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,37.231605,104.167761,Coal,,,,,,,,
Datang Liancheng-2 power station,SRCWT0000065,600.0,2017,China,Datang International,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,36.5193555,102.8674104,Coal,,,,,,,,
Datang Linzhou power station,SRCWT0000249,700.0,2017,China,China Datang Corp,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,36.108723,113.863586,Coal,,,,,,,,
Datang Lueyang power station,SRCWT0000537,660.0,2017,China,Lueyang Datang Power Generation Co.,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,33.346156,106.141932,Coal,,,,,,,,
Datang Luoyang Shouyangshan power station,SRCWT0000251,1040.0,2017,China,China Datang Corp,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,34.7325373,112.755931,Coal,,,,,,,,
Datang Luoyang power station,SRCWT0000250,1005.0,2017,China,Datang Luoyang Shouyangshan,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,34.618,112.454,Coal,,,,,,,,
Datang Ma'anshan Dangtu power station,SRCWT0000008,1320.0,2017,China,Datang International Power Generation Co,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,31.5350822,118.4139383,Coal,,,,,,,,
Datang Matou power station,SRCWT0000188,1020.0,2017,China,Datang Hebei Power Generation Co Ltd and Datang Hebei,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,36.4870219,114.4252041,Coal,,,,,,,,
Datang Nanjing Xiaguan-3 power station,SRCWT0000426,1320.0,2017,China,China Datang Corp,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,32.21352,119.2103,Coal,,,,,,,,
Datang Ningde power station,SRCWT0000047,2520.0,2017,China,Datang International Power Generation Co,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,26.7574469,119.7353942,Coal,,,,,,,,
Datang Qingyuan power station,SRCWT0000189,600.0,2017,China,China Datang Corp,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,38.7951897,115.4812254,Coal,,,,,,,,
Datang Qitaihe power station,SRCWT0000229,1900.0,2017,China,Datang Heilongjiang Power Generation,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,45.7604176,131.0533476,Coal,,,,,,,,
Datang Sanmenxia power station,SRCWT0000252,1800.0,2017,China,China Datang Corp,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,34.6855176,111.0274363,Coal,,,,,,,,
Datang Shuangyashan power station,SRCWT0000230,400.0,2017,China,Datang Heilongjiang Power Generation,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,46.6800859,131.1690055,Coal,,,,,,,,
Datang Tangshan power station,SRCWT0000190,1200.0,2017,China,Datang International Power Generation Co,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,39.624,118.2,Coal,,,,,,,,
Datang Tuoketuo power station,SRCWT0000367,5400.0,2017,China,Datang International Power Generation Co,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,40.1952329,111.358881,Coal,,,,,,,,
Datang Weihe power station,SRCWT0000538,600.0,2017,China,Datang Shaanxi Power Generation Co,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,34.43109,108.89894,Coal,,,,,,,,
Datang Wu'an power station,SRCWT0000191,600.0,2017,China,China Datang Corp,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,36.81893,114.18713,Coal,,,,,,,,
Datang Xigu power station,SRCWT0000066,600.0,2017,China,Datang Gansu Power Generation Co Ltd,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,36.129774,103.622874,Coal,,,,,,,,
