NOTE: This Power Watch database of power plants is currently in draft status and not yet published. Please do not reference or cite the data as basis for research or publications until the data is officially published.
name,pw_idnr,capacity_mw,year_of_capacity_data,country,owner,source,url,latitude,longitude,commissioning_year,fuel1,fuel2,fuel3,fuel4,generation_gwh_2012,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016
CANUTILLAR,CHL0001013,172.0,2016,Chile,COLBUN S.A.,Energía Abierta,http://energiaabierta.cl/electricidad/,-41.52805122,-72.34165779,,Hydro,,,,,,,,
CAPULLO,CHL0001014,12.0,2016,Chile,EMPRESA ELECTRICA CAPULLO S.A.,Energía Abierta,http://energiaabierta.cl/electricidad/,-40.81919145,-72.39994075,,Hydro,,,,,,,,
CARDONES,CHL0000048,152.2748,2016,Chile,IC POWER,Energía Abierta,http://energiaabierta.cl/electricidad/,-27.48759764,-70.38643621,,Oil,,,,,,,,
CARENA,CHL0001015,10.0,2016,Chile,EMPRESA ELECTRICA INDUSTRIAL S.A.,Energía Abierta,http://energiaabierta.cl/electricidad/,-33.52856916,-70.9528027,,Hydro,,,,,,,,
CASABLANCA,CHL0000109,2.5,2016,Chile,TECNORED,Energía Abierta,http://energiaabierta.cl/electricidad/,-33.32625634,-71.39226865,,Oil,,,,,,,,
CAVANCHA,CHL0001016,3.0,2016,Chile,CAVANCHA S.A.,Energía Abierta,http://energiaabierta.cl/electricidad/,0.0,0.0,,Hydro,,,,,,,,
CBB-CENTRO,CHL0000095,13.532,2016,Chile,EQUIPOS GENERACION S.A.,Energía Abierta,http://energiaabierta.cl/electricidad/,-34.86664515,-71.14318291,,Oil,,,,,,,,
CENIZAS,CHL0000049,13.9,2016,Chile,ELECTRICA CENIZAS S.A.,Energía Abierta,http://energiaabierta.cl/electricidad/,-27.48094828,-70.3897434,,Oil,,,,,,,,
CENTRAL TERMOELECTRICA ANDINA (CTA),CHL0000003,152.6,2016,Chile,ANDINA,Energía Abierta,http://energiaabierta.cl/electricidad/,0.0,0.0,,Coal,,,,,,,,
CHACABUCO,CHL0000024,9.3,2016,Chile,EDELAYSEN,Energía Abierta,http://energiaabierta.cl/electricidad/,0.0,0.0,,Oil,,,,,,,,
CHACABUQUITO,CHL0001017,26.0,2016,Chile,COLBUN S.A.,Energía Abierta,http://energiaabierta.cl/electricidad/,-32.85348031,-70.50613843,,Hydro,,,,,,,,
CHACAYES,CHL0001018,112.0,2016,Chile,PACIFICHYDRO,Energía Abierta,http://energiaabierta.cl/electricidad/,-34.27555822,-70.45226667,,Hydro,,,,,,,,
CHANARES,CHL0004001,36.0,2016,Chile,,Energía Abierta,http://energiaabierta.cl/electricidad/,-26.37476492,-70.06566161,,Solar,,,,,,,,
CHAPIQUINA,CHL0001019,10.0,2016,Chile,E-CL S.A.,Energía Abierta,http://energiaabierta.cl/electricidad/,-18.36950662,-69.54689817,,Hydro,,,,,,,,
CHIBURGO,CHL0001020,19.0,2016,Chile,COLBUN S.A.,Energía Abierta,http://energiaabierta.cl/electricidad/,-35.66145511,-71.35506191,,Hydro,,,,,,,,
CHILE CHICO,CHL0000027,2.1,2016,Chile,EDELAYSEN,Energía Abierta,http://energiaabierta.cl/electricidad/,0.0,0.0,,Oil,,,,,,,,
CHILOE,CHL0000082,9.0,2016,Chile,ELEKTRAGEN,Energía Abierta,http://energiaabierta.cl/electricidad/,-43.09138349,-73.61552065,,Oil,,,,,,,,
CHUFKEN (TRAIGUEN),CHL0000043,1.6,2016,Chile,SAGESA,Energía Abierta,http://energiaabierta.cl/electricidad/,-38.26240165,-72.6164875,,Oil,,,,,,,,
CHUYACA,CHL0000083,11.3,2016,Chile,SAGESA,Energía Abierta,http://energiaabierta.cl/electricidad/,-40.57864546,-73.08841264,,Oil,,,,,,,,
CIPRESES,CHL0001021,106.0,2016,Chile,ENDESA,Energía Abierta,http://energiaabierta.cl/electricidad/,-35.78721821,-70.8083704,,Hydro,,,,,,,,
CMPC CORDILLERA,CHL0000130,24.74,2016,Chile,PAPELES CORDILLERA S.A.,Energía Abierta,http://energiaabierta.cl/electricidad/,0.0,0.0,,Oil,Gas,,,,,,,
CMPC Pacífico,CHL0003006,33.0,2016,Chile,CMPC CELULOSA S.A.,Energía Abierta,http://energiaabierta.cl/electricidad/,-37.79171097,-72.48416667,,Biomass,,,,,,,,
CMPC Santa Fe,CHL0003007,5.0,2016,Chile,CMPC CELULOSA S.A.,Energía Abierta,http://energiaabierta.cl/electricidad/,-37.51509168,-72.65651665,,Biomass,,,,,,,,
CMPC_Laja,CHL0003005,25.0,2016,Chile,CMPC CELULOSA S.A.,Energía Abierta,http://energiaabierta.cl/electricidad/,-37.28952765,-72.71138889,,Biomass,,,,,,,,
COCHAMO,CHL0000038,2.4,2016,Chile,SAGESA,Energía Abierta,http://energiaabierta.cl/electricidad/,0.0,0.0,,Oil,,,,,,,,
COLBUN,CHL0001022,474.0,2016,Chile,COLBUN S.A.,Energía Abierta,http://energiaabierta.cl/electricidad/,-35.68534022,-71.36985106,,Hydro,,,,,,,,
COLIHUES,CHL0000105,21.2,2016,Chile,MVC GENERACION,Energía Abierta,http://energiaabierta.cl/electricidad/,-34.24251459,-70.67436179,,Oil,,,,,,,,
COLLIL,CHL0001023,7.0,2016,Chile,ENERGIA COLLIL S.A.,Energía Abierta,http://energiaabierta.cl/electricidad/,-42.59760257,-73.95797845,,Hydro,,,,,,,,
COLMITO,CHL0000110,57.71,2016,Chile,TERMOELECTRICA COLMITO,Energía Abierta,http://energiaabierta.cl/electricidad/,-32.93036905,-71.47402393,,Oil,,,,,,,,
CONCON,CHL0000111,2.3,2016,Chile,TECNORED,Energía Abierta,http://energiaabierta.cl/electricidad/,-32.93311653,-71.47422866,,Oil,,,,,,,,
CONSTITUCION,CHL0000096,9.0,2016,Chile,ELEKTRAGEN,Energía Abierta,http://energiaabierta.cl/electricidad/,-35.36039467,-72.40686305,,Oil,,,,,,,,
CONTRA,CHL0001024,0.0,2016,Chile,EMPRESA ELECTRICA CONTRA S.P.A.,Energía Abierta,http://energiaabierta.cl/electricidad/,-40.297515,-72.833332,,Hydro,,,,,,,,
CONTULMO,CHL0000059,0.8,2016,Chile,SAGESA,Energía Abierta,http://energiaabierta.cl/electricidad/,-38.03412712,-73.22334221,,Oil,,,,,,,,
CORONEL,CHL0000060,46.81,2016,Chile,SAGESA,Energía Abierta,http://energiaabierta.cl/electricidad/,-36.96756057,-73.16858138,,Gas,,,,,,,,
COYA,CHL0001025,12.0,2016,Chile,PACIFIC HYDRO,Energía Abierta,http://energiaabierta.cl/electricidad/,-34.20492211,-70.52570555,,Hydro,,,,,,,,
CUCHILDEO,CHL0001026,1.0,2016,Chile,EPA S.A.,Energía Abierta,http://energiaabierta.cl/electricidad/,0.0,0.0,,Hydro,,,,,,,,
CURACAUTIN,CHL0000044,2.4,2016,Chile,SAGESA,Energía Abierta,http://energiaabierta.cl/electricidad/,-38.45282198,-71.81944106,,Oil,,,,,,,,
