NOTE: This Power Watch database of power plants is currently in draft status and not yet published. Please do not reference or cite the data as basis for research or publications until the data is officially published.
name,pw_idnr,capacity_mw,year_of_capacity_data,country,owner,source,url,latitude,longitude,commissioning_year,fuel1,fuel2,fuel3,fuel4,generation_gwh_2012,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,estimated_generation_gwh
Beagle Bay,AUS0000381,0.7,2012,Australia,Energy Developments Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-16.993900064999934,122.65850864600009,,Oil,,,,,,,,,
Belconnen,AUS0000400,1.0,2012,Australia,EDL LFG ACT Pty Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-35.21418943599997,148.9872183870001,,Waste,,,,,,,,,
Bell Bay (Bell Bay Three),AUS0000139,120.0,2012,Australia,Aurora Energy Tamar Valley Pty Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-41.14289599999995,146.90299800000003,,Gas,,,,,,,,,
Ben Lomond,AUS0000395,200.0,2012,Australia,AGL Energy,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-29.962256424999964,151.65852993400006,,Wind,,,,,,,,,
Bendeela (Shoalhaven Scheme),AUS0000266,80.0,2012,Australia,Origin Energy,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-34.73368999999997,150.46687000000009,,Hydro,,,,,,,,,
Bendigo Solar Park,AUS0000431,0.3,2012,Australia,Central Victoria Solar City Consortium,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-36.67475241999995,144.3032389540001,,Solar,,,,,,,,,
Berrimah,AUS0000251,10.0,2012,Australia,NT Power and Water,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-12.426175999999941,130.91947600000003,,Gas,,,,,,,,,
Berwick,AUS0000080,4.6,2012,Australia,Energy Developments LFG (Victoria) Pty Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-38.11970199999996,145.26646100000005,,Waste,,,,,,,,,
Bidyadanga,AUS0000382,1.3,2012,Australia,Energy Developments Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-18.68162717399997,121.78478093100011,,Oil,,,,,,,,,
Blackmores,AUS0000315,0.8,2012,Australia,Cogent Energy,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-33.67777002999998,151.29080465200002,,Gas,,,,,,,,,
Blayney Wind Farm,AUS0000027,9.9,2012,Australia,Eraring Energy,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-33.62188999999995,149.19821000000002,,Wind,,,,,,,,,
Blowering,AUS0000267,70.0,2012,Australia,Snowy Hydro Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-35.39860099999993,148.2462720000001,,Hydro,,,,,,,,,
Blue Lake Milling Power Plant,AUS0000376,0.5,2012,Australia,Vibe Energy Pty Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-36.31643279399998,140.7574619190001,,Oil,,,,,,,,,
Bluff Point (Woolnorth) Wind Farm,AUS0000009,65.0,2012,Australia,Hydro-Electric Corporation (Tasmania),Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-40.720673999999974,144.6869190000001,,Wind,,,,,,,,,
Boco Rock,AUS0000394,270.0,2012,Australia,Boco Rock Wind Farm Pty Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-36.591414215999976,149.12967511600004,,Wind,,,,,,,,,
Bodangora Wind Farm,AUS0000422,100.0,2012,Australia,Infigen Energy,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-32.41367217299995,149.05896359300004,,Wind,,,,,,,,,
Bogong (Mount Beauty Hydro Scheme),AUS0000102,140.0,2012,Australia,AGL Energy Pty Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-36.80546099999998,147.2280340000001,,Hydro,,,,,,,,,
Box Hill,AUS0000342,25.0,2012,Australia,AGL Energy,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-30.49941066699995,151.68388987800006,,Wind,,,,,,,,,
Braemar 1,AUS0000152,504.0,2012,Australia,Alinta Energy,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-27.11093399999993,150.90533700000003,,Gas,,,,,,,,,
Braemar 2,AUS0000153,519.0,2013,Australia,Arrow Energy,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-27.112811267999973,150.90487826100002,,Gas,,,,,,,,,
Bremer Bay Diesel Backup,AUS0000349,1.3,2012,Australia,Verve Energy,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-34.40182817799996,119.38880433100007,,Oil,,,,,,,,,
Bremer Bay Wind Turbine,AUS0000348,0.6,2012,Australia,Verve Energy,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-34.399007154999936,119.39148142400006,,Wind,,,,,,,,,
Brewer,AUS0000256,8.5,2012,Australia,Central Energy Power,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-23.88169799999997,133.82814300000007,,Gas,,,,,,,,,
Bridgewater Solar,AUS0000428,0.14,2012,Australia,Silex Systems,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-36.61349914099998,143.9528805340001,,Solar,,,,,,,,,
Broadmeadows,AUS0000082,6.2,2012,Australia,Energy Developments LFG (Victoria) Pty Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-37.68778599999996,144.9663190000001,,Waste,,,,,,,,,
Broadwater,AUS0000268,30.0,2012,Australia,NSW Sugar Milling,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-29.01182799999998,153.43348100000003,,Biomass,,,,,,,,,
Broken Hill,AUS0000305,50.0,2012,Australia,Essential Energy,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-31.98629599999998,141.42033400000003,,Gas,,,,,,,,,
Broken Hill Solar Plant,AUS0000477,53.0,2016,Australia,AGL Energy,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-31.986707426999942,141.3915455120001,,Solar,,,,,,,,,
Brooklyn,AUS0000079,2.8,2012,Australia,Energy Developments LFG (Victoria) Pty Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-37.81796699999995,144.83187600000008,,Waste,,,,,,,,,
Broome,AUS0000180,39.6,2012,Australia,Energy Developments Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-17.981026999999926,122.20460200000002,,Gas,,,,,,,,,
Brown Mountain,AUS0000269,5.4,2012,Australia,Eraring Energy,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-36.595144999999945,149.47410700000012,,Hydro,,,,,,,,,
Browns Plains,AUS0000078,2.2,2012,Australia,Energy Developments LFG (Qld) Pty Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-27.67213099999998,153.06634600000007,,Waste,,,,,,,,,
Bulwer Island,AUS0000461,33.0,,Australia,ATCO and Origin Energy,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-27.40357955299993,153.13628579200008,,Gas,,,,,,,,,
Buronga,AUS0000416,150.0,2012,Australia,International Power Pty Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-34.10134192299995,142.26166023300004,,Gas,,,,,,,,,
Burrendong,AUS0000300,18.0,2012,Australia,AGL Energy Pty Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-32.66461599999997,149.1079860000001,,Hydro,,,,,,,,,
Burrinjuck Power Station,AUS0000048,27.2,2012,Australia,Eraring Energy,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-35.00251999999995,148.58339300000011,,Hydro,,,,,,,,,
Burrup Peninsula (Karratha Gas Plant),AUS0000181,240.0,2012,Australia,Woodside Pty Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-20.62864899999994,116.78214700000001,,Gas,,,,,,,,,
Burrup Peninsula (Pluto Phase 1),AUS0000182,160.0,2012,Australia,Woodside Pty Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-20.59367999999995,116.78015000000005,,Gas,,,,,,,,,
Butlers Gorge,AUS0000127,12.2,2012,Australia,Hydro-Electric Corporation (Tasmania),Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-42.26689799999997,146.2617580000001,,Hydro,,,,,,,,,
CSIRO Energy Centre,AUS0000438,1.5,2012,Australia,CSIRO,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-32.88347300399994,151.72745249100012,,Solar,,,,,,,,,
Callide A,AUS0000178,120.0,2012,Australia,CS Energy,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-24.33402499999994,150.6279730000001,,Coal,,,,,,,,,
Callide B,AUS0000177,700.0,2012,Australia,CS Energy,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-24.344879999999932,150.61974900000007,,Coal,,,,,,,,,
Callide C,AUS0000176,900.0,2012,Australia,CS Energy,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-24.344945999999936,150.61818100000005,,Coal,,,,,,,,,
Camballin,AUS0000414,1.04,2012,Australia,Energy Developments Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-18.027757491999978,124.16208514900006,,Gas,,,,,,,,,
Canning Vale,AUS0000330,4.0,2012,Australia,Landfill Gas and Power Pty Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-32.073898749999955,115.89140569100005,,Waste,,,,,,,,,
Cannington Mine,AUS0000452,40.0,,Australia,BHP Billiton,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-21.86013328799993,140.91576749900003,,Gas,,,,,,,,,
Canunda Wind Farm,AUS0000064,46.0,2012,Australia,International Power - GDF Suez Australia,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-37.76025335999998,140.40331128800005,,Wind,,,,,,,,,
Cape Bridgewater Wind Farm,AUS0000007,58.0,2012,Australia,Pacific Hydro Pty Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-38.357654999999966,141.3850440000001,,Wind,,,,,,,,,
