NOTE: This Power Watch database of power plants is currently in draft status and not yet published. Please do not reference or cite the data as basis for research or publications until the data is officially published.
name,pw_idnr,capacity_mw,year_of_capacity_data,country,owner,source,url,latitude,longitude,commissioning_year,fuel1,fuel2,fuel3,fuel4,generation_gwh_2012,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016
Koudiet Eddraouch CCGT Power Plant Algeria,GEODB0045342,1200.0,2017,Algeria,,GEO,http://globalenergyobservatory.org,36.885,8.0778,,Gas,,,,,,,,
Larbaa OCGT Power Plant Algeria,GEODB0045402,500.0,2017,Algeria,,GEO,http://globalenergyobservatory.org,36.5988,3.1375,,Gas,,,,,,,,
Marsat El Hadjadj Thermal Power Plant Algeria,GEODB0045344,200.0,2017,Algeria,,GEO,http://globalenergyobservatory.org,35.8,-0.1924,,Gas,,,,,,,,
Marsat Thermal Power Plant Algeria,GEODB0041733,840.0,2017,Algeria,,GEO,http://globalenergyobservatory.org,35.8,-0.1924,,Gas,,,,,,,,
Msila CCGT Power Plant Algeria,GEODB0044786,500.0,2017,Algeria,,GEO,http://globalenergyobservatory.org,35.7089,4.4768,,Gas,,,,,,,,
Msila OCGT Power Plant Algeria,GEODB0041737,730.0,2017,Algeria,,GEO,http://globalenergyobservatory.org,35.7078,4.4776,,Gas,,,,,,,,
Ras Djinet Thermal Power Plant Algeria,GEODB0041732,672.0,2017,Algeria,,GEO,http://globalenergyobservatory.org,36.8509,3.6983,,Gas,,,,,,,,
Ravin Blanc Thermal Power Plant Algeria,GEODB0041735,133.0,2017,Algeria,,GEO,http://globalenergyobservatory.org,35.7095,-0.6319,,Gas,,,,,,,,
Relizane OCGT Power Plant Algeria,GEODB0045341,465.0,2017,Algeria,,GEO,http://globalenergyobservatory.org,35.7835,0.54067,,Gas,,,,,,,,
SKS Skikda CCGT Power Plant Algeria,GEODB0041722,880.0,2017,Algeria,,GEO,http://globalenergyobservatory.org,36.8789,6.9366,,Gas,,,,,,,,
Sharikat Kahraba Berrouaghia (SKB) OCGT Power Plant Algeria,GEODB0041730,500.0,2017,Algeria,,GEO,http://globalenergyobservatory.org,36.1399,2.9296,,Gas,,,,,,,,
Skikda Steam Power Plant Algeria,GEODB0041729,262.0,2017,Algeria,,GEO,http://globalenergyobservatory.org,36.88,6.935,,Gas,,,,,,,,
Terga CCGT Power Plant Algeria,GEODB0044783,1200.0,2017,Algeria,,GEO,http://globalenergyobservatory.org,35.4608,-1.22953,,Gas,,,,,,,,
Tiaret I and II OCGT Power Plant Algeria,GEODB0041731,420.0,2017,Algeria,,GEO,http://globalenergyobservatory.org,35.3396,1.3562,,Gas,,,,,,,,
Tilghemt OCGT Power Plant Algeria,GEODB0045346,200.0,2017,Algeria,,GEO,http://globalenergyobservatory.org,33.13176,3.3459,,Gas,,,,,,,,
Biopio Dam Hydroelectric Power Plant Angola,GEODB0002349,14.4,2017,Angola,,GEO,http://globalenergyobservatory.org,-12.4708,13.7319,,Hydro,,,,,,,,
Cambambe Dam Hydroelectric Power Plant Angola,GEODB0002551,180.0,2017,Angola,,GEO,http://globalenergyobservatory.org,-9.7524547295163,14.480838775635,,Hydro,,,,,,,,
Capanda Dam Hydroelectric Power Plant Angola,GEODB0002537,520.0,2017,Angola,,GEO,http://globalenergyobservatory.org,-9.7953,15.4669,,Hydro,,,,,,,,
Chicapa-1 Dam Hydroelectric Power Plant Angola,GEODB0002658,16.0,2017,Angola,,GEO,http://globalenergyobservatory.org,-9.5066299738353,20.179481506348,,Hydro,,,,,,,,
Cunje II Dam Hydroelectric Power Plant Angola,GEODB0000429,,2017,Angola,,GEO,http://globalenergyobservatory.org,-11.8167,17.4833,,Hydro,,,,,,,,
Gove Dam Hydroelectric Power Plant Angola,GEODB0003601,320.0,2017,Angola,,GEO,http://globalenergyobservatory.org,-13.451650321054,15.869407653809,,Hydro,,,,,,,,
Lomaum Dam Hydroelectric Power Plant Angola,GEODB0004066,35.0,2017,Angola,,GEO,http://globalenergyobservatory.org,-12.7333,14.45,,Hydro,,,,,,,,
Luanda OCGT Power Plant Angola,GEODB0042580,148.0,2017,Angola,,GEO,http://globalenergyobservatory.org,-8.8148,13.3077,,Gas,,,,,,,,
Mabubas Dam Hydroelectric Power Plant Angola,GEODB0004118,17.8,2017,Angola,,GEO,http://globalenergyobservatory.org,-8.5352311553158,13.700090646744,,Hydro,,,,,,,,
Matala Dam Hydroelectric Power Plant Angola,GEODB0004201,40.8,2017,Angola,,GEO,http://globalenergyobservatory.org,-14.744245659847,15.041838884354,,Hydro,,,,,,,,
Tundavala Dam Hydroelectric Power Plant Angola,GEODB0005804,,2017,Angola,,GEO,http://globalenergyobservatory.org,-14.479228728654,13.692054748535,,Hydro,,,,,,,,
AES Cabra Corral Hydroelectric Power Plant Argentina,GEODB0042226,102.0,2017,Argentina,,GEO,http://globalenergyobservatory.org,-25.2697,-65.3308,,Hydro,,,,,,,,
AES Central Dique Power Plant Argentina,GEODB0042222,68.0,2017,Argentina,,GEO,http://globalenergyobservatory.org,-34.8905,-57.9323,,Gas,,,,,,,,
AES Central Termical de Ciclo (Termoandes) CCGT Power Plant Argentina,GEODB0042264,643.0,2017,Argentina,,GEO,http://globalenergyobservatory.org,-24.744,-65.0519,,Gas,,,,,,,,
AES Central Thermal San Nicolas Power Plant Argentina,GEODB0042220,650.0,2017,Argentina,,GEO,http://globalenergyobservatory.org,-33.3559,-60.1734,,Coal,,,,,,,,
AES Parana (San Nicolas) CCGT Power Plant Argentina,GEODB0042221,845.0,2017,Argentina,,GEO,http://globalenergyobservatory.org,-33.3549,-60.17176,,Gas,,,,,,,,
Agua del Cajon CCGT Power Plant Argentina,GEODB0042231,555.0,2017,Argentina,,GEO,http://globalenergyobservatory.org,-38.9362,-68.357,,Gas,,,,,,,,
Agua del Toro Hydroelectric Power Plant Argentina,GEODB0042310,260.0,2017,Argentina,,GEO,http://globalenergyobservatory.org,-34.58395,-69.03622,,Hydro,,,,,,,,
Alicura Hydroelectric Power Plant Argentina,GEODB0042214,100.0,2017,Argentina,,GEO,http://globalenergyobservatory.org,-40.5861,-70.7525,,Hydro,,,,,,,,
Aluar (Puerto Madryn) CCGT Power Plant Argentina,GEODB0042250,755.0,2017,Argentina,,GEO,http://globalenergyobservatory.org,-42.7368,-65.055,,Gas,,,,,,,,
Arroyito Hydroelectric Power Plant Argentina,GEODB0042218,120.0,2017,Argentina,,GEO,http://globalenergyobservatory.org,-39.10755,-68.5854,,Hydro,,,,,,,,
Atucha 1 Nuclear Power Plant Argentina,GEODB0002194,357.0,2017,Argentina,,GEO,http://globalenergyobservatory.org,-33.9669,-59.20624,,Nuclear,,,,,,,,
CCA Central 9 de Julio Power Plant Argentina,GEODB0042254,159.0,2017,Argentina,,GEO,http://globalenergyobservatory.org,-38.0497,-57.5463,,Gas,,,,,,,,
CCA Mar de Ajo Power Plant Argentina,GEODB0042256,34.0,2017,Argentina,,GEO,http://globalenergyobservatory.org,-36.7208,-56.694,,Gas,,,,,,,,
CCA Necochea Power Plant Argentina,GEODB0042255,206.0,2017,Argentina,,GEO,http://globalenergyobservatory.org,-38.5785,-58.7109,,Gas,,,,,,,,
CCA Villa Gesell OCGT Power Plant Argentina,GEODB0042253,50.0,2017,Argentina,,GEO,http://globalenergyobservatory.org,-37.2479,-56.9966,,Gas,,,,,,,,
Central Puerto CCGT Power Plant Argentina,GEODB0042246,786.0,2017,Argentina,,GEO,http://globalenergyobservatory.org,-34.5723,-58.381,,Gas,,,,,,,,
Central Puerto Thermal Power Plant Argentina,GEODB0042245,1019.0,2017,Argentina,,GEO,http://globalenergyobservatory.org,-34.5718,-58.3823,,Gas,,,,,,,,
Central Termica Guemes Power Plant Argentina,GEODB0042234,361.0,2017,Argentina,,GEO,http://globalenergyobservatory.org,-24.6893,-65.042,,Gas,,,,,,,,
Central Termica Loma de la Lata (CTLLL) CCGT Power Plant Argentina,GEODB0042232,550.0,2017,Argentina,,GEO,http://globalenergyobservatory.org,-38.5127,-68.6061,,Gas,,,,,,,,
Central Termica Piedra Buena Power Plant Argentina,GEODB0042233,640.0,2017,Argentina,,GEO,http://globalenergyobservatory.org,-38.7875,-62.2537,,Gas,,,,,,,,
Central Térmica Brigadier Lopez CCGT Power Plant Argentina,GEODB0045390,420.0,2017,Argentina,,GEO,http://globalenergyobservatory.org,-31.71091,-60.7806,,Gas,,,,,,,,
Comodoro Rivadavia (CT Patagonia) OCGT Power Plant Argentina,GEODB0042276,132.0,2017,Argentina,,GEO,http://globalenergyobservatory.org,-45.815,-67.4436,,Gas,,,,,,,,
Cruz De Piedra Power Plant Argentina,GEODB0042320,17.94,2017,Argentina,,GEO,http://globalenergyobservatory.org,-33.0346,-68.7958,,Gas,,,,,,,,
Dock Sud CCGT Power Plant Argentina,GEODB0042219,775.0,2017,Argentina,,GEO,http://globalenergyobservatory.org,-34.6529,-58.3419,,Gas,,,,,,,,
EPEC Benjamin Reolin Hydroelectric Power Plant Argentina,GEODB0042294,38.4,2017,Argentina,,GEO,http://globalenergyobservatory.org,-32.191,-64.323,,Hydro,,,,,,,,
EPEC Cassaffousth Hydroelectric Power Plant Argentina,GEODB0042295,17.28,2017,Argentina,,GEO,http://globalenergyobservatory.org,-32.1753,-64.3743,,Hydro,,,,,,,,
EPEC Central Bicentario CCGT Power Plant Argentina,GEODB0042238,466.0,2017,Argentina,,GEO,http://globalenergyobservatory.org,-31.6647,-63.832,,Gas,,,,,,,,
EPEC Dean FunesThermal Power Plant Argentina,GEODB0042269,34.0,2017,Argentina,,GEO,http://globalenergyobservatory.org,-31.3931,-64.2058,,Gas,,,,,,,,
EPEC Fitz Simon Hydroelectric Power Plant Argentina,GEODB0042296,10.5,2017,Argentina,,GEO,http://globalenergyobservatory.org,-32.1784,-64.4207,,Hydro,,,,,,,,
EPEC Los Molinos 1 and 2 Hydroelectric Power Plant Argentina,GEODB0042274,56.0,2017,Argentina,,GEO,http://globalenergyobservatory.org,-31.8184,-64.5033,,Hydro,,,,,,,,
EPEC Piedras Moras Hydroelectric Power Plant Argentina,GEODB0042297,6.3,2017,Argentina,,GEO,http://globalenergyobservatory.org,-32.1675,-64.2438,,Hydro,,,,,,,,
