NOTE: This Power Watch database of power plants is currently in draft status and not yet published. Please do not reference or cite the data as basis for research or publications until the data is officially published.
name,pw_idnr,capacity_mw,year_of_capacity_data,country,owner,source,url,latitude,longitude,commissioning_year,fuel1,fuel2,fuel3,fuel4,generation_gwh_2012,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016
BARGI,IND0000032,90.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,1988,Hydro,,,,,,,495.9677,
BARH STPP II,IND0000033,1320.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,2014,Coal,Oil,,,,,,1221.0,
BARKHERA TPP,IND0000034,90.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,2011,Coal,Oil,,,,,,505.76,
BARSINGAR LIGNITE,IND0000035,250.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,2010,Coal,Oil,,,,,,1255.732,
BASIN BRIDGE GT,IND0000036,120.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,1996,Oil,Gas,,,,,,2.85387,
BASPA,IND0000037,300.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,2003,Hydro,,,,,,,1246.3171,
BASSI,IND0000038,60.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,1973,Hydro,,,,,,,293.53495,
BELGAUM DG,IND0000039,81.3,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,2001,Oil,,,,,,,0.0,
BELLARY DG,IND0000040,25.2,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,2000,Oil,,,,,,,0.0,
BELLARY TPS,IND0000041,1000.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,2009,Coal,Oil,,,,,,5445.763,
BHADRA,IND0000042,39.2,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,1968,Hydro,,,,,,,50.337050000000005,
BHAKRA,IND0000043,1325.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,1964,Hydro,,,,,,,5241.809249999999,
BHANDARDHARA,IND0000044,34.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,1996,Hydro,,,,,,,65.07300000000001,
BHATGARH,IND0000045,16.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,1977,Hydro,,,,,,,,
BHATSA,IND0000046,15.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,1991,Hydro,,,,,,,,
BHAWANI KATTALAI -II,IND0000048,30.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,2013,Hydro,,,,,,,136.8722,
BHAWANI KATTALAI -III,IND0000049,30.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,2012,Hydro,,,,,,,0.0,
BHAWANI KATTALAI BARRAGE,IND0000047,30.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,2006,Hydro,,,,,,,67.5605,
BHILAI TPP,IND0000050,500.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,2008,Coal,Oil,,,,,,2962.72,
BHIRA,IND0000051,300.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,1962,Hydro,,,,,,,832.8846500000001,
BHIRA TAIL RACE,IND0000052,80.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,1987,Hydro,,,,,,,90.79375,
BHIVPURI,IND0000053,75.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,1998,Hydro,,,,,,,299.1766,
BHUSAWAL,IND0000054,1420.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,2002,Coal,Oil,,,,,,5855.07,
BINA TPP,IND0000055,500.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,2012,Coal,Oil,,,,,,2236.9908,
BINWA,IND0000056,6.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,1984,Hydro,,,,,,,,
BIRSINGHPUR,IND0000057,20.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,1991,Hydro,,,,,,,,
BOKARO B,IND0000059,630.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,1989,Coal,Oil,,,,,,1438.87,
BRAMHAPURAM DG,IND0000061,106.6,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,1997,Oil,,,,,,,8.1158,
BSES Kerala CCGT,IND0000062,165.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,1999,Oil,Gas,,,,,,145.56,
