name,wri_idnr,capacity_mw,fuel,country,owner,source,latitude,longitude
Oyberget,50WP00000000854H,104.0,Hydro,NO,Statnett,https://transparency.entsoe.eu/api?,0.0,0.0
PONTE ALBANITO,26WIMPI-0606431F,22.0,Wind,IT,Terna,https://transparency.entsoe.eu/api?,0.0,0.0
Kraftwerke Mauvoisin AG,12W-0000000034-F,421.0,Hydro,CH,Swissgrid,https://transparency.entsoe.eu/api?,0.0,0.0
Huntstown Production,47W000000000173I,744.0,Gas,IE,Eirgrid,https://transparency.entsoe.eu/api?,0.0,0.0
Pietarsaari,44W-T-YT-000016D,143.0,Biomass,FI,Fingrid Oyj,https://transparency.entsoe.eu/api?,0.0,0.0
S.E.F. SRL,26WIMPI-S08EFNP0,700.0,Other,IT,Terna,https://transparency.entsoe.eu/api?,0.0,0.0
Amli,50WP00000000861K,24.2,Hydro,NO,Statnett,https://transparency.entsoe.eu/api?,0.0,0.0
Tokke,50WP00000000745M,433.0,Hydro,NO,Statnett,https://transparency.entsoe.eu/api?,0.0,0.0
Glomfjord,50WP00000000215E,28.6,Hydro,NO,Statnett,https://transparency.entsoe.eu/api?,0.0,0.0
Fygle,50WP00000000202N,5.6,Hydro,NO,Statnett,https://transparency.entsoe.eu/api?,0.0,0.0
Bjorndalen,50WP000000000576,5.0,Hydro,NO,Statnett,https://transparency.entsoe.eu/api?,0.0,0.0
