name,wri_idnr,capacity_mw,fuel,country,owner,source,latitude,longitude
Amela,50WP00000000860M,34.0,Hydro,NO,Statnett,https://transparency.entsoe.eu/api?,0.0,0.0
Hasle,50WP00000000249Y,2.0,Hydro,NO,Statnett,https://transparency.entsoe.eu/api?,0.0,0.0
Aggius 1 Bortigiadas Viddalba 1,26WIMPI-S20IVVP0,29.0,Wind,IT,Terna,https://transparency.entsoe.eu/api?,0.0,0.0
POSCHIAVINO C.LE,26WIMPI-S03PCSCZ,10.0,Hydro,IT,Terna,https://transparency.entsoe.eu/api?,0.0,0.0
PARCO EOLICO PIANO DI CORDA,26WIMPI-S18PEPDY,44.0,Wind,IT,Terna,https://transparency.entsoe.eu/api?,0.0,0.0
U.P. INTERECOGEN,26WIMPI-S09IPNT0,30.0,Gas,IT,Terna,https://transparency.entsoe.eu/api?,0.0,0.0
SUVIANA ,26WIMPI-S08SNVNQ,27.0,Hydro,IT,Terna,https://transparency.entsoe.eu/api?,0.0,0.0
Guolas,50WP000000002382,84.0,Hydro,NO,Statnett,https://transparency.entsoe.eu/api?,0.0,0.0
Kaldestad,50WP00000000338Z,24.0,Hydro,NO,Statnett,https://transparency.entsoe.eu/api?,0.0,0.0
Hog Jare,50WP00000000301L,73.6,Wind,NO,Statnett,https://transparency.entsoe.eu/api?,0.0,0.0
Kraftwerk Außerfragant,14W-E110354----8,100.0,Hydro,AT,APCS,https://transparency.entsoe.eu/api?,0.0,0.0
PARCO EOLICO IARDINO,26WIMPI-S15PILCD,14.0,Wind,IT,Terna,https://transparency.entsoe.eu/api?,0.0,0.0
SALLENT B,18WSLTB-12345-05,400.0,Hydro,ES,REE,https://transparency.entsoe.eu/api?,0.0,0.0
LOAN,48WSTN00000LOAND,2400.0,Coal,UK,NationalGrid,https://transparency.entsoe.eu/api?,0.0,0.0
Toverud,50WP00000000751R,6.0,Hydro,NO,Statnett,https://transparency.entsoe.eu/api?,0.0,0.0
TPP Craiova,30W-CET-CRAI---T,262.0,Coal,RO,Transelectrica,https://transparency.entsoe.eu/api?,0.0,0.0
PREDAZZO,26WIMPI-S04PRDZ5,15.0,Hydro,IT,Terna,https://transparency.entsoe.eu/api?,0.0,0.0
Furset,50WP00000000201P,5.2,Hydro,NO,Statnett,https://transparency.entsoe.eu/api?,0.0,0.0
GRECI-MONTAGUTO,26WIMPI-S16ICSC8,14.0,Wind,IT,Terna,https://transparency.entsoe.eu/api?,0.0,0.0
FAARW,48WSTN0000FAARW2,140.0,Wind,UK,NationalGrid,https://transparency.entsoe.eu/api?,0.0,0.0
PRATI DI VIZZE,26WIMPI-S04PDVRN,25.0,Hydro,IT,Terna,https://transparency.entsoe.eu/api?,0.0,0.0
Sines,16WSINES1------G,1180.0,Coal,PT,REN,https://transparency.entsoe.eu/api?,0.0,0.0
MONTE MALVIZZO,26WIMPI-S19MMENO,16.0,Wind,IT,Terna,https://transparency.entsoe.eu/api?,0.0,0.0
AVISE,26WIMPI-S02AVSIS,127.0,Hydro,IT,Terna,https://transparency.entsoe.eu/api?,0.0,0.0
Holmen,50WP00000000283Y,10.0,Hydro,NO,Statnett,https://transparency.entsoe.eu/api?,0.0,0.0
RIZZICONI,26WIMPI-S18RCZZW,768.0,Gas,IT,Terna,https://transparency.entsoe.eu/api?,0.0,0.0
ESCH-SUR-ALZETTE STEG,22WESCH-S0000967,376.4,Gas,BE,Elia,https://transparency.entsoe.eu/api?,0.0,0.0
Pomorzany,19W000000000168T,134.2,Coal,PL,PSE S.A.,https://transparency.entsoe.eu/api?,0.0,0.0
TORINO NORD,26WIMPI-0066050X,395.0,Gas,IT,Terna,https://transparency.entsoe.eu/api?,0.0,0.0
ARCHW,48WSTN0000ARCHW6,120.0,Wind,UK,NationalGrid,https://transparency.entsoe.eu/api?,0.0,0.0
Vangpollen,50WPI00000007995,3.5,Hydro,NO,Statnett,https://transparency.entsoe.eu/api?,0.0,0.0
Fr.stad_Bioel,50WP000000001912,5.5,Hydro,NO,Statnett,https://transparency.entsoe.eu/api?,0.0,0.0
Dale TUE,50WP00000000104N,5.2,Hydro,NO,Statnett,https://transparency.entsoe.eu/api?,0.0,0.0
HERON_CC,29WHERON-CC----5,422.0,Gas,GR,ADMIE,https://transparency.entsoe.eu/api?,0.0,0.0
Abjora,50WP00000000855F,94.0,Hydro,NO,Statnett,https://transparency.entsoe.eu/api?,0.0,0.0
EC Białystok,19W000000000033F,156.6,Coal,PL,PSE S.A.,https://transparency.entsoe.eu/api?,0.0,0.0
SIMERI CRICHI,26WIMPI-S18SCMR8,885.0,Gas,IT,Terna,https://transparency.entsoe.eu/api?,0.0,0.0
Suomenoja,44W-T-YT-000010P,354.0,Gas,FI,Fingrid Oyj,https://transparency.entsoe.eu/api?,0.0,0.0
TRAPANI-SALEMI,26WIMPI-S19PETSN,66.0,Wind,IT,Terna,https://transparency.entsoe.eu/api?,0.0,0.0
FRANZI,26WIMYI-0338184B,16.0,Wind,IT,Terna,https://transparency.entsoe.eu/api?,0.0,0.0
Skaerbaekvaerket,45V000000000010G,392.0,Gas,DK,Energinet,https://transparency.entsoe.eu/api?,0.0,0.0
DOEL 4,22WDOELX40000793,1038.0,Nuclear,BE,Elia,https://transparency.entsoe.eu/api?,0.0,0.0
HPP Vidraru,30W-CHE-CORB---Q,219.4,Hydro,RO,Transelectrica,https://transparency.entsoe.eu/api?,0.0,0.0
PEMB,48WSTN00000PEMBL,2225.0,Gas,UK,NationalGrid,https://transparency.entsoe.eu/api?,0.0,0.0
Eidsfoss,50WP000000001289,15.2,Hydro,NO,Statnett,https://transparency.entsoe.eu/api?,0.0,0.0
HONE1,26WIMPI-S02H1NO5,18.0,Hydro,IT,Terna,https://transparency.entsoe.eu/api?,0.0,0.0
NIC,26WIMPI-S03NCDCG,10.0,Other,IT,Terna,https://transparency.entsoe.eu/api?,0.0,0.0
Czechnica,19W000000000040I,100.0,Coal,PL,PSE S.A.,https://transparency.entsoe.eu/api?,0.0,0.0
Flittig,50WP000000001734,4.5,Hydro,NO,Statnett,https://transparency.entsoe.eu/api?,0.0,0.0
STRONGOLI,26WIMPI-S18BSMSR,43.0,Other,IT,Terna,https://transparency.entsoe.eu/api?,0.0,0.0
Eidseter,50WP00000000126D,3.6,Hydro,NO,Statnett,https://transparency.entsoe.eu/api?,0.0,0.0
Stalowa Wola 3,19W000000000193U,250.0,Coal,PL,PSE S.A.,https://transparency.entsoe.eu/api?,0.0,0.0
CIVIDATE,26WIMPI-S03ECDVN,38.0,Hydro,IT,Terna,https://transparency.entsoe.eu/api?,0.0,0.0
Hunderfo,50WP00000000294T,118.0,Hydro,NO,Statnett,https://transparency.entsoe.eu/api?,0.0,0.0
Smavatna,50WP00000000648K,22.0,Hydro,NO,Statnett,https://transparency.entsoe.eu/api?,0.0,0.0
LEINI,26WIMPI-S01LNEIG,380.0,Gas,IT,Terna,https://transparency.entsoe.eu/api?,0.0,0.0
Faslefoss,50WP00000000159Z,18.0,Hydro,NO,Statnett,https://transparency.entsoe.eu/api?,0.0,0.0
GROTTOLE 36MW,26WIMPI-S17G2RTL,36.0,Wind,IT,Terna,https://transparency.entsoe.eu/api?,0.0,0.0
FEATV2,26WIMPI-S08FCTVE,24.0,Waste,IT,Terna,https://transparency.entsoe.eu/api?,0.0,0.0
Fausa,50WP00000000160D,7.7,Hydro,NO,Statnett,https://transparency.entsoe.eu/api?,0.0,0.0
NUOVA RADICONDOLI,26WIMPI-S09RDCNB,59.0,Geothermal,IT,Terna,https://transparency.entsoe.eu/api?,0.0,0.0
