NOTE: This Power Watch database of power plants is currently in draft status and not yet published. Please do not reference or cite the data as basis for research or publications until the data is officially published.
name,pw_idnr,capacity_mw,year_of_capacity_data,annual_generation_gwh,year_of_generation_data,country,owner,source,url,latitude,longitude,fuel1,fuel2,fuel3,fuel4
12.0 MW Biomass based power plant project at Baghaura  Punjab  India.,CDMDB0005867,12.0,None,None,None,India,,Clean Development Mechanism,https://cdm.unfccc.int,30.3319,76.6069,Biomass
Biomass based power project in Punjab,CDMDB0008892,10.0,None,None,None,India,,Clean Development Mechanism,https://cdm.unfccc.int,29.98417,75.34056,Biomass
Liaoning Tieling Taizishan Wind Power Project,CDMDB0005776,49.5,None,None,None,China,,Clean Development Mechanism,https://cdm.unfccc.int,42.2183,122.6869,Wind
Ningxia Shizuishan 10MWP Photovoltaic Power Generation Project,CDMDB0005792,10.0,None,None,None,China,,Clean Development Mechanism,https://cdm.unfccc.int,39.1067,106.5339,Solar
CGN Yunnan Mouding Wind Power Project,CDMDB0005791,49.5,None,None,None,China,,Clean Development Mechanism,https://cdm.unfccc.int,None,None,Wind
Nam Chim Hydro Power Project,CDMDB0005310,16.0,None,None,None,Vietnam,,Clean Development Mechanism,https://cdm.unfccc.int,21.32778,104.33667,Hydro
Sichuan Xiashimen small hydropower project,CDMDB0008891,8.0,None,None,None,China,,Clean Development Mechanism,https://cdm.unfccc.int,31.2736,103.4686,Hydro
Grid Connected Wind Power Project by M/s. D. J. Malpani in Rajasthan,CDMDB0005794,7.5,None,None,None,India,,Clean Development Mechanism,https://cdm.unfccc.int,26.82925,71.13322,Wind
2.5 MW BEL grid-connected wind power project at Davanagere district  Karnataka  India,CDMDB0001216,2.5,None,None,None,India,,Clean Development Mechanism,https://cdm.unfccc.int,14.13,75.47,Wind
Longyou 18 MW Hydropower Project in Zhejiang Province,CDMDB0002142,18.0,None,None,None,China,,Clean Development Mechanism,https://cdm.unfccc.int,None,None,Hydro
Mensilin Holdings Biomass Energy Plant Project,CDMDB0001214,24.0,None,None,None,Malaysia,,Clean Development Mechanism,https://cdm.unfccc.int,2.0253,103.2256,Biomass
Hebei Chongli Qingsanying 49.3MW Wind Farm Project,CDMDB0002140,49.3,None,None,None,China,,Clean Development Mechanism,https://cdm.unfccc.int,None,None,Wind
Shaanxi Province Xunyang County Guihua Small Hydropower Project (SXGSHP),CDMDB0001212,12.0,None,None,None,China,,Clean Development Mechanism,https://cdm.unfccc.int,32.29,108.58,Hydro
Wuhuzha 12 MW Small Hydropower Project,CDMDB0001213,12.0,None,None,None,China,,Clean Development Mechanism,https://cdm.unfccc.int,32.3821,102.54,Hydro
Hunan YangmingshanThree Level Hydropower Project,CDMDB0002145,8.2,None,None,None,China,,Clean Development Mechanism,https://cdm.unfccc.int,None,None,Hydro
Sichuan Leibo Ledu Erji Hydropower Project,CDMDB0006515,10.0,None,None,None,China,,Clean Development Mechanism,https://cdm.unfccc.int,None,None,Hydro
Wind based renewable energy project in Gujarat,CDMDB0002925,50.4,None,None,None,India,,Clean Development Mechanism,https://cdm.unfccc.int,22.0878,70.3599,Wind
Sichuan Aba Heishui Bundled Hydropower Station Project,CDMDB0005262,44.4,None,None,None,China,,Clean Development Mechanism,https://cdm.unfccc.int,None,None,Hydro
Diaobingshan New-built 49.5MW Wind Power Station Project,CDMDB0002149,49.5,None,None,None,China,,Clean Development Mechanism,https://cdm.unfccc.int,None,None,Wind
Guodian Ningxia Qingtongxia Niushoushan Phase II 49.5MW Wind-farm project,CDMDB0005260,49.5,None,None,None,China,,Clean Development Mechanism,https://cdm.unfccc.int,37.7922,106.0161,Wind
KUNAK BIO ENERGY PROJECT,CDMDB0002921,14.0,None,None,None,Malaysia,,Clean Development Mechanism,https://cdm.unfccc.int,None,None,Biomass
20 MW Biomass Power Project in Tamilnadu,CDMDB0002920,20.0,None,None,None,India,,Clean Development Mechanism,https://cdm.unfccc.int,None,None,Biomass
Berlin Binary Cycle power plant,CDMDB0001218,9.2,None,None,None,El Salvador,,Clean Development Mechanism,https://cdm.unfccc.int,13.3014,-88.2921,Geothermal
Yunnan Amojiang Sanjiangkou Hydropower Project,CDMDB0004482,99.0,None,None,None,China,,Clean Development Mechanism,https://cdm.unfccc.int,23.0711,101.4442,Hydro
Ningxia Guodian Yanchi Mahuangshan Wind-farm Phase I 49.5MW Project,CDMDB0004135,49.5,None,None,None,China,,Clean Development Mechanism,https://cdm.unfccc.int,37.306,107.058,Wind
Kangbao Zhaoyanghe Wind Farm Project,CDMDB0004136,49.5,None,None,None,China,,Clean Development Mechanism,https://cdm.unfccc.int,42.133,114.583,Wind
Chongqing Chengkou County Jianjiawan Hydropower Station Project,CDMDB0004137,26.0,None,None,None,China,,Clean Development Mechanism,https://cdm.unfccc.int,32.0149,108.6097,Hydro
Gansu Sunan Xiyinghe III 8.45MW Hydropower Project,CDMDB0004130,8.45,None,None,None,China,,Clean Development Mechanism,https://cdm.unfccc.int,37.809,100.0036,Hydro
