NOTE: This Power Watch database of power plants is currently in draft status and not yet published. Please do not reference or cite the data as basis for research or publications until the data is officially published.
name,pw_idnr,capacity_mw,year_of_capacity_data,annual_generation_gwh,year_of_generation_data,country,owner,source,url,latitude,longitude,fuel1,fuel2,fuel3,fuel4
Forties Charlie,EPTR0161189,None,None,None,None,United Kingdom,Apache North Sea Limited,EPTR,http://prtr.ec.europa.eu/,57.72694,0.8475,
Foinaven FPSO,EPTR0161188,None,None,None,None,United Kingdom,BP,EPTR,http://prtr.ec.europa.eu/,60.31619,4.273194,
SEEBOARD PLC,EPTR0005090,None,None,None,None,United Kingdom,SEEBOARD PLC,EPTR,http://prtr.ec.europa.eu/,51.478668,-0.179774,
EDISON - CENTRALE TERMOELETTRICA DI NERA MONTORO (TR),EPTR0006219,None,None,None,None,Italy,EDISON,EPTR,http://prtr.ec.europa.eu/,42.495278,12.474444,
EDISON - CENTRALE TERMOELETTRICA DI TERNI,EPTR0006217,None,None,None,None,Italy,EDISON,EPTR,http://prtr.ec.europa.eu/,42.553333,12.618611,
Ninian Central,EPTR0161182,None,None,None,None,United Kingdom,CNR International (UK) Limited,EPTR,http://prtr.ec.europa.eu/,60.85678,1.469091,
Ravenspurn North,EPTR0161181,None,None,None,None,United Kingdom,BP,EPTR,http://prtr.ec.europa.eu/,54.06011,0.900166,
Thames Production Platform,EPTR0161180,None,None,None,None,United Kingdom,Mobil North Sea Ltd,EPTR,http://prtr.ec.europa.eu/,53.08438,2.54703,
,EPTR0161187,None,None,None,None,United Kingdom,Shell UK Exp and Prod,EPTR,http://prtr.ec.europa.eu/,57.1677,2.260047,
Gannet Alpha,EPTR0161186,None,None,None,None,United Kingdom,Shell UK Exp and Prod,EPTR,http://prtr.ec.europa.eu/,57.18528,1.0,
Ciepownia C-13,EPTR0016737,None,None,None,None,Poland,Przedsibiorstwo Energetyki Cieplnej Sp. z o.o.,EPTR,http://prtr.ec.europa.eu/,53.55,17.6,
Przedsibiorstwo Eneretyki Cieplnej S.A. - Ciepownia Rejonowa,EPTR0016736,None,None,None,None,Poland,Przedsibiorstwo Eneretyki Cieplnej S.A. - Ciepownia Rejonowa,EPTR,http://prtr.ec.europa.eu/,51.73333,18.05,
Solvay Infra GmbH,EPTR0017392,None,None,None,None,Germany,Solvay Infra GmbH,EPTR,http://prtr.ec.europa.eu/,51.564792,6.578706,
Stadtwerke Rostock AG,EPTR0018342,None,None,None,None,Germany,Stadtwerke Rostock AG,EPTR,http://prtr.ec.europa.eu/,54.127293,12.084827,
Cerestar Deutschland GmbH,EPTR0017396,None,None,None,None,Germany,Cerestar Deutschland GmbH,EPTR,http://prtr.ec.europa.eu/,51.340045,6.66549,
GEVER SPA - CENTRALE TERMOELETTRICA DI VERZUOLO,EPTR0005765,None,None,None,None,Italy,GEVER SPA,EPTR,http://prtr.ec.europa.eu/,44.594167,7.484722,
GKH Gemeinschaftskraftwerk Hannover GmbH,EPTR0017156,None,None,None,None,Germany,GKH Gemeinschaftskraftwerk Hannover GmbH,EPTR,http://prtr.ec.europa.eu/,52.420318,9.647604,
SEMBCORP UTILITIES (UK) LTD,EPTR0005092,None,None,None,None,United Kingdom,SEMBCORP UTILITIES (UK) LTD,EPTR,http://prtr.ec.europa.eu/,54.589739,-1.120817,
Energi Randers Production A/S,EPTR0001423,None,None,None,None,Denmark,Energi Randers Holding A/S,EPTR,http://prtr.ec.europa.eu/,56.491926,10.019992,
K+S Sigmundshall,EPTR0017159,None,None,None,None,Germany,Kali+Salz Kali GmbH,EPTR,http://prtr.ec.europa.eu/,52.41892,9.369062,
,EPTR0001426,None,None,None,None,Denmark,Energi E2,EPTR,http://prtr.ec.europa.eu/,55.603214,12.480418,
Ostrowski Zakad Ciepowniczy S.A.,EPTR0016731,None,None,None,None,Poland,Ostrowski Zakad Ciepowniczy S.A.,EPTR,http://prtr.ec.europa.eu/,51.65,17.7,
TATE AND LYLE PLC,EPTR0005163,None,None,None,None,United Kingdom,TATE AND LYLE PLC,EPTR,http://prtr.ec.europa.eu/,51.501453,0.047207,
STEAG und VEW GKW Bergkamen A oHG,EPTR0011648,None,None,None,None,Germany,,EPTR,http://prtr.ec.europa.eu/,51.639479,7.614948,
ENI S.P.A. - NAVE FPSO FIRENZE - CAMPO AQUILA,EPTR0006323,None,None,None,None,Italy,ENI S.P.A.,EPTR,http://prtr.ec.europa.eu/,44.923611,18.326111,
ENIPOWER S.P.A. - ENIPOWER S.P.A. - Stabil. di Brindisi,EPTR0006322,None,None,None,None,Italy,ENIPOWER S.P.A.,EPTR,http://prtr.ec.europa.eu/,40.633333,18.000009,
ENEL PRODUZIONE SPA - CENTRALE TERMOELETTRICA Federico II (BR SUD),EPTR0006321,None,None,None,None,Italy,ENEL PRODUZIONE SPA,EPTR,http://prtr.ec.europa.eu/,40.575,18.027232,
Ciepownia Rokitki,EPTR0016609,None,None,None,None,Poland,Zakad Energetyki Cieplnej Tczew sp. zo.o.,EPTR,http://prtr.ec.europa.eu/,54.06667,18.73333,
ZAKAD ENERGETYKI CIEPLNEJ "STAR-PEC" SP. Z O.O.,EPTR0016608,None,None,None,None,Poland,ZAKAD ENERGETYKI CIEPLNEJ "STAR-PEC" SP. Z O.O.,EPTR,http://prtr.ec.europa.eu/,53.95,18.51667,
EDIPOWER - Centrale Termoelettrica Brindisi,EPTR0006324,None,None,None,None,Italy,EDIPOWER,EPTR,http://prtr.ec.europa.eu/,40.643055,17.980843,
,EPTR0016605,None,None,None,None,Poland,,EPTR,http://prtr.ec.europa.eu/,53.85,18.1,
SERENE SPA - Centrale SERENE di Melfi,EPTR0006329,None,None,None,None,Italy,SERENE SPA,EPTR,http://prtr.ec.europa.eu/,41.066111,15.711112,
Kotownia Rejonowa KR 1,EPTR0016606,None,None,None,None,Poland,,EPTR,http://prtr.ec.europa.eu/,54.45,17.0,
Stadtwerke Frankfurt (Oder) GmbH,EPTR0018236,None,None,None,None,Germany,Stadtwerke Frankfurt (Oder) GmbH,EPTR,http://prtr.ec.europa.eu/,52.318231,14.531534,
Ciepownia Miejska,EPTR0016600,None,None,None,None,Poland,,EPTR,http://prtr.ec.europa.eu/,54.03333,19.03333,
EDF,EPTR0002837,None,None,None,None,France,EDF,EPTR,http://prtr.ec.europa.eu/,49.14,2.22,
,EPTR0163925,None,None,None,None,Spain,,EPTR,http://prtr.ec.europa.eu/,37.307908,-6.865909,
,EPTR0160567,None,None,None,None,Spain,IBERDROLA GENERACION   S.A.U,EPTR,http://prtr.ec.europa.eu/,43.29553,-5.68108,
,EPTR0165260,None,None,None,None,Spain,IBERDROLA GENERACION  S.A.U.,EPTR,http://prtr.ec.europa.eu/,43.339444,3.05,
ELECTRABEL CENTRALE VILVOORDE,EPTR0262276,None,None,None,None,Belgium,ELECTRABEL,EPTR,http://prtr.ec.europa.eu/,50.939287,4.411435,
,EPTR0160562,None,None,None,None,Spain,ENDESA GENERACION S.A. (RIBERA DEL LOIRA 60  MADRID 28042),EPTR,http://prtr.ec.europa.eu/,40.985111,-0.452294,
,EPTR0160563,None,None,None,None,Spain,ENDESA GENERACION S.A. (RIBERA DEL LOIRA 60  MADRID 28042),EPTR,http://prtr.ec.europa.eu/,41.471249,2.266417,
CENTRAL TERMICA LA ROBLA,EPTR0160560,None,None,None,None,Spain,UNION FENOSA GENERACION,EPTR,http://prtr.ec.europa.eu/,42.80436,-5.62746,
ENERGYWORKS VILLARROBLEDO,EPTR0160561,None,None,None,None,Spain,,EPTR,http://prtr.ec.europa.eu/,39.2825,-2.5909,
Electrabel Centrale Langerlo,EPTR0262279,None,None,None,None,Belgium,ELECTRABEL,EPTR,http://prtr.ec.europa.eu/,50.934049,5.478404,
ELECTRABEL CENTRALE DROGENBOS,EPTR0262278,None,None,None,None,Belgium,ELECTRABEL,EPTR,http://prtr.ec.europa.eu/,50.804432,4.297818,
,EPTR0160568,None,None,None,None,Spain,IBERDROLA GENERACION   S.A.U,EPTR,http://prtr.ec.europa.eu/,42.82751,-4.84224,
Ventspils pasvaldibas SIA"Parventas siltums"  boiler house,EPTR0016305,None,None,None,None,Latvia,Ventspils pasvaldibas SIA"Parventas siltums",EPTR,http://prtr.ec.europa.eu/,57.417222,21.5975,
Heather,EPTR0163035,None,None,None,None,United Kingdom,Lundin Britain Limited,EPTR,http://prtr.ec.europa.eu/,60.123583,0.121826,
Gryphon Alpha,EPTR0163034,None,None,None,None,United Kingdom,Maersk Oil North Sea,EPTR,http://prtr.ec.europa.eu/,59.36088,1.570994,
Fulmar Alpha,EPTR0163037,None,None,None,None,United Kingdom,Shell UK Exp and Prod,EPTR,http://prtr.ec.europa.eu/,56.4937,2.154688,
Forties Bravo,EPTR0163036,None,None,None,None,United Kingdom,Apache North Sea Limited,EPTR,http://prtr.ec.europa.eu/,57.74917,0.915,
ELECTRABEL - CENTRALE DES AWIRS,EPTR0262507,None,None,None,None,Belgium,ELECTRABEL,EPTR,http://prtr.ec.europa.eu/,50.583,5.416,
ELECTRABEL - CENTRALE D'AMERCOEUR,EPTR0262506,None,None,None,None,Belgium,ELECTRABEL,EPTR,http://prtr.ec.europa.eu/,50.433,4.4,
Leman Alpha,EPTR0163033,None,None,None,None,United Kingdom,Shell UK Exp and Prod,EPTR,http://prtr.ec.europa.eu/,53.09028,2.130555,
Judy,EPTR0163032,None,None,None,None,United Kingdom,ConocoPhillips,EPTR,http://prtr.ec.europa.eu/,56.69744,2.338333,
ELECTRABEL - CENTRALE DE MONCEAU,EPTR0262509,None,None,None,None,Belgium,ELECTRABEL,EPTR,http://prtr.ec.europa.eu/,50.4,4.383,
ELECTRABEL - CENTRALE BAUDOUR/ST GHISLAIN,EPTR0262508,None,None,None,None,Belgium,ELECTRABEL,EPTR,http://prtr.ec.europa.eu/,50.466,3.833,
Captain FPSO,EPTR0163039,None,None,None,None,United Kingdom,ChevronTexaco,EPTR,http://prtr.ec.europa.eu/,58.28333,-1.8,
Curlew,EPTR0163038,None,None,None,None,United Kingdom,Shell UK Exp and Prod,EPTR,http://prtr.ec.europa.eu/,56.73472,1.296666,
Kraftwerk Donaustadt Summe BKW 1  BKW 2 und BKW 3,EPTR0001938,None,None,None,None,Austria,Wienstrom GmbH,EPTR,http://prtr.ec.europa.eu/,48.183333,16.45,
GENFIBRE  S.A.,EPTR0160580,None,None,None,None,Spain,GENFIBRE  S.A.,EPTR,http://prtr.ec.europa.eu/,42.6825,-2.92333,
EEVG,EPTR0001931,None,None,None,None,Austria,UPM Kymmene Austria GmbH/SCA- Graphic-Laakirchen,EPTR,http://prtr.ec.europa.eu/,47.983333,13.816667,
Kraftwerk Simmering Summe BKW 1 / 2 und BKW3,EPTR0001937,None,None,None,None,Austria,Wienstrom GmbH,EPTR,http://prtr.ec.europa.eu/,48.166667,16.433333,
Kraftwerk Leopoldau GuD,EPTR0001936,None,None,None,None,Austria,Wienstrom GmbH,EPTR,http://prtr.ec.europa.eu/,48.266667,16.433333,
DYNASOL ELASTOMEROS,EPTR0160586,None,None,None,None,Spain,REPSOL QUIMICA  S.A.,EPTR,http://prtr.ec.europa.eu/,43.42204,-3.75087,
ENEL PRODUZIONE SPA - CENTRALE TERMOELETTRICA DI PORTO TOLLE,EPTR0006036,None,None,None,None,Italy,ENEL PRODUZIONE SPA,EPTR,http://prtr.ec.europa.eu/,44.9575,12.490278,
EURO DISNEY SCA,EPTR0002786,None,None,None,None,France,EURO DISNEY SCA,EPTR,http://prtr.ec.europa.eu/,48.87,2.76,
,EPTR0016412,None,None,None,None,Poland,Kogeneracja S.A.,EPTR,http://prtr.ec.europa.eu/,51.95,15.48333,
CENTRAL DIESEL PUNTA GRANDE,EPTR0163721,None,None,None,None,Spain,,EPTR,http://prtr.ec.europa.eu/,28.97001,-13.54123,
,EPTR0163720,None,None,None,None,Spain,,EPTR,http://prtr.ec.europa.eu/,-15.61006,27.89994,
,EPTR0163722,None,None,None,None,Spain,,EPTR,http://prtr.ec.europa.eu/,28.97001,-16.25898,
C.T. PUENTE NUEVO,EPTR0163725,None,None,None,None,Spain,VIESGO GENERACION  S.L.,EPTR,http://prtr.ec.europa.eu/,38.112854,-4.933415,
C.T. ESCATRON,EPTR0163724,None,None,None,None,Spain,VIESGO GENERACION  S.L.,EPTR,http://prtr.ec.europa.eu/,41.28857,-0.32126,
Kilroot Power Station,EPTR0005544,None,None,None,None,United Kingdom,AES Kilroot Power Ltd,EPTR,http://prtr.ec.europa.eu/,0.0,0.0,
Kevlar plant / Cogen plant,EPTR0005542,None,None,None,None,United Kingdom,Du Pont (UK) Ltd,EPTR,http://prtr.ec.europa.eu/,0.0,0.0,
Belfast West Power Station,EPTR0005543,None,None,None,None,United Kingdom,AES Belfast West Power Ltd,EPTR,http://prtr.ec.europa.eu/,0.0,0.0,
Coolkeeragh Power Station,EPTR0005540,None,None,None,None,United Kingdom,Coolkeeragh (Holdings) Ltd,EPTR,http://prtr.ec.europa.eu/,0.0,0.0,
KB Kraftwerk-Betriebs-GmbH Aschaffenburg,EPTR0012200,None,None,None,None,Germany,SCA Packaging Containerboard Deutschland GmbH,EPTR,http://prtr.ec.europa.eu/,49.988484,9.15285,
,EPTR0162457,None,None,None,None,Sweden,,EPTR,http://prtr.ec.europa.eu/,57.728533,12.928931,
Brikettfabrik Deuben 1 / Kraftwerk Deuben,EPTR0012814,None,None,None,None,Germany,Mitteldeutsche Braunkohlengesellschaft mbH/MIB GmbH,EPTR,http://prtr.ec.europa.eu/,51.112927,12.077494,
ROMONTA GmbH,EPTR0012815,None,None,None,None,Germany,ROMONTA GmbH,EPTR,http://prtr.ec.europa.eu/,51.46291,11.719377,
CLARIANT,EPTR0002010,None,None,None,None,France,CLARIANT France,EPTR,http://prtr.ec.europa.eu/,49.39,2.96,
Kraftwerk Mumsdorf,EPTR0012812,None,None,None,None,Germany,MIBRAG Industriekraftwerke BetriebsGmbH,EPTR,http://prtr.ec.europa.eu/,51.072455,12.262544,
,EPTR0012813,None,None,None,None,Germany,MIBRAG INDUSTRIEKRAFTWERKE BETRIEBS GmbH,EPTR,http://prtr.ec.europa.eu/,51.167584,12.077914,
E.ON UK CHP Kemsley Ltd,EPTR0164550,None,None,None,None,United Kingdom,E.ON UK CHP Kemsley Ltd,EPTR,http://prtr.ec.europa.eu/,51.362485,0.750829,
,EPTR0015635,None,None,None,None,France,,EPTR,http://prtr.ec.europa.eu/,47.33,0.65,
Stadtwerke Leipzig GmbH,EPTR0012630,None,None,None,None,Germany,Stadtwerke Leipzig GmbH,EPTR,http://prtr.ec.europa.eu/,51.35335,12.379013,
,EPTR0162850,None,None,None,None,Estonia,,EPTR,http://prtr.ec.europa.eu/,58.378089,24.538506,
ARJO WIGGINS,EPTR0002658,None,None,None,None,France,ARJO WIGGINS,EPTR,http://prtr.ec.europa.eu/,47.82,0.72,
EDF CPT,EPTR0002304,None,None,None,None,France,EDF CPT,EPTR,http://prtr.ec.europa.eu/,49.49,0.13,
E.ON Kraftwerke GmbH - Kraftwerk Schkopau,EPTR0012723,None,None,None,None,Germany,E.ON Kraftwerke GmbH,EPTR,http://prtr.ec.europa.eu/,51.399655,11.953811,
Energieversorgung Halle GmbH,EPTR0012726,None,None,None,None,Germany,Energieversorgung Halle GmbH,EPTR,http://prtr.ec.europa.eu/,51.460719,11.992517,
OULUN ENERGIA  Toppilan voimalaitokset  Oulu,EPTR0009926,None,None,None,None,Finland,OULUN ENERGIA  Toppilan voimalaitokset  Oulu,EPTR,http://prtr.ec.europa.eu/,65.037777,25.436111,
Heizkraftwerk Halle-Trotha GmbH,EPTR0012728,None,None,None,None,Germany,Heizkraftwerk Halle-Trotha GmbH,EPTR,http://prtr.ec.europa.eu/,51.524925,11.944808,
PPC S.A.  SES PTOLEMAIDAS,EPTR0009438,None,None,None,None,Greece,NOT LISTED,EPTR,http://prtr.ec.europa.eu/,40.480833,21.726917,
PPC S.A.  SES KARDIAS,EPTR0009439,None,None,None,None,Greece,NOT LISTED,EPTR,http://prtr.ec.europa.eu/,40.410778,21.785944,
DALKIA,EPTR0003124,None,None,None,None,France,DALKIA,EPTR,http://prtr.ec.europa.eu/,50.63,3.04,
E.On Benelux Generations NV (RoCa),EPTR0007144,None,None,None,None,Netherlands,E.On Benelux Generations NV (RoCa),EPTR,http://prtr.ec.europa.eu/,51.968932,4.557993,
E.On Benelux Generation NV (Galileistraat),EPTR0007142,None,None,None,None,Netherlands,E.On Benelux Generation NV (Galileistraat),EPTR,http://prtr.ec.europa.eu/,51.911113,4.42534,
E.On Benelux Generations NV (Maasvlakte),EPTR0007143,None,None,None,None,Netherlands,E.On Benelux Generations NV (Maasvlakte),EPTR,http://prtr.ec.europa.eu/,51.959429,4.020378,
,EPTR0012035,None,None,None,None,Germany,,EPTR,http://prtr.ec.europa.eu/,48.115021,11.55706,
Kraftwerksgesellschaft Burghausen,EPTR0012032,None,None,None,None,Germany,Kraftwerksgesellschaft mbH,EPTR,http://prtr.ec.europa.eu/,48.181827,12.84986,
Kraftwerk Zolling,EPTR0012030,None,None,None,None,Germany,E.ON Kraftwerke GmbH,EPTR,http://prtr.ec.europa.eu/,48.456149,11.800963,
Elektromark AG Cuno Kraftwerk,EPTR0011600,None,None,None,None,Germany,Elektromark AG,EPTR,http://prtr.ec.europa.eu/,51.404281,7.41519,
KEADBY GENERATION LTD,EPTR0163375,None,None,None,None,United Kingdom,KEADBY GENERATION LTD,EPTR,http://prtr.ec.europa.eu/,53.593426,-0.739874,
E.ON Kraftwerke GmbH Kraftwerk Shamrock,EPTR0011609,None,None,None,None,Germany,e.on Kraftwerke GmbH,EPTR,http://prtr.ec.europa.eu/,51.529851,7.178559,
EDF (TURBINE A COMBUSTION),EPTR0015561,None,None,None,None,France,EDF Gaz de France Distribution Ille et VILAINE,EPTR,http://prtr.ec.europa.eu/,-20.931587,55.310595,
EDF (CENTRALE THERMIQUE),EPTR0015560,None,None,None,None,France,EDF Gaz de France Distribution Ille et VILAINE,EPTR,http://prtr.ec.europa.eu/,-20.931587,55.310595,
ENI S.P.A. - NAVE FPSO FIRENZE - CAMPO AQUILA,EPTR0007001,None,None,None,None,Italy,ENI S.P.A.,EPTR,http://prtr.ec.europa.eu/,44.923611,18.326111,
ENIPOWER S.P.A. - ENIPOWER S.P.A. - Stabil. di Brindisi,EPTR0007000,None,None,None,None,Italy,ENIPOWER S.P.A.,EPTR,http://prtr.ec.europa.eu/,40.633333,18.000009,
EDIPOWER - Centrale Termoelettrica Brindisi,EPTR0007002,None,None,None,None,Italy,EDIPOWER,EPTR,http://prtr.ec.europa.eu/,40.643055,17.980843,
SERENE SPA - Centrale SERENE di Melfi,EPTR0007009,None,None,None,None,Italy,SERENE SPA,EPTR,http://prtr.ec.europa.eu/,41.066111,15.711112,
FORTUM O & M (UK) LIMITED,EPTR0164635,None,None,None,None,United Kingdom,FORTUM O & M (UK) LTD,EPTR,http://prtr.ec.europa.eu/,60.45797,-1.269893,
,EPTR0015091,None,None,None,None,France,ELECTRICITE DE FRANCE,EPTR,http://prtr.ec.europa.eu/,47.29,-1.83,
EDISON - CENTRALI TERMOELETTRICHE DI PIOMBINO,EPTR0006848,None,None,None,None,Italy,EDISON,EPTR,http://prtr.ec.europa.eu/,42.941389,10.543889,
COMPAGNIE DE COGENARATION DE LA BRAYE,EPTR0003238,None,None,None,None,France,COMPAGNIE DE COGENERATION DE LA BRAYE,EPTR,http://prtr.ec.europa.eu/,47.81,0.76,
RWE Power AG,EPTR0011284,None,None,None,None,Germany,RWE Power AG,EPTR,http://prtr.ec.europa.eu/,52.482177,7.306533,
RWE Power AG,EPTR0011285,None,None,None,None,Germany,RWE Power AG,EPTR,http://prtr.ec.europa.eu/,52.758612,7.277012,
ENEL PRODUZIONE SPA - Centrale Termoelettrica di Livorno,EPTR0006847,None,None,None,None,Italy,ENEL PRODUZIONE SPA,EPTR,http://prtr.ec.europa.eu/,43.543611,10.316944,
GIE OSIRIS,EPTR0014946,None,None,None,None,France,GIE OSIRIS,EPTR,http://prtr.ec.europa.eu/,45.39,4.77,
,EPTR0011114,None,None,None,None,Germany,,EPTR,http://prtr.ec.europa.eu/,53.568029,9.726857,
Grangemouth CHP Ltd,EPTR0005627,None,None,None,None,United Kingdom,GRANGEMOUTH CHP LIMITED,EPTR,http://prtr.ec.europa.eu/,56.0095,-3.691989,
SOCCRAM (chaufferie LUCY II),EPTR0014542,None,None,None,None,France,SOCCRAM,EPTR,http://prtr.ec.europa.eu/,46.67,4.35,
E.ON KRAFTWERK SCHOLVEN,EPTR0011736,None,None,None,None,Germany,E.ON Kraftwerke GmbH,EPTR,http://prtr.ec.europa.eu/,51.599185,7.008943,
E.ON KRAFTWERK DATTELN,EPTR0011737,None,None,None,None,Germany,E.ON Kraftwerke GmbH,EPTR,http://prtr.ec.europa.eu/,51.630766,7.331644,
SPONTEX SNC,EPTR0014385,None,None,None,None,France,E. PERROT,EPTR,http://prtr.ec.europa.eu/,49.43,2.08,
LA ROCHETTE VENIZEL,EPTR0014381,None,None,None,None,France,LA ROCHETTE VENIZEL,EPTR,http://prtr.ec.europa.eu/,49.22,3.24,
ENDESA ITALIA S.P.A. - CENTRALE TEMOELETTRICA DI TAVAZZANO E MONTANASO LOMBARDO,EPTR0005943,None,None,None,None,Italy,ENDESA ITALIA S.P.A.,EPTR,http://prtr.ec.europa.eu/,45.335278,9.4275,
Gasunie,EPTR0007316,None,None,None,None,Netherlands,Gasunie,EPTR,http://prtr.ec.europa.eu/,51.782765,5.662859,
,EPTR0000471,None,None,None,None,Finland,,EPTR,http://prtr.ec.europa.eu/,61.4872,21.8163,
Fortum Power and Heat Oy  Meri-Porin voimalaitos,EPTR0000472,None,None,None,None,Finland,Fortum Power and Heat Oy  Meri-Porin voimalaitos,EPTR,http://prtr.ec.europa.eu/,61.6324,21.4048,
,EPTR0010739,None,None,None,None,Austria,Verbund-Austrian Thermal Power GmbH & Co KG,EPTR,http://prtr.ec.europa.eu/,48.3,15.883333,
,EPTR0010880,None,None,None,None,Czech Republic,EZ  a. s.,EPTR,http://prtr.ec.europa.eu/,50.02930441,15.44990715,
,EPTR0010882,None,None,None,None,Czech Republic,EZ  a. s.,EPTR,http://prtr.ec.europa.eu/,49.91032153,18.46001254,
,EPTR0010884,None,None,None,None,Czech Republic,,EPTR,http://prtr.ec.europa.eu/,49.69384878,18.32990643,
Reliant Energy Diemen,EPTR0000878,None,None,None,None,Netherlands,Reliant Energy Diemen,EPTR,http://prtr.ec.europa.eu/,52.339121,5.019641,
E.ON Kraftwerk Staudinger,EPTR0017702,None,None,None,None,Germany,E.ON Kraftwerke GmbH,EPTR,http://prtr.ec.europa.eu/,50.08747,8.952909,
e.on Kraftwerke GmbH (Kraftwerk Farge),EPTR0011428,None,None,None,None,Germany,e.on Kraftwerke GmbH (Kraftwerk Farge),EPTR,http://prtr.ec.europa.eu/,53.203187,8.51776,
swb Synor GmbH & Co KG Kraftwerk Hastedt,EPTR0011420,None,None,None,None,Germany,swb Synor GmbH & Co KG,EPTR,http://prtr.ec.europa.eu/,53.060732,8.874244,
,EPTR0011421,None,None,None,None,Germany,swb Synor GmbH & Co.KG,EPTR,http://prtr.ec.europa.eu/,53.130393,8.686671,
