NOTE: This Power Watch database of power plants is currently in draft status and not yet published. Please do not reference or cite the data as basis for research or publications until the data is officially published.
name,pw_idnr,capacity_mw,year_of_capacity_data,annual_generation_gwh,year_of_generation_data,country,owner,source,url,latitude,longitude,fuel1,fuel2,fuel3,fuel4
SDGX01,CHL0000014,1.28,2016,None,None,Chile,,Energía Abierta (Chile),http://energiaabierta.cl/electricidad/,-30.2271628644,-71.0924813831,Solar
SOL,CHL0000015,2.96,2016,None,None,Chile,,Energía Abierta (Chile),http://energiaabierta.cl/electricidad/,None,None,Solar
SOLAR DIEGO DE ALMAGRO,CHL0000016,28.05,2016,None,None,Chile,,Energía Abierta (Chile),http://energiaabierta.cl/electricidad/,-26.3795888396,-70.0194165858,Solar
SOLAR HORNITOS,CHL0000017,0.32,2016,None,None,Chile,,Energía Abierta (Chile),http://energiaabierta.cl/electricidad/,-27.733111,-70.195998,Solar
OLIVOS,CHL0000078,115.2,2016,None,None,Chile,,Energía Abierta (Chile),http://energiaabierta.cl/electricidad/,None,None,Oil
PUNITAQUI,CHL0000079,9.0,2016,None,None,Chile,,Energía Abierta (Chile),http://energiaabierta.cl/electricidad/,None,None,Oil
TRONGOL-CURANILAHUE,CHL0000072,2.8,2016,None,None,Chile,,Energía Abierta (Chile),http://energiaabierta.cl/electricidad/,None,None,Oil
YUNGAY,CHL0000073,199.1,2016,None,None,Chile,,Energía Abierta (Chile),http://energiaabierta.cl/electricidad/,None,None,Oil
SANTA MARIA,CHL0000070,341.991,2016,None,None,Chile,,Energía Abierta (Chile),http://energiaabierta.cl/electricidad/,None,None,Coal
TIRUA,CHL0000071,1.9,2016,None,None,Chile,,Energía Abierta (Chile),http://energiaabierta.cl/electricidad/,None,None,Oil
LOS ESPINOS,CHL0000076,124.0,2016,None,None,Chile,,Energía Abierta (Chile),http://energiaabierta.cl/electricidad/,None,None,Oil
MONTE PATRIA,CHL0000077,9.0,2016,None,None,Chile,,Energía Abierta (Chile),http://energiaabierta.cl/electricidad/,None,None,Oil
ORAFTI,CHL0000074,0.5,2016,None,None,Chile,,Energía Abierta (Chile),http://energiaabierta.cl/electricidad/,None,None,Oil
EL PENON,CHL0000075,80.838,2016,None,None,Chile,,Energía Abierta (Chile),http://energiaabierta.cl/electricidad/,None,None,Oil
QUELLON II,CHL0000087,7.0,2016,None,None,Chile,,Energía Abierta (Chile),http://energiaabierta.cl/electricidad/,None,None,Oil
MULTIEXPORT (I-II),CHL0000086,3.0,2016,None,None,Chile,,Energía Abierta (Chile),http://energiaabierta.cl/electricidad/,None,None,Oil
DEGAN,CHL0000085,36.0,2016,None,None,Chile,,Energía Abierta (Chile),http://energiaabierta.cl/electricidad/,None,None,Oil
DANISCO,CHL0000084,0.8,2016,None,None,Chile,,Energía Abierta (Chile),http://energiaabierta.cl/electricidad/,None,None,Oil
CHUYACA,CHL0000083,11.3,2016,None,None,Chile,,Energía Abierta (Chile),http://energiaabierta.cl/electricidad/,None,None,Oil
CHILOE,CHL0000082,9.0,2016,None,None,Chile,,Energía Abierta (Chile),http://energiaabierta.cl/electricidad/,None,None,Oil
BIOMAR,CHL0000081,2.4,2016,None,None,Chile,,Energía Abierta (Chile),http://energiaabierta.cl/electricidad/,None,None,Oil
PUNTA COLORADA,CHL0000080,16.609,2016,None,None,Chile,,Energía Abierta (Chile),http://energiaabierta.cl/electricidad/,-29.3667938945,-71.0428521642,Oil
SKRETTING OSORNO,CHL0000089,3.0,2016,None,None,Chile,,Energía Abierta (Chile),http://energiaabierta.cl/electricidad/,None,None,Oil
SKRETTING,CHL0000088,2.7,2016,None,None,Chile,,Energía Abierta (Chile),http://energiaabierta.cl/electricidad/,None,None,Oil
POZO ALMONTE SOLAR 1,CHL0000009,9.0,2016,None,None,Chile,,Energía Abierta (Chile),http://energiaabierta.cl/electricidad/,None,None,Solar
PMGD PICA I,CHL0000008,0.6,2016,None,None,Chile,,Energía Abierta (Chile),http://energiaabierta.cl/electricidad/,None,None,Solar
MARIA ELENA,CHL0000007,68.0,2016,None,None,Chile,,Energía Abierta (Chile),http://energiaabierta.cl/electricidad/,-40.7719411231,-72.487522251,Solar
LUNA,CHL0000006,2.96,2016,None,None,Chile,,Energía Abierta (Chile),http://energiaabierta.cl/electricidad/,None,None,Solar
LOS PUQUIOS,CHL0000005,2.47,2016,None,None,Chile,,Energía Abierta (Chile),http://energiaabierta.cl/electricidad/,None,None,Solar
LLANO DE LLAMPOS,CHL0000004,101.02,2016,None,None,Chile,,Energía Abierta (Chile),http://energiaabierta.cl/electricidad/,-27.1174606311,-70.1711434014,Solar
LALACKAMA,CHL0000003,71.5,2016,None,None,Chile,,Energía Abierta (Chile),http://energiaabierta.cl/electricidad/,-25.1207651233,-70.3109855627,Solar
ESPERANZA,CHL0000002,2.88,2016,None,None,Chile,,Energía Abierta (Chile),http://energiaabierta.cl/electricidad/,-34.2421309573,-70.674061034,Solar
CHANARES,CHL0000001,36.0,2016,None,None,Chile,,Energía Abierta (Chile),http://energiaabierta.cl/electricidad/,-26.3747649155,-70.0656616061,Solar
SANTA LIDIA,CHL0000069,137.61,2016,None,None,Chile,,Energía Abierta (Chile),http://energiaabierta.cl/electricidad/,None,None,Oil
SAN GREGORIO,CHL0000068,0.5,2016,None,None,Chile,,Energía Abierta (Chile),http://energiaabierta.cl/electricidad/,None,None,Oil
CANDELARIA,CHL0000104,253.9,2016,None,None,Chile,,Energía Abierta (Chile),http://energiaabierta.cl/electricidad/,None,None,Gas
COLIHUES,CHL0000105,21.2,2016,None,None,Chile,,Energía Abierta (Chile),http://energiaabierta.cl/electricidad/,None,None,Oil
