NOTE: This Power Watch database of power plants is currently in draft status and not yet published. Please do not reference or cite the data as basis for research or publications until the data is officially published.
name,pw_idnr,capacity_mw,year_of_capacity_data,country,owner,source,url,latitude,longitude,commissioning_year,fuel1,fuel2,fuel3,fuel4,generation_gwh_2012,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016
Hamma 2,1023783,418.0,,Algeria,Sonelgaz Production de lâ€™Electricite,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,36.7489,3.08229,,Gas,,,,,,,,
Hamma Mobile Gas Turbine,1023812,48.0,,Algeria,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,2014.0,Gas,,,,,,,,
Hassi Messaoud Mobile,1023796,72.0,,Algeria,Sonelgaz Production de l'Electricite,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,31.670321,6.053141,2013.0,Gas,,,,,,,,
Hassi Messoud,1023779,600.0,,Algeria,Sonelgaz Production de l'Electricite,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,31.670321,6.053141,2015.0,Gas,,,,,,,,
Hassi Messoud Nord 2,1023790,200.0,,Algeria,Sonelgaz Production de l'Electricite,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,31.7877,6.0517,1988.0,Gas,,,,,,,,
Hassi Messoud Ouest,1023799,492.0,,Algeria,Sonelgaz Production de l'Electricite,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,31.80652,5.992378,,Gas,,,,,,,,
Hassi R'Mel,1023804,88.0,,Algeria,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,1979.0,Gas,,,,,,,,
Ighil Emda,1023798,24.0,,Algeria,SAFEAGE,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,36.4739,5.2719,1952.0,Hydro,,,,,,,,
Jijel,1023775,588.0,,Algeria,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,36.8139,5.876,,Gas,,,,,,,,
Kahrama IPP,1023784,345.0,,Algeria,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,35.80639,-0.2476,,Gas,,,,,,,,
Koudiet Eddraouch,1023769,1200.0,,Algeria,Shariket Karhaba Koudiet Eddraouch SpA (SKD),Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,36.885,8.0778,2013.0,Gas,,,,,,,,
Labreg,1023815,396.0,,Algeria,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,34.50557,6.98476,2015.0,Gas,,,,,,,,
Mansouriah,1023802,65.0,,Algeria,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,1952.0,Hydro,,,,,,,,
Marsat,1023772,840.0,,Algeria,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,35.8,-0.1924,,Gas,,,,,,,,
Marsat TG,1023789,184.0,,Algeria,Sonelgaz Production de lâ€™Electricite,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,35.8,-0.1924,,Gas,,,,,,,,
Msila 1,1023773,980.0,,Algeria,Sonelgaz Production de lâ€™Electricite,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,35.70714,4.480437,,Gas,,,,,,,,
Naama TG,1023803,184.0,,Algeria,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,Gas,,,,,,,,
Oran Est,1023805,75.0,,Algeria,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,2007.0,Gas,,,,,,,,
Ouagla Mobile Gas Turbine,1023814,68.0,,Algeria,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,2014.0,Gas,,,,,,,,
Ras Djinet,1023774,672.0,,Algeria,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,36.8509,3.6983,,Gas,,,,,,,,
Ravin Blanc,1023791,73.0,,Algeria,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,35.7095,-0.6319,1974.0,Gas,,,,,,,,
Relizane,1023780,465.0,,Algeria,SociÃ©tÃ© AlgÃ©rienne de Production de lâ€™ElectricitÃ© (SPE),Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,35.7835,0.54067,2010.0,Gas,,,,,,,,
SKB IPP,1023778,484.0,,Algeria,Sonelgaz Production de l'Electricite,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,36.1399,2.9296,2007.0,Gas,,,,,,,,
SKS IPP SNC Lavalin,1023771,815.0,,Algeria,Sharikat Kahraba Skikda (SKS - Skikda Power Co.)  SNC-Lavalin,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,36.8789,6.9366,2006.0,Gas,,,,,,,,
SPP1 Thermal,1023797,150.0,,Algeria,Developed by SPP1  an Abener and New Energy Algeria (NEAL) a joint venture (between Sonatrach Sonelgaz and SIM),Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,32.94748,3.237981,2011.0,Gas,Solar,,,,,,,
Sablette Mobile Gas Turbine,1023816,48.0,,Algeria,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,2015.0,Gas,,,,,,,,
Skikda,1023786,262.0,,Algeria,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,36.88,6.935,1975.0,Gas,,,,,,,,
Terga,1023770,1200.0,,Algeria,Shariket Kahraba Terga JSC,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,35.4608,-1.22953,2013.0,Gas,,,,,,,,
Tiaret,1023782,300.0,,Algeria,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,35.3396,1.3562,,Gas,,,,,,,,
Tilghemt 1,1023787,200.0,,Algeria,SociÃ©tÃ© AlgÃ©rienne de Production de lâ€™ElectricitÃ© (SPE),Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,33.13187,3.347958,1980.0,Gas,,,,,,,,
Tilghemt 2,1023788,600.0,,Algeria,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,33.13775,3.367823,2016.0,Gas,,,,,,,,
Biopio,1023002,22.8,,Angola,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,-12.4706,13.7319,,Oil,,,,,,,,
Biopio (hydro),1023001,14.6,,Angola,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,-12.4706,13.7319,,Hydro,,,,,,,,
Cambambe,1023003,180.0,,Angola,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,-9.752325,14.480853,,Hydro,,,,,,,,
Capanda,1023004,520.0,,Angola,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,-9.795468,15.467191,,Hydro,,,,,,,,
Cazenga,1023005,132.0,,Angola,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,-8.8383333,13.2344444,,Gas,,,,,,,,
Huambo,1023006,16.26,,Angola,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,-12.76,15.75,,Oil,,,,,,,,
Lobito,1023007,20.0,,Angola,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,-12.37,13.57,,Gas,,,,,,,,
Luanda Diesel,1023008,58.0,,Angola,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,-8.8383333,13.2344444,,Oil,,,,,,,,
Luanda Refinery,1023009,18.5,,Angola,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,-8.8383333,13.2344444,,Oil,,,,,,,,
Malongo,1023010,10.0,,Angola,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,-5.55,12.2,,Oil,,,,,,,,
Matala,1023011,40.0,,Angola,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,-14.7333333,15.0333333,,Hydro,,,,,,,,
Namibe,1023012,11.68,,Angola,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,-15.1961111,12.1522222,,Gas,,,,,,,,
Rio Luachimo,1023013,16.0,,Angola,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,-7.3,20.85,,Hydro,,,,,,,,
Xitoto,1023014,11.34,,Angola,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,-15.3333333,15.0,,Oil,,,,,,,,
McMurdo Station Generator,1023843,6.6,,Antarctica,,Antarctica Australia,http://www.antarctica.gov.au/__data/assets/pdf_file/0007/21949/ml_385474997916667_atcm28_att067_rev1_e.pdf,-77.846983,166.660486,1981.0,Oil,,,,,,,,
Ross Island,1022458,1.0,,Antarctica,Meridian Energy,Meridian Energy,https://www.meridianenergy.co.nz/about-us/our-power-stations/wind/ross-island,-77.842804,166.727138,,Wind,,,,,,,,
Armenian-2,1019028,375.0,,Armenia,Armenian Nuclear Power Company,IAEA PRIS,https://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=2,40.18051,44.1498,1980.0,Nuclear,,,,,,,,
Hrazadan,1019027,1110.0,,Armenia,Hrazdan Energy Company,Armenia Ministry of Energy and Natural Resources,http://www.minenergy.am/en/page/532,40.564,44.7479,,Gas,,,,,,,,
New Yerevan,1019026,271.0,,Armenia,Yerevan  TPP,Armenia Ministry of Energy and Natural Resources,http://www.minenergy.am/en/page/531,40.115211,44.497293,2010.0,Gas,,,,,,,,
Sevan-Hrazdan Cascade,1003805,561.0,,Armenia,RusHydro,Armenia Ministry of Energy and Natural Resources,http://www.minenergy.am/en/page/534,40.5078,44.7606,,Hydro,,,,,,,,
Shamb,1019030,170.0,,Armenia,Ministry of Energy an Natural Resources,Armenia Ministry of Energy and Natural Resources,http://www.minenergy.am/en/page/533,39.4743,46.1306,1978.0,Hydro,,,,,,,,
Spandaryan,1019031,76.0,,Armenia,Ministry of Energy an Natural Resources,Armenia Ministry of Energy and Natural Resources,http://www.minenergy.am/en/page/533,39.6494,45.85,1989.0,Hydro,,,,,,,,
Tatev,1019029,158.0,,Armenia,Ministry of Energy an Natural Resources,Armenia Ministry of Energy and Natural Resources,http://www.minenergy.am/en/page/533,39.395604,46.25784,1970.0,Hydro,,,,,,,,
Yerevan,1019025,550.0,,Armenia,Yerevan TPP,Armenia Ministry of Energy and Natural Resources,http://www.minenergy.am/en/page/531,40.113804,44.503772,,Gas,,,,,,,,
Abwinden-Asten,1005149,168.0,,Austria,Verbund,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,1980.0,Hydro,,,,,,,,
Altenmarkt,1005150,26.0,,Austria,Verbund,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,1960.0,Hydro,,,,,,,,
Altenwörth,1005151,328.0,,Austria,Verbund,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,1976.0,Hydro,,,,,,,,
Annabrücke,1005152,90.0,,Austria,Verbund,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,1981.0,Hydro,,,,,,,,
Arnstein,1005153,30.0,,Austria,Verbund,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,1925.0,Hydro,,,,,,,,
Aschach,1005154,287.0,,Austria,Verbund,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,1964.0,Hydro,,,,,,,,
Bischofshofen,1005155,16.0,,Austria,Verbund,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,1986.0,Hydro,,,,,,,,
Bodensdorf-Mur,1005156,7.0,,Austria,Verbund,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,1982.0,Hydro,,,,,,,,
Bodensdorf-Paal,1005157,27.0,,Austria,Verbund,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,1982.0,Hydro,,,,,,,,
Braunau-Simbach,1005159,100.0,,Austria,Verbund,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,1954.0,Hydro,,,,,,,,
Dionysen,1005160,16.0,,Austria,Verbund,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,1949.0,Hydro,,,,,,,,
Donaustadt,1019146,395.0,,Austria,Wien Energie,Wien Energie,http://www.wienenergie.at/eportal3/ep/channelView.do/channelId/-51721,,,2001.0,Gas,,,,,,,,
