Plant Code,Plant Name,Owner,NERC Region,Latitude,Longitude,Weighted Year.Month,Primary Fuel,Total Capacity (MW),Net Generation (MWh)
58993,Pine Tree Landfill Gas to Energy,Pine Tree Landfill,NPCC,44.768611,-68.861667,2009,Waste,3.3,10667
58995,St. Olaf Wind Turbine,St. Olaf College,MRO,44.462222,-93.192778,2007,Wind,3.2,3137
58996,St. Olaf StandBy Generators,St. Olaf College,MRO,44.461111,-93.180833,2000,Oil,4.1,118
59003,Two Dot Wind Farm,NJR Clean Energy Ventures Corporation,WECC,46.449444,-110.087222,2015,Wind,19.4,17342
59010,Macho Springs,Southern Power Co,WECC,32.57,-107.48,2015,Solar,104.4,87277
59011,Southbridge Landfill Gas-to-Energy,"Southbridge Recycling and Disposal Park, Inc",NPCC,42.104444,-72.0325,2012,Waste,1.6,9490
59013,Scituate PV,Main Street Power,NPCC,42.1775,-70.740556,2014,Solar,5,4076
59014,Bolton PV,Main Street Power,NPCC,42.449722,-71.643056,2014,Solar,9.8,7426
59015,Stow PV,Main Street Power,NPCC,42.436944,-71.506111,2014,Solar,4,3046
59018,East Chicago,Lake County Solar LLC,RFC,41.632222,-87.469167,2014,Solar,4,3210
59019,Griffith,Lake County Solar LLC,RFC,41.521389,-87.436111,2014,Solar,4,2994
59020,Gila Bend,Arizona Public Service Co,WECC,32.940833,-112.881389,2015,Solar,64,63746
59022,Kingston Wind Independence,Kingston Wind Independence,NPCC,41.978889,-70.715833,2013,Wind,4,3920
59023,Ipswich Wind Independence,Ipswich Wind Independence,NPCC,42.717222,-70.846389,2013,Wind,4,4500
59024,"Euclid Farm, Stamco N-54",Case Western Reserve University,RFC,41.602222,-81.496944,2013,Wind,2,995
59026,Back River Waste Water Treatment,City Council of Baltimore City,RFC,39.299722,-76.494167,2011,Waste,3.8,7556
59028,Agawam Solar,Citizens Enterprises Corporation,NPCC,42.081944,-72.614444,2013,Solar,3,2157
59029,Rehoboth Solar,Citizens Enterprises Corporation,NPCC,41.901667,-71.2425,2014,Solar,4,3051
59030,Chicopee Solar,Citizens Enterprises Corporation,NPCC,42.185556,-72.5825,2014,Solar,6,4783
59031,Route 57 Solar,Citizens Enterprises Corporation,NPCC,42.058889,-72.664167,2014,Solar,3,2200
59032,EBZ Solar,Citizens Enterprises Corporation,NPCC,42.570556,-71.625,2014,Solar,5,3686
59033,Whately Solar,Citizens Enterprises Corporation,NPCC,42.446111,-72.623611,2014,Solar,3,2064
59038,Battleground,"Battleground Solar 1, LLC",SERC,35.22,-81.33,2014,Solar,7,6277
59039,Beulaville,Beulaville Solar LLC,SERC,34.9,-77.78,2014,Solar,4,3656
59042,Ellerbe,FLS Solar 110 Solar LLC,SERC,35.1,-79.73,2014,Solar,4,3272
59043,West Davisville Solar,WR-TGC Solar Generation IV LLC,NPCC,41.603611,-71.477222,2014,Solar,4,2794
59044,Rio Rico Solar,"UNS Electric, Inc",WECC,31.5,-111.008056,2015,Solar,12,8179
59045,Jameson Energy Center,Kansas Municipal Energy Agency,SPP,37.954722,-100.830556,2015,Gas,27.6,1099
59046,651 Chase Solar NG,651 Chase Solar NG LLC,NPCC,42.626667,-71.742778,2015,Solar,5,1611
59049,Whitcomb Solar Farm,ERWR Whitcomb Farm Solar LLC,NPCC,44.485556,-73.136944,2015,Solar,4.4,233
59050,Wallace,Wallace Solar LLC,SERC,35.29,-77.54,2014,Solar,4,3635
59051,Kenansville,Kenansville Solar LLC,SERC,34.96,-78.04,2014,Solar,4,3726
59052,Fairmont-FLS 100,FLS Solar 100 LLC,SERC,34.52,-79.13,2014,Solar,8,7355
59055,Rariton OMP,Janssen Pharmaceutical Co,RFC,40.574444,-74.648056,2012,Gas,7.8,4256
59056,Spring House,Janssen Pharmaceutical Co,NPCC,40.183889,-75.234167,2014,Gas,3.8,23503
59057,Skillman,Janssen Pharmaceutical Co,RFC,40.574444,-74.648056,2012,Solar,5.4,2513
59058,Vacaville,Janssen Pharmaceutical Co,WECC,38.399444,-121.960278,2008,Solar,2,1944
