Combustible,gid,Nombre Central,Latitud,Longitud,Added
,,Hidrobonito_MC1,-40.91779133,-72.40364836,
,,Hidrobonito_MC2,-40.91779133,-72.40364836,
,,Horcones TG,-37.21180094,-73.21674234,
TERMO,14,Hornitos,-32.90057157,-70.26333885,
EOLICA,9,HUAJACHE,,,Y
,,Huasco TG,-28.47074037,-71.25258185,
TERMO,8,INACAL,-23.78185344,-70.32017619,
,,Isla,-35.81042239,-70.8356952,
,,JCE,-37.53324532,-72.222849,
,,Juncal,-32.90110288,-70.26965457,
,,Juncalito,-32.90110288,-70.26965457,
,,La Arena,-41.68125771,-72.64551971,
,,La Confluencia,-34.83346103,-70.55371244,
,,La Higuera,-34.75154019,-70.71433748,
,,LA HUAYCA SPS-1,-20.43332819,-69.59999546,
,,La Paloma,-30.70039113,-71.037266,
TERMO,9,LA PORTADA (TECNEC 1_6),,,Y
,,Laguna Verde,-33.10315517,-71.67716359,
,,Laguna Verde TG,-33.10315517,-71.67716359,
,,Laja,-37.16902926,-72.40867534,
,,Laja 1 (**),-37.244097,-72.530241,
,,Lalackama,-25.12076512,-70.31098556,
,,Las Flores,-40.1363,-72.39609,
,,Las Pampas,-34.36762778,-71.40921147,
,,Las Vegas,-32.84284724,-71.01148856,
,,Las Vertientes,-33.59271308,-70.46957312,
,,Lautaro,-38.54185275,-72.46742853,
,,Lautaro II,-38.54067893,-72.4681951,
,,Lebu,-37.61537261,-73.66937276,
,,Licanten,-34.98819124,-72.01993781,
,,LicÌÁn,-40.6180009,-72.40139982,
,,Linares Norte,-35.826735,-71.64397262,
,,Lircay,-35.53725081,-71.26135527,
,,Lleuquereo,-37.56668503,-71.52413696,
,,Loma Alta,-35.7908646,-70.98217033,
,,Loma Los Colorados (KDM),-32.95568673,-70.80434651,
,,Loma Los Colorados II,-32.95670272,-70.80459365,
,,Lonquimay,-38.5527653,-71.4292873,
,,Los Alamos,-37.62572778,-73.41797773,
,,Los Bajos,-33.63523926,-70.59471005,
,,Los Colonos,-40.984871,-72.886093,
,,Los Corrales,-40.64717252,-72.31481324,
,,Los Corrales 2,-40.64123504,-72.31435371,
,,Los Espinos,-31.88300654,-71.4503012,
,,Los Hierros 2,-35.83979023,-71.07888212,
,,Los Hierros(**),-35.85780688,-71.06389437,
,,Los Molles,-30.74466222,-70.58750614,
,,Los Morros,-33.64818713,-70.65662133,
,,Los Padres,-37.52832797,-71.70591753,
,,Los Pinos,-37.08543573,-72.32474438,
,,Los Quilos,-32.86649316,-70.40798161,
,,Los Sauces II,-37.96584609,-72.82686701,
,,Los Vientos,-32.84386079,-71.01284663,
,,Lousiana Pacific,-39.56095615,-72.47430346,
,,Lousiana Pacific II,-38.541761,-72.46993006,
,,Machicura,-35.73243082,-71.39794414,
,,Maisan,-38.973982,-72.647032,
,,Maitenes,-33.53069855,-70.26167055,
,,Mallarauco,-33.58739434,-71.00442179,
,,Mampil,-37.54036677,-71.7098204,
TERMO,10,MANTOS BLANCOS,-23.44499977,-70.07580634,
,,MarÌ_a Elena,-40.77194112,-72.48752225,
,,Mariposas,-35.59605238,-71.26416768,
,,Masisa,-37.04554967,-72.40008609,
TERMO,127,MATAVERI,,,Y
,,Maule,-35.36015081,-72.40655517,
,,Monte Patria,-30.69678329,-70.94909558,
EOLICA,12,Monte Redondo,-31.07732701,-71.65782606,
,,Muchi,-40.31677408,-72.22726115,
,,MultiExport I,-41.46781702,-72.97384895,
,,MultiExport II,-41.46726524,-72.97585198,
,,Nalcas,-40.89518392,-72.34006814,
,,Nehuenco,-32.93662447,-71.32310155,
,,Nehuenco 9B,-32.93662447,-71.32310155,
,,Nehuenco II,-32.93662447,-71.32310155,
,,Newen,-36.77548808,-73.11272985,
,,Nueva Aldea I (ex Itata),-36.65971293,-72.47309744,
,,Nueva Aldea II,-36.65979351,-72.47944855,
,,Nueva Aldea III,-36.66199755,-72.4822404,
,,Nueva Renca,-33.41835775,-70.68696814,
,,Nueva Ventanas,-32.74980996,-71.48315059,
,,Ojos de Agua,-35.78594359,-70.80756174,
,,Olivos,-31.9353394,-71.47688631,
,,Orafti,-36.909754,-72.345142,
,,Palmucho (**),-38.04520812,-71.47134997,
,,Pangue,-37.90986824,-71.60868334,
,,PColoradaEol,-29.36622164,-71.05853065,
,,Pehuenche,-35.73375269,-71.1554639,
,,Pehui,-40.55669693,-72.51614063,
,,Petropower,-36.78728452,-73.12170794,
,,PeuchÌ©n,-37.5404479,-71.59645667,
,,Pichilonco,-40.32898463,-72.32262479,
,,PilmaiquÌ©n,-40.63809526,-72.64967227,
,,Placilla,-33.10846152,-71.55906078,
,,PMGD Planta CuricÌ_,-35.02069964,-71.24364956,
,,POZO ALMONTE SOLAR 2,-20.27170425,-69.75594511,
,,POZO ALMONTE SOLAR 3,-20.25165956,-69.75878741,
,,Providencia,-35.4696877,-71.27288263,
,,Puclaro,-29.99609606,-70.86381858,
,,Pulelfu,-40.79129808,-72.31603912,
,,Pullinque,-39.59567188,-72.21745089,
,,Punitaqui,-30.85801177,-71.2405616,
EOLICA,13,Punta Colorada,-29.36679389,-71.04285216,
,,Puntilla,-33.61871845,-70.53518582,
,,PurÌ_sima,-35.20206763,-71.18201507,
,,PV Salvador,-26.3141167,-69.86805891,
,,QuellÌ_n II,-43.09132964,-73.61429345,
,,Queltehues,-33.81279646,-70.21932997,
,,Quillaileo,-37.69296019,-71.80823279,
,,Quilleco,-37.33596159,-71.95673864,
,,Quintay,-33.20073664,-71.6591897,
,,Quintero,-32.78707424,-71.4855418,
EOLICA,15,RAKI,,,Y
,,Ralco,-37.99693246,-71.5199021,
,,Rapel,-34.04094846,-71.59024784,
,,Reca,-39.7834396,-72.11592279,
,,Renaico,-37.81383557,-72.41554488,
,,Renca,-33.41728947,-70.68857034,
,,RÌ_o Huasco,-28.6761844,-70.645085,
,,RÌ_o PicoiquÌ©n,-37.809644,-72.833582,
,,RÌ_o Trueno,-38.60090565,-72.04726581,
,,Robleria,-35.85025383,-71.28064247,
,,Rucatayo,-40.61913204,-72.70381544,
,,RucÌ_e,-37.36033375,-71.86572704,
,,S. Andes,-32.83232769,-70.53904996,
,,S. Fco. Mostazal,-33.98197703,-70.69846314,
,,Salmofood I,-42.480427,-73.772077,
,,Salmofood II,-42.480427,-73.772077,
,,San AndrÌ©s,-34.7346592,-70.38254103,
,,San Clemente,-35.59815619,-71.35564418,
,,San Gregorio,-36.27881545,-71.81877225,
,,San Ignacio,-35.6146177,-71.54130007,
,,San Isidro,-32.94598837,-71.338757,
,,San IsIdro II,-32.94598837,-71.338757,
,,San Lorenzo de D. de Almagro,-26.40035389,-70.03795762,
,,Santa Fe,-37.51444431,-72.65188889,
,,Santa Irene,-34.47123787,-71.29405076,
,,Santa Lidia,-37.09302299,-72.31644422,
,,Santa Marta,-33.70043139,-70.7978427,
,,Sauzal,-34.23666345,-70.54740378,
,,Sauzalito,-34.23666345,-70.54740378,
,,SDGx01,-30.22716286,-71.09248138,
,,Skretting,-40.58751112,-73.09888695,
,,Skretting Osorno,-40.58748592,-73.09887762,
,,Solar Diego de Almagro,-26.37958884,-70.01941659,
,,Solar Hornitos,-27.733111,-70.195998,
,,Solar Javiera,-26.303081,-70.221505,
,,Solar Las Terrazas,-27.62839526,-70.3409901,
,,Solar Llano de Llampos,-27.11746063,-70.1711434,
,,Solar PSF Casas Blancas,-31.19498381,-71.03082312,
,,Solar PSF Lomas Coloradas,-31.18638248,-71.02254981,
,,Solar San AndrÌ©s,-27.25422453,-70.11122075,
,,Solar Santa Cecilia,-29.1171776,-70.91339172,
,,Solar Techos Altamira,-33.477198,-70.541041,
,,Sta MarÌ_a,-37.04199731,-73.13002378,
EOLICA,16,Talinay Oriente,-30.87339075,-71.5914598,
EOLICA,17,Talinay Poniente,-30.86311383,-71.59841794,
,,Taltal 1,-24.98877876,-70.46602454,
,,Taltal 2,-24.98877876,-70.46602454,
,,Tambo Real,-30.04837,-70.77024,
,,Tamm,-34.716595,-71.038897,
,,Tapihue,-33.33272413,-71.38994799,
,,Teno,-34.86855602,-71.14193246,
TERMO,13,TERMOELÌäCTRICA  ANGAMOS 2 (ANG2),-23.06768241,-70.3690367,
TERMO,15,TERMOELÌäCTRICA MEJILLONES (CTM1),-23.08541416,-70.40999962,
,,TERMOELÌäCTRICA MEJILLONES (CTM2),-23.08541416,-70.40999962,
,,TERMOELÌäCTRICA MEJILLONES (CTM3),-23.08541416,-70.40999962,
,,TERMOELÌäCTRICA NORGENER (NTO1),-22.09695343,-70.21091265,
TERMO,16,TERMOELÌäCTRICA NORGENER (NTO2),-22.09695343,-70.21091265,
TERMO,18,TERMOELÌäCTRICA TARAPACÌÅ (CTTAR),-20.8056878,-70.19284719,
,,TERMOELÌäCTRICA TARAPACÌÅ (TGTAR),-20.8056878,-70.19284719,
,,TERMOELÌäCTRICA TOCOPILLA (TG1),-22.0910426,-70.21256812,
,,TERMOELÌäCTRICA TOCOPILLA (TG2),-22.0910426,-70.21256812,
,,TERMOELÌäCTRICA TOCOPILLA (TG3),-22.0910426,-70.21256812,
,,TERMOELÌäCTRICA TOCOPILLA (U10),-22.0910426,-70.21256812,
,,TERMOELÌäCTRICA TOCOPILLA (U11),-22.0910426,-70.21256812,
TERMO,17,TERMOELÌäCTRICA TOCOPILLA (U12),-22.0910426,-70.21256812,
,,TERMOELÌäCTRICA TOCOPILLA (U13),-22.0910426,-70.21256812,
,,TERMOELÌäCTRICA TOCOPILLA (U14),-22.0910426,-70.21256812,
,,TERMOELÌäCTRICA TOCOPILLA (U15),-22.0910426,-70.21256812,
,,TERMOELÌäCTRICA TOCOPILLA (U16),-22.0910426,-70.21256812,
,,TermopacÌ_fico,-27.49200142,-70.38183028,
,,TirÌ_a,-38.32446116,-73.4845778,
,,Tomaval 1,-32.848907,-71.226716,
,,Tomaval 2,-32.848907,-71.226716,
,,TrapÌ©n,-41.51772683,-73.0768276,
,,Trebal Mapocho,-33.54042226,-70.83625742,
,,Trongol-Curanilahue,-37.49139775,-73.32083697,
,,Trufultruful,-38.8403084,-71.6607857,
EOLICA,20,Ucuquer,-34.04481086,-71.61084966,
EOLICA,21,Ucuquer 2,-34.04271868,-71.62230841,
,,Valdivia,-39.56354843,-72.9006996,
EOLICA,22,VALLE DE LOS VIENTOS,-22.48027033,-68.82355801,
,,Ventanas 1,-32.75154122,-71.48328946,
,,Ventanas 2,-32.75095479,-71.48330519,
,,ViÌ±ales,-35.37109234,-72.41076451,
,,VolcÌÁn,-33.82064614,-70.21482763,
,,Watt,-40.5909699,-73.09734616,
,,Watt II,-40.58935211,-73.09405663,
,,Yungay (Ex Campanario),-37.10548831,-72.29331046,
TERMO,11,PLANTA DE ACIDO SULFURICO MEJILLONES,,,Y
TERMO,12,SALTA,,,Y
TERMO,21,TEHUELCHE,,,Y
TERMO,22,AYSEN TERMICO,,,Y
TERMO,23,PUERTO IBANEZ,,,
