PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Commissioning Year,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_tCO2/MWh,Data Year
1018607,Gualberto Hernandez,Diesel,34.32,,Diesel Engine,,,EEQ SA,142.15,,Agencia de Regulacion y Control de Electricidad,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,,,,,,,,Ecuador,,,,,,,,,,,,,,2013
1018608,Guangopolo,Hydro,20.92,,,,,E.E. Quito,86.4,,Agencia de Regulacion y Control de Electricidad,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,,,,,47.80%,,,Ecuador,,,,,,,,,,,,,,2013
1018609,Hidrobanico,Hydro,37.5,,,,,Hidrobanico,325,,Agencia de Regulacion y Control de Electricidad,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,,,,,97.70%,,,Ecuador,,,,,,,,,,,,,,2013
1018610,JARAMIJÓ,Diesel,140,,Diesel Engine,,,Termoesmeraldas,457.82,,Agencia de Regulacion y Control de Electricidad,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,,,,,,,,Ecuador,,,,,,,,,,,,,,2013
1018611,Jivino,Diesel,45.2,,Diesel Engine,,,Termopichincha,180,,Agencia de Regulacion y Control de Electricidad,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,,,,,,,,Ecuador,,,,,,,,,,,,,,2013
1018612,Machala,Natural Gas,276.8,,OCGT,,,Termo Gas Machala,1220,,Agencia de Regulacion y Control de Electricidad,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,,,,,,,,Ecuador,,,,,,,,,,,,,,2013
1018613,Manta,Diesel,20.4,,Diesel Engine,,,Termoesmeraldas,94.53,,Agencia de Regulacion y Control de Electricidad,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,,,,,,,,Ecuador,,,,,,,,,,,,,,2013
1018614,Mazar,Hydro,163,,,2009,2,CELEC EP,908.4,,Agencia de Regulacion y Control de Electricidad,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,,,,,61%,,,Ecuador,,,,,,,,,,,,,,2013
1018615,Miraflores,Diesel,52.3,,OCGT,,,Termoesmeraldas,58,,Agencia de Regulacion y Control de Electricidad,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,,,,,,,,Ecuador,,,,Natural Gas,,,,,,,,,,2013
1018616,NAYÓN,Hydro,29.7,,,,,E.E. Quito,151.14,,Agencia de Regulacion y Control de Electricidad,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,,,,,58.90%,,,Ecuador,,,,,,,,,,,,,,2013
