PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Commissioning Year,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language
1026032,Hernic Waste Heat Plant,Waste,25.47,Brits,,,,Hernic Ferrochrome,,,CDM,https://cdm.unfccc.int/filestorage/u/6/NXTI6RW85GJYOVD7L31F9CPM04SKQZ.pdf/pdd_8956.pdf?t=V1N8b2pkOWpqfDD5qnFqM5wMEN5sEfTla-ss,,,,,,,Operating,South Africa,,-25.662,27.837,,,,,,,,
1026022,Samancor Middleburg Ferrochrome,Waste Gas,34,,,,,Exxaro,,,CDM,https://cdm.unfccc.int/filestorage/s/l/NI34TJMCL0V1K7BZA8UDPH5SYWG6E9.pdf/8525-PDD-2012%2012%2003.pdf?t=NVh8b2pkN2xlfDAQQOotugoOjxggr6X9JL1-,,,,,,,Operating,South Africa,,-25.804,29.49459,,,,,,,,
1026031,Ferro Waste Heat Plant,Waste Gas,2.2,Brits,,,,International Ferro Metals SA,,,CDM,https://cdm.unfccc.int/filestorage/x/f/K7G8Q0O29ETDPLRIYMJWUH31AXZN6S.pdf/130320_PDD_v16_vvs.pdf?t=Q2t8b2pkOWY5fDBfprezsoFIxaE2NOr8UhEG,,,,,,,Operating,South Africa,,-25.725,27.61154,,,,,,,,
1000134,Sere,Wind,100,,Onshore Wind,2015,46 turbines,Eskom,,,Eskom,Sere Wind Farm,,,,,,,Operating,South Africa,Southern Africa Grid,-31.512805,18.091398,,,,,,,,
1026014,Red Cap,Wind,80,,Onshore Wind,,,Red Cap Kouga Wind Farm Ltd,,,CDM,https://cdm.unfccc.int/filestorage/u/g/NI4MS38U5B6PADXQ0K2FLG9VY1EHWO.pdf/PDD%20-%20Red%20Cap%20Kouga%20Wind%20Farm.pdf?t=ZUt8b2pkNjE3fDDrIEb0PZzOV-CHzPAgyBW8,,,,,,,Operating,South Africa,,-34.136,24.71051,,,,,,,,
1026018,Hopefield,Wind,66.6,,Onshore Wind,,1.8x37,Umoya Energy,,,CDM,https://cdm.unfccc.int/filestorage/l/u/F1A2TM3QHOKWNVLDE5JZGIRS98BUCX.pdf/PDD%20Hopefield.pdf?t=OTR8b2pkNngzfDDowoIvyI_mpurbcPT1SA-3,,,,,,,Operating,South Africa,,-33.093,18.39873,,,,,,,,
1026019,Karoo Renewable Energy Facility (Nobelsfontein Wind),Wind,400,,Onshore Wind,2014,"1.8x41, 3x109",South African Renewable Green Energy,,,CDM,https://cdm.unfccc.int/filestorage/h/v/WJEK19MU3GNLTH562P0A7ZYQVDCIRS.pdf/PDD.pdf?t=eEN8b2pkNnp6fDDXvZVJYrHBHDoegHcnh7mQ,,,,,,,Operating,South Africa,,-31.727,23.19199,,,,,,,,
1026021,Dassieklip,Wind,27,Caledon,Onshore Wind,2014,3x9,BioTherm Energy,,,CDM,https://cdm.unfccc.int/filestorage/y/9/5BTD39216KFPELGAMQO7JZ4YIXCWHR.pdf/8107-PDD-2012%2011%2009.pdf?t=ZFZ8b2pkN2Z3fDBFjYy3JsVuQ4lok3705hey,,,,,,,Operating,South Africa,,-34.227,19.37275,,,,,,,,
1026023,West Coast 1,Wind,94,,Onshore Wind,,2x47,Moyeng Energy,,,CDM,https://cdm.unfccc.int/filestorage/8/v/1D480QVCKIBTMHF2N5LZR6PJEWYGS7.pdf/8404-20121126-PDD.pdf?t=TEh8b2pkN3B0fDB1RI1h6lLRk7wiJlFN99yP,,,,,,,Operating,South Africa,,-32.834,18.00613,,,,,,,,
1026024,Rheboksfontein,Wind,105,Malmesbury,Onshore Wind,,3x35,Micawber 895,,,CDM,https://cdm.unfccc.int/filestorage/a/j/QHEUVXB84Y0W5RGMLTD2CAS6P1IOJK.pdf/8346%20PDD%2022%20Nov%2012.pdf?t=M2N8b2pkN3RofDBXWZXIESoa71Ob9lrhvk1t,,,,,,,Operating,South Africa,,-33.335,18.32331,,,,,,,,
1026026,Cookhouse,Wind,138.6,,Onshore Wind,2014,21.x66,African Clean Energy Developments,,,CDM,https://cdm.unfccc.int/filestorage/4/u/XY4ZQI9A5RUBSE816L7VH3CTD2GWOJ.pdf/8289%20PDD.pdf?t=ZzN8b2pkOGd2fDA3ykxltJsyoeUwu8dE7fDU,,,,,,,Operating,South Africa,,-32.742,25.9242,,,,,,,,
1026027,Coega IDZ Windfarm,Wind,73.4,,Onshore Wind,,"1x1.8, 24x3",Electrawinds Africa,,,CDM,https://cdm.unfccc.int/filestorage/4/2/UB1DG6JSNM5RP749A8EYHFCX0LTV2Z.pdf/8954%20PDD%2022%20Dec%2012.pdf?t=Ylp8b2pkOG0xfDDwgY0_wDMQWuuX_NwESiDj,,,,,,,Operating,South Africa,,-33.676,25.60284,,,,,,,,
1026029,Amakhala Emoyeni,Wind,138.6,Somerset East,Onshore Wind,,2.4x56,Amakhala Emoyeni RE Project 1 ltd,,,CDM,https://cdm.unfccc.int/filestorage/K/J/U/KJUIV98PX4TQH3EMWYO0L6ACZD7FGS/3.%20PDD_Amakhala%20%28VVS%29_27.01.2014_to%20the%20DOE%20%28clean%29.pdf?t=MFl8b2pkOHdkfDA6mK3F74jZdP6srW_--sZd,,,,,,,Operating,South Africa,,-32.875,25.99766,,,,,,,,
1026030,TWE Golden Valley,Wind,147.6,Somerset East,Onshore Wind,2016,1.8x82,Terra Wind Energy,,,CDM,https://cdm.unfccc.int/filestorage/l/_/5UTDIYVWAB6XEMG23NZFCR9L4PK0J7.pdf/8951-%20PDD-2012%2012%2020.pdf?t=NG58b2pkOTE1fDBjY3HK68W3WkKWnbi8xl6o,,,,,,,Operating,South Africa,,-32.859,25.88329,,,,,,,,
,,,46713.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
