PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Commissioning Year,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_tCO2/MWh
1002984,"CHP CET-1 , Chisinau",Natural Gas,66,Right bank of the River Dniester,,1951-1961,,,,,Energy Charter Secretariat,http://www.energycharter.org/fileadmin/DocumentsMedia/IDEER/IDEER-Moldova_2015_en.pdf,,,,,,,,Moldova,,,,fuel oil,,,,,,,,,
1002985,"CHP CET-2, Chisinau",Natural Gas,240,Right bank of the River Dniester,,1976-1980,,,,,Energy Charter Secretariat,http://www.energycharter.org/fileadmin/DocumentsMedia/IDEER/IDEER-Moldova_2015_en.pdf,,,,,,,,Moldova,,,,fuel oil,,,,,,,,,
1002986,"CHP CET-Nord, Balti",Natural Gas,24,Right bank of the River Dniester,,1956-1970,,,,,Energy Charter Secretariat,http://www.energycharter.org/fileadmin/DocumentsMedia/IDEER/IDEER-Moldova_2015_en.pdf,,,,,,,,Moldova,,,,,,,,,,,,,
1002987,Hydropower Plant CHE-Costesti,hydro,16,Right bank of the River Dniester,,1978,,,,,Energy Charter Secretariat,http://www.energycharter.org/fileadmin/DocumentsMedia/IDEER/IDEER-Moldova_2015_en.pdf,,,,,,,,Moldova,,,,,,,,,,,,,
1002988,Hydropower Plant Dubasari,hydro,48,Left bank of the River Dniester,,1950-1955,,,,,Energy Charter Secretariat,http://www.energycharter.org/fileadmin/DocumentsMedia/IDEER/IDEER-Moldova_2015_en.pdf,,,,,,,,Moldova,,,,,,,,,,,,,
1002989,Moldavskaya GRES,Coal,2520,Left bank of the River Dniester,,,,,,,Energy Charter Secretariat,http://www.energycharter.org/fileadmin/DocumentsMedia/IDEER/IDEER-Moldova_2015_en.pdf,,,,,,,,Moldova,,46.62921,29.94065,920 MW fuel oil,,,,,,,,,
