PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Commissioning Year,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,Data Year
1003710,Ikustsk,Hydro,662,,,1958,3(83),Irkutskenergo,,,Irkutskenergo,http://en.irkutskenergo.ru/qa/divisions.html,,,,,,,,Russia,,,,,,,,,,,,2015
1003715,Kabardino-Balkarian Branch,Hydro,158,,,,,RusHydro,565,,RusHydro,RusHydro,,,,,,,,Russia,,,,,,,,,,,,
1003720,Kamskaya HPP,Hydro,546,,,,,RusHydro,"1,998",,RusHydro,RusHydro,,,,,,,,Russia,,,,,,,,,,,,
1003722,Karachaevo-Cherkessian Branch HPP,Hydro,160,,,,,RusHydro,1,,RusHydro,RusHydro,,,,,,,,Russia,,,,,,,,,,,,
1003726,KEMEROVO HPP,Hydro,80,,,1940,,Kuzbassenergo,,,Kuzbassenergo,http://sibgenco.ru/about/activity/electric-power-generation/,,,,,,,,Russia,,,,,,,,,,,,2015
1003734,Kolymskaya HPP,Hydro,900,,,,,RusHydro,"1,558",,RusHydro,RusHydro,,,,,,,,Russia,,62.059073,150.415802,,,,,,,,,
1003739,Krasnoyarsk,Hydro,"6,000",,Dam with Reservoir,1972,,EvroSibEnergo,"18,300",Generation is annual average,EvroSibEnergo,http://www.kges.ru/q=comp/10/133,,,,,,,,Russia,,,,,,,,,,,,2005
1003759,Nizhegorodskaya HPP,Hydro,520,,,,,RusHydro,"1,281",,RusHydro,RusHydro,,,,,,,,Russia,,,,,,,,,,,,
1003774,Novosibirskaya HPP,Hydro,460,,,,,RusHydro,"2,118",,RusHydro,RusHydro,,,,,,,,Russia,,,,,,,,,,,,
1003779,Pavlovskaya HPP,Hydro,166.4,,CCGT,1959,,Bashkir,,,Bashkir,http://bgkrb.ru/eng/activities/index.php,,,,,,,,Russia,,,,,,,,,,,,2014
1003799,Saransk HPP-2,Hydro,350,,,1958,,t+group,,1,t+group,Saransk HPP-2,,,,,,,,Russia,,,,,,,,,,,,
1003802,Saratovskaya HPP,Hydro,"1,378",,,,,RusHydro,"5,600",,RusHydro,RusHydro,,,,,,,,Russia,,,,,,,,,,,,
1003803,Sayano-Shushensky Branch,Hydro,"6,721",,,,,RusHydro,"20,375",,RusHydro,RusHydro,,,,,,,,Russia,,,,,,,,,,,,
1003810,Shirokovskaya HPP,Hydro,28,,,1948,,t+group,,1,t+group,Shirokovskaya HPP,,,,,,,,Russia,,,,,,,,,,,,
1003831,Tolmachyovskiye HPPs,Hydro,45,,,,,RusHydro,,,RusHydro,RusHydro,,,,,,,,Russia,,,,,,,,,,,,
1003846,Ust Illminsk (HPP),Hydro,"3,840",,,1974,,Irkutskenergo,,,Irkutskenergo,http://en.irkutskenergo.ru/qa/divisions.html,,,,,,,,Russia,,,,,,,,,,,,2015
1003853,Volzhskaya HPP,Hydro,"2,639.50",,,,,RusHydro,"11,566",,RusHydro,RusHydro,,,,,,,,Russia,,,,,,,,,,,,
1003856,Votkinskaya HPP,Hydro,"1,020",,,,,RusHydro,"2,793",,RusHydro,RusHydro,,,,,,,,Russia,,,,,,,,,,,,
1003861,Yumaguzinskaya HPP,Hydro,45,,CCGT,2004,,Bashkir,,,Bashkir,http://bgkrb.ru/eng/activities/index.php,,,,,,,,Russia,,,,,,,,,,,,2014
1003865,Zagorskaya PSPP,Hydro,"1,200",,,,,RusHydro,"1,860",,RusHydro,RusHydro,,,,,,,,Russia,,56.4819,38.19111,,,,,,,,,
1003867,Zaramagsky HPP,Hydro,342,,,,,RusHydro,,,RusHydro,RusHydro,,,,,,,,Russia,,,,,,,,,,,,
1003869,Zeyskaya HPP,Hydro,"1,330",,,,,RusHydro,"6,428",,RusHydro,RusHydro,,,,,,,,Russia,,53.7693,127.3059,,,,,,,,,
1003870,Zhigulevskaya HPP,Hydro,"2,383",,,,,RusHydro,"10,488",,RusHydro,RusHydro,,,,,,,,Russia,,,,,,,,,,,,
1003654,Adlerskaya TPP,Natural Gas,351,,,,,OGK-2 (subsidiary of GazProm),"2,538",,OGK-2,http://www.ogk2.ru/eng/about/branch/adlerskaya/,,,,,72.40%,,,Russia,,,,,,,,,,,,2014
1003655,Alexin TPP,Natural Gas,62,,,1941,,Quandra,,,Quandra,Quadra Production Capacity,,,,,,,,Russia,,,,,,,,,,,,
1003656,Amurskaya CHPP,Natural Gas,285,,,,,RusHydro,,,RusHydro,RusHydro,,,,,,,,Russia,,,,,,,,,,,,
1003657,Anadyr CHPP,Natural Gas,46,,,,,RusHydro,,,RusHydro,RusHydro,,,,,,,,Russia,,,,,,,,,,,,
1003658,Anadyrskaya Gas Engine CHPP,Natural Gas,304,,,,,RusHydro,,,RusHydro,RusHydro,,,,,,,,Russia,,,,,,,,,,,,
1003660,Arkhangelsk CHPP,Natural Gas,450,,,1970,,TGC-2,,,TGC-2,TGC2 Main Factors,,,,,,,,Russia,,,,,,,,,,,,
1003661,Artyomovskaya CHPP,Natural Gas,400,,,,,RusHydro,,,RusHydro,RusHydro,,,,,,,,Russia,,,,,,,,,,,,
1003662,Balakovo TPP-4,Natural Gas,370,,,1962,,t+group,,1,t+group,Balakovo TPP-4,,,,,,,,Russia,,,,,,,,,,,,
