PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Commissioning Year,Units,Owner,Annual Generation (GWh),Other,Source,URL,Source 2,URL 2,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_specific_emissions_tCO2/MWh
1023145,Imboulou,Hydro,120,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,,,,,,,,,Operating,Congo,,-2.97000000000,16.08000000000,,,,,,,,,,
1023146,Djeno Eni,Natural Gas,36,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,,,,,,,,,Operating,Congo,,-4.89096200000,11.91544900000,,,,,,,,,,
1023147,Djoue,Hydro,15,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,,,,,,,,,Operating,Congo,,-4.30122000000,15.20673000000,,,,,,,,,,
1023148,Loango,Oil,45.3,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,,,,,,,,,Operating,Congo,,-2.98722220000,12.06083330000,,,,,,,,,,
1023149,Moukoukoulou,Hydro,74,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,,,,,,,,,Operating,Congo,,-3.89882500000,13.76537200000,,,,,,,,,,
1023150,Pointe-Noire Sne,Natural Gas,300,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,,,,,,,,,Operating,Congo,,-4.91540000000,11.93620000000,,,,,,,,,,
1023151,Sounda Gorge,Hydro,10,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,,,,,,,,,Operating,Congo,,-4.07666670000,12.15694440000,,,,,,,,,,
1023152,Mpila,Diesel,25.6,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,,,,,,,,,Operating,Congo,,-4.24956100000,15.30254900000,,,,,,,,,,
