PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant Type,Commissioning Year,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm per kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_specific_emissions_tCO2/MWh
1000073,October 6th,Natural Gas,1050,Cairo,OCGT,2012-2015,3,,"1,534",,Egyptian Electricity Holding Company,http://www.moee.gov.eg/english_new/report.aspx,31.8,275.9,660,27,29,86.7,Operating,Egypt,Egypt National Grid,,,,,,,,,,,,
1000084,Oyoun Mousa,Natural Gas,640,East Delta,Sub-critical thermal,2001,2,,"4,943",,Egyptian Electricity Holding Company,http://www.moee.gov.eg/english_new/report.aspx,40.5,216.9,610,93,88,97.9,Operating,Egypt,Egypt National Grid,,,,,,,,,,,,
1000082,Port Said,Natural Gas,48,East Delta,OCGT,1997,2,,111,,Egyptian Electricity Holding Company,http://www.moee.gov.eg/english_new/report.aspx,23.5,,,34,26,98.7,Operating,Egypt,Egypt National Grid,,,,,,,,,,,,
1000089,PortSaid East,Natural Gas,683,East Delta,Sub-critical thermal,2003,2,,2089,,Egyptian Electricity Holding Company,http://www.moee.gov.eg/english_new/report.aspx,,,,,,,Operating,Egypt,Egypt National Grid,,,,,,,,,,,,
1000078,Shabab,Natural Gas,100,East Delta,OCGT,1982,3,,251,,Egyptian Electricity Holding Company,http://www.moee.gov.eg/english_new/report.aspx,25.8,339.9,81,35,29,98,Operating,Egypt,Egypt National Grid,,,,,,,,,,,,
1000085,Sharm El-Sheikh,Light Fuel Oil,144,East Delta,OCGT,1975-1997,,,48,Light Fuel Oil,Egyptian Electricity Holding Company,http://www.moee.gov.eg/english_new/report.aspx,22.4,392,,,,80.2,Operating,Egypt,Egypt National Grid,,,,,,,,,,,,
1000067,Shoubra El-Kheima,Natural Gas,1295,Cairo,Sub-critical thermal,1984-1985,5,,"5,841",,Egyptian Electricity Holding Company,http://www.moee.gov.eg/english_new/report.aspx,36.5,240.6,1166,57,51,70.4,Operating,Egypt,Egypt National Grid,,,,,,,,,,,,
1000100,Sidi Krir,Natural Gas,"2,092",West Delta,CCGT,1999-2001,7,,"3,703",,Egyptian Electricity Holding Company,http://www.moee.gov.eg/english_new/report.aspx,39.4,222.8,657,65,66,89.9,Operating,Egypt,Egypt National Grid,,,,,,,,,,,,
1000088,Suez Gulf,Natural Gas,683,East Delta,Sub-critical thermal,2002,2,,4678,,Egyptian Electricity Holding Company,http://www.moee.gov.eg/english_new/report.aspx,,,,,,,Operating,Egypt,Egypt National Grid,,,,,,,,,,,,
1000090,Talkha,Natural Gas,"1,460",Middle Delta,CCGT,1979-2010,15,,"9,383",,Egyptian Electricity Holding Company,http://www.moee.gov.eg/english_new/report.aspx,42,216.67,1421,76,73,85,Operating,Egypt,Egypt National Grid,,,,,,,,,,,,
1000072,Wadi Hof,Natural Gas,100,Cairo,OCGT,1985,2,,126,,Egyptian Electricity Holding Company,http://www.moee.gov.eg/english_new/report.aspx,22.5,390.4,74,19,14,94.9,Operating,Egypt,Egypt National Grid,,,,,,,,,,,,
1000102,Walidia,Heavy Fuel Oil,600,Upper Delta,Sub-critical thermal,1992-1997,2x300,,"3,510",,Egyptian Electricity Holding Company,http://www.moee.gov.eg/english_new/report.aspx,36.2,242.3,500,80,64,90.9,Operating,Egypt,Egypt National Grid,,,,,,,,,,,,
1000087,Zafarana,Wind,547,East Delta,Onshore Wind,2007-2010,700,,"1,332",,Egyptian Electricity Holding Company,http://www.moee.gov.eg/english_new/report.aspx,,,,34,28,,Operating,Egypt,Egypt National Grid,,,,,,,,,,,,
