PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Commissioning Year,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_specific_emissions_tCO2/MWh
1022436,Plavinas HPP,Hydro,894,,Run-of-River,,,,143.69,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,Operating,Latvia,BZN-LV,56.583,25.2394,,,,,,,,,,
1022437,Riga Tec 2,Natural Gas,863,,,,,,597.345,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,Operating,Latvia,BZN-LV,56.918,24.2766,,,,,,,,,,
1022438,Riga HPP,Hydro,402,,Run-of-River,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,Operating,Latvia,BZN-LV,56.852,24.2724,,,,,,,,,,
1022439,Kegums HPP,Hydro,240,,Run-of-River,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,Operating,Latvia,BZN-LV,56.7405,24.7113,,,,,,,,,,
1022440,RTEC1,Natural Gas,138,,,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,Operating,Latvia,BZN-LV,56.9904,24.1788,,,,,,,,,,
