PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Commissioning Year,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_specific_emissions_tCO2/MWh
1023687,Centrale Turbine a` Gaz de Tanger,Oil,40,,Sub-critical,1975-1977,2,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,Operating,Morocco,,,,,,,,,,,,,
1023688,Centrale Turbine a` Gaz de Tetouan,Oil,99,,OCGT,1994-1995,3,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,Operating,Morocco,,35.5699,-5.4633,,,,,,,,,,
1023688,Centrale Turbine a` Gaz de Tetouan,Oil,40,,OCGT,1977,2,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,Operating,Morocco,,35.5699,-5.4633,,,,,,,,,,
1023689,Compagnie Eolienne de Detroit (CED),Wind,50.4,,Onshore Wind,2000,,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,Operating,Morocco,,35.8184,-5.4538,,,,,,,,,,
1023690,DAOURAT,Hydro,17,,Dam with Reservoir,1950,,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,Operating,Morocco,,32.9359,-8.0637,,,,,,,,,,
1023691,EL KANSERA,Hydro,14.4,,Dam with Reservoir,1939,,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,Operating,Morocco,,34.0417,-5.9077,,,,,,,,,,
1023692,Elborj,Hydro,22,,,2010,,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,Operating,Morocco,,33.1545,-8.115,,,,,,,,,,
1023693,HASSAN 1ER,Hydro,67,,Dam with Reservoir,1991,,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,Operating,Morocco,,31.846,-7.0783,,,,,,,,,,
1023694,IDRISS 1er,Hydro,40.6,,Dam with Reservoir,1978,,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,Operating,Morocco,,34.1616,-4.7492,,,,,,,,,,
1023695,IMFOUT,Hydro,31.2,,Dam with Reservoir,1949,,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,Operating,Morocco,,32.7256,-7.9266,,,,,,,,,,
1023696,LALLA TAKERKOIUST,Hydro,12,,,1938,,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,Operating,Morocco,,31.355,-8.136,,,,,,,,,,
1023697,MANSOUR EDDAEHBI,Hydro,10,,Dam with Reservoir,1973,,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,Operating,Morocco,,30.9125,-6.76,,,,,,,,,,
1023698,MOHAMED V,Hydro,23,,,1967,,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,Operating,Morocco,,34.663,-2.9382,,,,,,,,,,
1023699,MY YOUSSEF,Hydro,24,,Dam with Reservoir,1974,,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,Operating,Morocco,,,,,,,,,,,,,
1023700,Oued El Makhazine,Hydro,36,,,1979,,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,Operating,Morocco,,34.9416,-5.8398,,,,,,,,,,
1023701,Parc Eolien Akhfenir,Wind,200,,Onshore Wind,2013-2016,117,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,Operating,Morocco,,27.9538,-11.9975,,,,,,,,,,
1023702,Parc Eolien AMOUGDOUL,Wind,60.78,,Onshore Wind,2007,,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,Operating,Morocco,,31.4086,-9.79679,,,,,,,,,,
1023703,Parc Eolien CIMAR Laayoune,Wind,5,,Onshore Wind,2011,,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,Operating,Morocco,,,,,,,,,,,,,
1023704,Parc Eolien de Tanger,Wind,140,,Onshore Wind,2009,,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,Operating,Morocco,,35.6467,-5.6078,,,,,,,,,,
1023705,Parc Eolien Foum El Oued,Wind,50,,Onshore Wind,2013,,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,Operating,Morocco,,27.0182,-13.3838,,,,,,,,,,
1023706,Parc Eolien Haouma,Wind,50,,Onshore Wind,2013,,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,Operating,Morocco,,35.8054,-5.49299,,,,,,,,,,
1023707,Parc Eolien Khalladi,Wind,120,,Onshore Wind,2016,,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,Operating,Morocco,,35.7545,-5.57105,,,,,,,,,,
1023708,Parc Eolien Lafarge Tetouan,Wind,32,,Onshore Wind,2005-2009,,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,Operating,Morocco,,35.6063,-5.43853,,,,,,,,,,
1023709,Parc Eolien Tarfaya,Wind,301,,Onshore Wind,2014,,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,Operating,Morocco,,35.611,-5.432,,,,,,,,,,
1023710,STEP UR1 *,Hydro,344,,Pumped Storage,2005,,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,Operating,Morocco,,32.2065,-6.531,,,,,,,,,,
1023710,STEP UR2,Hydro,120,,Pumped Storage,2004,,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,Operating,Morocco,,32.2065,-6.531,,,,,,,,,,
1023711,Tanafit,Hydro,9,,,2009,,,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,Operating,Morocco,,,,,,,,,,,,,
