PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Age,Units,Owner,Annual Generation (GWh),Other,Source,URL,Source 2,URL 2,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_specific_emissions_tCO2/MWh
1002294,Ejsing,Wind,6.9,Holstebro Municipality,Onshore,2011,3 Siemens,98% Vattenfall,,,Vattenfall,http://powerplants.vattenfall.com/#/countries=Denmark/view=list/sort=name,,,,,,,,,,Denmark,,,,,,,,,,,,,
1002295,Hagesholm,Wind,23,Holbæk Municipality,Onshore,,10 Siemens,100% Vattenfall,,,Vattenfall,http://powerplants.vattenfall.com/#/countries=Denmark/view=list/sort=name,,,,,,,,,,Denmark,,55.76059,11.561483,,,,,,,,,,
1002296,Hollandsbjerg,Wind,16.5,Hollandsbjerg,Onshore,2002,11 Neg Micon,100% Vattenfall,,,Vattenfall,http://powerplants.vattenfall.com/#/countries=Denmark/view=list/sort=name,,,,,,,,,,Denmark,,56.484535,10.248891,,,,,,,,,,
1002298,Klim Fjordholme,Wind,67.2,Klim,Onshore,1996,22 Siemens,95% Vattenfall,,,Vattenfall,http://powerplants.vattenfall.com/#/countries=Denmark/view=list/sort=name,,,,,,,,,,Denmark,,57.059882,9.15635,,,,,,,,,,
1002299,Nordjylland Wind Farm,Wind,8,Nordjylland,Onshore,2002,4 Bonus,100% Vattenfall,,,Vattenfall,http://powerplants.vattenfall.com/#/countries=Denmark/view=list/sort=name,,,,,,,,,,Denmark,,,,,,,,,,,,,
1002300,Nørre Økse Sø,Wind,17.3,north of Halvrimmen,Onshore,,24 Neg Micon,100% Vattenfall,,,Vattenfall,http://powerplants.vattenfall.com/#/countries=Denmark/view=list/sort=name,,,,,,,,,,Denmark,,57.125229,9.545163,,,,,,,,,,
1002301,Nørrekær Enge,Wind,29.9,Aggersund Bridge at the Liim Fjord,Onshore,2009,13 Siemens,100% Vattenfall,,,Vattenfall,http://powerplants.vattenfall.com/#/countries=Denmark/view=list/sort=name,,,,,,,,,,Denmark,,,,,,,,,,,,,
1002302,Rejsby Hede,Wind,23.4,"Skast, Jutland",Onshore,1995,39 Micon,100% Vattenfall,,,Vattenfall,http://powerplants.vattenfall.com/#/countries=Denmark/view=list/sort=name,,,,,,,,,,Denmark,,55.037324,8.66658,,,,,,,,,,
1002303,Ryå,Wind,7.5,"Aabybro, Jutland",Onshore,,5 Wincon,100% Vattenfall,,,Vattenfall,http://powerplants.vattenfall.com/#/countries=Denmark/view=list/sort=name,,,,,,,,,,Denmark,,,,,,,,,,,,,
1002304,Tjæreborg Enge,Wind,17,"Tjæreborg, 10 km south of Esbjerg",Onshore,1996,"7 Vestas, Neg Micon",100% Vattenfall,,,Vattenfall,http://powerplants.vattenfall.com/#/countries=Denmark/view=list/sort=name,,,,,,,,,,Denmark,,,,,,,,,,,,,
,,,7891.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
