PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Commissioning Year,Units,Owner,Annual Generation (GWh),Other,Source,URL,Source 2,URL 2,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_specific_emissions_tCO2/MWh,
1019416,Agios Georgiou,Natural Gas,360,,Sub-critical Thermal,,,,,,"Public Power Corporation of Greece (capacity, fuel, location)",https://www.dei.gr/Default.aspx?t=MapStation.aspx&id=150&nt=124&lang=2,,,,,,,,,Operating,Greece,,37.9539,23.61037,,,,,,,,,,,
1019411,Korinthos Power Plant,Natural Gas,437,"Agioi Theodoroi, Korinthia",CCGT,2012,,Korinthos Power,,,Hellenic Association of Independent Power Producers,http://haipp.gr/en/power-plants,,,,,,,,,Operating,Greece,,37.920765,23.066502,,,,,,,,,,,
1019408,Lavrio,Natural Gas,723,,CCGT,1995-1998,,,,,"Public Power Corporation of Greece (capacity, fuel, location)",http://www.dei.gr/Default.aspx?id=146&nt=123&lang=7,ROTECH,http://rototech.gr/index.php/project,,,,,,,Operating,Greece,,37.74629,24.06665,,,,,,,,,,,
1019407,Megalopolis V,Natural Gas,811,,CCGT,,,,,,"Public Power Corporation of Greece (capacity, fuel, location)",http://www.dei.gr/Default.aspx?id=146&nt=123&lang=4,TERNA,http://www.terna.gr/activities/energy/project-combined-cycle-power-plant-in-megalopolis,,,,,,,Operating,Greece,,37.418044,22.108274,,,,,,,,,,,
1019418,Chania,Natural Gas,134,Crete,OCGT,1998,2x67,,,,"Public Power Corporation of Greece (capacity, fuel, location)",http://www.dei.gr/Default.aspx?id=146&nt=123&lang=6,ROTECH,http://rototech.gr/index.php/project,,,,,,,Operating,Greece,,35.488,24.0384,,,,,,,,,,,
1026597,Agrilia Baka Solar Power Plant,Solar,4.9,,PV,,,Enel Green Power Hellas SA,,,Enel Green Power,http://environmentalreport2012.enel.com/files/grecia_en.pdf,,,,,,,,,Operating,Greece,,37.0839,21.63009,,,,,,,,,,,
1026598,Alasia Solar Power Plant,Solar,1.5,,PV,,,Enel Green Power,,,Martifer Solar,http://www.martifersolar.com/,,,,,,,,,Operating,Greece,,37.4701,23.41814,,,,,,,,,,,
1026599,Athens Airport Solar Power Plant,Solar,8,,PV,,,Athens International Airport SA,,,Aviation Benefits,http://aviationbenefits.org/media/100145/aviation-climate-solutions_web-52-53.pdf,,,,,,,,,Operating,Greece,,37.9245,23.94829,,,,,,,,,,,
1026600,Axiochori Solar Power Plant,Solar,6,,PV,,,Enel Green Power Hellas SA,,,Enel Green Power,http://environmentalreport2012.enel.com/files/grecia_en.pdf,,,,,,,,,Operating,Greece,,40.86,22.67195,,,,,,,,,,,
1026601,Dimossia Solar Power Plant,Solar,2,,PV,,,Advanced Photon Dynamics SA,,,Biosar,http://en.biosar.gr/article.asp?catid=31188&subid=2&pubid=15361431,,,,,,,,,Operating,Greece,,38.2927,23.26039,,,,,,,,,,,
1026602,Florina Solar Power Plant,Solar,4.3,,PV,,,AES Solar Energy Ltd,,,Heli SCSP,http://www.aessolar.co.uk,,,,,,,,,Operating,Greece,,40.8227,21.51778,,,,,,,,,,,
1026603,Kavasila Solar Power Plant,Solar,4.9,,PV,,,Enel Green Power Hellas SA,,,Enel Green Power,http://environmentalreport2012.enel.com/files/grecia_en.pdf,,,,,,,,,Operating,Greece,,37.8842,21.25599,,,,,,,,,,,
