PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Age,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_specific_emissions_tCO2/MWh
1022983,Itaipu Binacional Dam,Hydro,"14,000",Paraná River,Dam with Reservoir,1984,"14x1,000",Brazil and Paraguay Government,"84,000 GWh",Shared between Brazil and Paraguay Government,Situation of Renewable Energy in Paraguay,http://www.ssme.gov.py/,,,,,,,Operating,Paraguay,,-25.408056,-54.588889,,,,,,,,,,
1022984,Yacyretá Dam,Hydro,"1,550",Paraná River,Dam with Reservoir,1994,20x155,Argentina and Paraguay Government,,"Shared between Argentina and Paraguay Government. Although the capacity is split in half, Paraguay has consumed only 5% of the generation from thin 2014",Situation of Renewable Energy in Paraguay,http://www.ssme.gov.py/,,,,,,,Operating,Paraguay,,-27.482689,-56.724986,,,,,,,,,,
1022985,Acaray Dam,Hydro,210,Acaray River,Dam with Reservoir,1981,,,,,Hydro World,http://www.ssme.gov.py/,,,,,,,Operating,Paraguay,,-25.459118,-54.62893,,,,,,,,,,
