old_id,PowerWatch ID,change?,Name,Fuel,Capacity (MW),Location,Plant Type,Commissioning Year,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Municipality,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_tCO2/MWh
1007884,1023649,,SANTA MARINA GR 1,Hydro,10.56,,Hydro,1958,,ENDESA GENERACION S.A.,,,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-5492,,,,,,,,Spain,,42.5103,-5.873023,,,Toreno,,,,,,,
1007884,1023649,,SANTA MARINA GR 2,Hydro,10.17,,Hydro,1958,,ENDESA GENERACION S.A.,,,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-5493,,,,,,,,Spain,,42.5103,-5.873023,,,Toreno,,,,,,,
1007820,1023648,,PUENTES GR 4,Lignite Coal,350.88,,Sub-Critical Thermal,1979,,ENDESA GENERACION S.A.,,,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-5449,,,,,,,,Spain,,,,,,Pontes de Garcia Rodriguez (As),,,,,,,
1007820,1023648,,PUENTES GR 3,Lignite Coal,350.26,,Sub-Critical Thermal,1978,,ENDESA GENERACION S.A.,,,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-5448,,,,,,,,Spain,,,,,,Pontes de Garcia Rodriguez (As),,,,,,,
1007820,1023648,,PUENTES GR 2,Lignite Coal,351.06,,Sub-Critical Thermal,1977,,ENDESA GENERACION S.A.,,,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-5447,,,,,,,,Spain,,,,,,Pontes de Garcia Rodriguez (As),,,,,,,
1007820,1023648,,PUENTES GR 1,Lignite Coal,350.99,,Sub-Critical Thermal,1976,,ENDESA GENERACION S.A.,,,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-5446,,,,,,,,Spain,,,,,,Pontes de Garcia Rodriguez (As),,,,,,,
1007782,1023647,,PLANTA SOLAR TERMICA SOLNOVA 1,Solar,50,,CSP,2010,,SOLNOVA ELECTRICIDAD S.A (A-91378992),,,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-5103,,,,,,,,Spain,,37.417856,-6.277075,,,Sanlucar la Mayor,,,,,,,
1007782,1023647,,PLANTA SOLAR TERMICA SOLNOVA 4,Solar,50,,CSP,2010,,"SOLNOVA ELECTRICIDAD CUATRO, S.A.",,,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-5103,,,,,,,,Spain,,37.417856,-6.277075,,,Sanlucar la Mayor,,,,,,,
1007782,1023647,,PLANTA SOLAR TERMICA SOLNOVA 3,Solar,50,,CSP,2010,,"SOLNOVA ELECTRICIDAD TRES, S.A.",,,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-5103,,,,,,,,Spain,,37.417856,-6.277075,,,Sanlucar la Mayor,,,,,,,
1023547,1023646,,PICO CORROS,Wind,48,,Wind,,,"ENERGIA Y RECURSOS AMBIENTALES, S.A.",,,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-4997,,,,,,,,Spain,,,,,,Aguilar de Campoo,,,,,,,
1007309,1023645,,PARQUE EOLICO ALTAMIRA,Wind,45.3,,Wind,2009,,"SISTEMAS ENERGETICOS ALTAMIRA, S.A.U.",,,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-5103,,,,,,,,Spain,,,,,,Almargen,,,,,,,
1007303,1023644,,PARQUE EOLICO ALCONERA,Wind,24.42,,Wind,,,"GAMESA ENERGIA, S.A.",,,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-5103,,,,,,,,Spain,,,,,,Lapa (La),,,,,,,
1007269,1023643,,P.E. VINALLOP I,Wind,49.5,,Wind,,,"GERR GRUPO ENERGETICO XXI, S.A.",,,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-5103,,,,,,,,Spain,,,,,,Tortosa,,,,,,,
1007269,1023643,,P.E. VINALLOP II,Wind,49.5,,Wind,,,"GERR GRUPO ENERGETICO XXI, S.A.",,,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-5103,,,,,,,,Spain,,,,,,Tortosa,,,,,,,
1007217,1023642,,P.E. SIERRA DE LA OLIVA,Wind,46.86,,Wind,,,IBERDROLA E.RENOV. CASTILLA LA MANCHA,,,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-4509,,,,,,,,Spain,,38.756393,-1.011696,,,Caudete,,,,,,,
1007237,1023641,,P.E. SIERRA MENERA I,Wind,16,,Wind,2006,,"IBERDROLA E.R. CASTILLA-LA MANCHA, S.A.",,,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-4253,,,,,,,,Spain,,,,,,Setiles,,,,,,,
1007236,1023641,,P.E. SIERRA MENERA I,Wind,24,,Wind,2007,,"IBERDROLA E.R. CASTILLA-LA MANCHA, S.A.",,,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-4254,,,,,,,,Spain,,,,,,Setiles,,,,,,,
1007126,1023640,,P.E. MALAGON I,Wind,36,,Wind,2007,,"GAS NATURAL FENOSA RENOVABLES, S.L.U.",,,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2335,,,,,,,,Spain,,,,,,Fuente el Fresno,,,,,,,
1007136,1023639,,P.E. MONTE CABEZA,Wind,36.8,,Wind,,,"GRUPO ELECNOR, S.A.",,,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-4663,,,,,,,,Spain,,42.742153,-7.938254,,,Antas de Ulla,,,,,,,
1007076,1023638,,P.E. LA MUELA,Wind,48,,Wind,,,"ELECDEY, S.L.",,,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-5103,,,,,,,,Spain,,,,,,Estepar,,,,,,,
1007010,1023637,,P.E. EL CARRASCAL,Wind,49.5,,Wind,,,"WINDSOLAR, A.G.",,,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-4281,,,,,,,,Spain,,,,,,Villavaliente,,,,,,,
1006954,1023636,,P.E. CALDEREROS,Wind,49.3,,Wind,,,"IBERDROLA ENERGIAS RENOVABLES, S.A.",,,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-5103,,,,,,,,Spain,,,,,,Molina de Aragon,,,,,,,
1006812,1023635,,P. E. LA NAVICA,Wind,10.5,,Wind,2007,,"EOLICA LA NAVICA, S.L.",,,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-5103,,,,,,,,Spain,,,,,,Barrax,,,,,,,
1006811,1023635,,P. E. LA NAVICA,Wind,19.5,,Wind,2008,,"EOLICA LA NAVICA, S.L.",,,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-5103,,,,,,,,Spain,,,,,,Barrax,,,,,,,
1006759,1023634,,P. E. CASA DEL AIRE I,Wind,49.98,,Wind,2007,,ENERGIASALTERNATIVASCASTILLA-LA MANCHASL,,,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-5103,,,,,,,,Spain,,,,,,Bonillo (El),,,,,,,
1006760,1023634,,P. E. CASA DEL AIRE II,Wind,49.98,,Wind,2007,,ENERGIASALTERNATIVASCASTILLA-LA MANCHASL,,,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-5103,,,,,,,,Spain,,,,,,Bonillo (El),,,,,,,
1006502,1023633,,GLOBAL PLASMA ENVIRONMENT,Waste,18.4,,Waste Incinerator,,,"GLOBAL PLASMA ENVIRONMENT, S.A.",,,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-5103,,,,,,,,Spain,,,,,,Campillos,,,,,,,
1006444,1023632,,EL PARAMO,Wind,24,,Wind,2010,,"EL PARAMO PARQUE EOLICO, S.L.",,,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-4775,,,,,,,,Spain,,42.409828,-3.763153,,,Alfoz de Quintanaduenas,,,,,,,
1006357,1023631,,CIJARA M. IZDA. 3,Hydro,17.36,,Hydro,1969,,ENDESA GENERACION S.A.,,,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-5262,,,,,,,,Spain,,39.37112,-5.016618,,,Herrera del Duque,,,,,,,
1006357,1023631,,CIJARA M. IZDA. 2,Hydro,17.17,,Hydro,1957,,ENDESA GENERACION S.A.,,,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-5261,,,,,,,,Spain,,39.37112,-5.016618,,,Herrera del Duque,,,,,,,
1006357,1023631,,CIJARA M. IZDA. 1,Hydro,17.17,,Hydro,1956,,ENDESA GENERACION S.A.,,,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-5260,,,,,,,,Spain,,39.37112,-5.016618,,,Herrera del Duque,,,,,,,
1006205,1023630,,AREMUSA IX,Waste,14.14,,Waste Incinerator,,,"AREMUSA AGUAS DE LA REG. DE MURCIA, S.A.",,,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-4670,,,,,,,,Spain,,,,,,Alhama de Murcia,,,,,,,
1006205,1023630,,AREMUSA VI,Waste,14.14,,Waste Incinerator,,,"AREMUSA AGUAS DE LA REG. DE MURCIA, S.A.",,,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-4669,,,,,,,,Spain,,,,,,Alhama de Murcia,,,,,,,
1006205,1023630,,AREMUSA VII,Waste,14.14,,Waste Incinerator,,,"AREMUSA AGUAS DE LA REG. DE MURCIA, S.A.",,,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2343,,,,,,,,Spain,,,,,,Alhama de Murcia,,,,,,,
1006205,1023630,,AREMUSA VIII,Waste,14.14,,Waste Incinerator,,,"AREMUSA AGUAS DE LA REG. DE MURCIA, S.A.",,,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-4266,,,,,,,,Spain,,,,,,Alhama de Murcia,,,,,,,
1006205,1023630,,AREMUSA X,Waste,14.14,,Waste Incinerator,,,"AREMUSA AGUAS DE LA REG. DE MURCIA, S.A.",,,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-5103,,,,,,,,Spain,,,,,,Alhama de Murcia,,,,,,,
1006182,1023629,,ALITRASA X,Waste,14.14,,Waste Incinerator,,,"ALITRASA ALICANTINA TRATAMIENTO AGUAS,SA",,,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-5103,,,,,,,,Spain,,,,,,Alhama de Murcia,,,,,,,
