PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Age,Units,Owner,Annual Generation (GWh),Other,Source,URL,Source 2,URL 2,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_tCO2/MWh
1002890,GISSI,Natural Gas,840,GISSI,CCGT,2004,,A2A,642.3,Alstom GT 26B two-stage combustion turbine,A2A,http://www.a2a.eu/en/plants_networks/thermoelectric/gissi/,ENTSOE (For generation and capacity),https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,57%,,,,,,,Italy,,,,,,,,,,,,,
1021338,Impianto di Bolgiano,Natural Gas,61,,,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,,,Italy,,,,,,,,,,,,,
1023516,IMPIANTO_TERMO_1,Natural Gas,1,,,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,,,Italy,,,,,,,,,,,,,
1002894,ISAB ENERGY,Natural Gas,521,PRIOLO GARGALLO,OCGT,1998,,,"2,602",,Siemens,http://www.energy.siemens.com/br/en/fossil-power-generation/power-plants/integrated-gasification-combined-cycle/integrated-gasification-combined-cycle.htm#content=References,ENTSOE (For generation and capacity),https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,40%,,,,,,Operating,Italy,,,,,,,,,,,,,
1002896,JESI,Natural Gas,140,JESI,CCGT,2001,1x125,Edison,0,,Edison,http://www.edison.it/media/EMAS-GETE1-jesi2005.pdf,ENTSOE (For generation and capacity),https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Italy,,,,,,,,,,,,,
1002897,LA CASELLA C.LE,Natural Gas,1465.85,CASTEL SAN GIOVANNI,CCGT,,,Enel,520.475,,Dichiarazione Ambientale Anno 2007,https://www.enel.it/it-it/documents/azienda/ambiente/dichiarazioni_ambientali/lacasella_da2007_2008.pdf,ENTSOE (For generation and capacity),https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,Operating,Italy,,,,,,,,,,,,,
1002903,LARINO TG,Natural Gas,250,URURI,,1992,2x125,ENEL,1,,ENEL,https://www.futur-e.enel.it/cs/Satellite?blobcol=urldata&blobheader=application%2Fpdf&blobheadername1=Content-Disposition&blobheadername2=MDT-Type&blobheadervalue1=inline%3B+filename%3Dlarino-eng.pdf&blobheadervalue2=abinary%3B+charset%3DUTF-8&blobkey=id&blobtable=MungoBlobs&blobwhere=1445864757512&ssbinary=true,ENTSOE (For generation and capacity),https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,Operating,Italy,Sardinian Grid,,,,,,,,,,,,
1002904,LEINI,Natural Gas,379.5,LEINI',CCGT,2007,"1x128.5, 265",,"1,737",,Ansaldo Energia,http://ansaldoenergia.it/easyUp/file/pgs.pdf,ENTSOE (For generation and capacity),https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Italy,,,,,,,,,,,,,
1002905,LEVANTE,Natural Gas,752.5,VENEZIA,CCGT,1992,,,2165,,TERNA,http://www.terna.it/en-gb/sistemaelettrico/transparencyreport/generation/installedgenerationcapacity.aspx,ENTSOE (For generation and capacity),https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,Operating,Italy,,,,Waste,,,,,,,,,
1021595,LINATE 1,Natural Gas,24,,,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,,,Italy,,,,,,,,,,,,,
1002907,Maddaloni,Natural Gas,352,MADDALONI,OCGT,1977,4x88.8,,,,ENEL,https://www.futur-e.enel.it/cs/Satellite?blobcol=urldata&blobheader=application%2Fpdf&blobheadername1=Content-Disposition&blobheadername2=MDT-Type&blobheadervalue1=inline%3B+filename%3Dmaddaloni-eng.pdf&blobheadervalue2=abinary%3B+charset%3DUTF-8&blobkey=id&blobtable=MungoBlobs&blobwhere=1445864757537&ssbinary=true,ENTSOE (For generation and capacity),https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,Operating,Italy,,,,,,,,,,,,,
