PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Commissioning Year,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_tCO2/MWh,Data Year
1002840,Tawnaghmore 3,Distillate,52.0,,,,,Endesa,,,All Island project,http://www.allislandproject.org/en/market_decision_documents.aspx?article=151a9561-cef9-47f2-9f48-21f6c62cef103,,,,,,,Operating,Ireland,,,,,,,,,,,,,,2016
1002841,Turlough Hill,Pumped Storage,292.0,,Pumped Storage,,4x73,ESBPG,,,All Island project,http://www.allislandproject.org/en/market_decision_documents.aspx?article=151a9561-cef9-47f2-9f48-21f6c62cef79,,,,,,,Operating,Ireland,,,,,,,,,,,,,,2016
1002842,Tynagh,Natural Gas,388.5,,,,,Tynagh,,,All Island project,http://www.allislandproject.org/en/market_decision_documents.aspx?article=151a9561-cef9-47f2-9f48-21f6c62cef93,,,,,,,Operating,Ireland,,,,,,,,,,,,,,2016
1002843,West Offaly Power,Peat,137.0,,,,,ESBPG,,,All Island project,http://www.allislandproject.org/en/market_decision_documents.aspx?article=151a9561-cef9-47f2-9f48-21f6c62cef84,,,,,,,Operating,Ireland,,,,,,,,,,,,,,2016
1002844,Whitegate,Natural Gas,445.0,,,,,Bord Gais,,,All Island project,http://www.allislandproject.org/en/market_decision_documents.aspx?article=151a9561-cef9-47f2-9f48-21f6c62cef97,,,,,,,Operating,Ireland,,,,,,,,,,,,,,2016
1022970,Sliabh Bawn,Wind,58,,Onshore Wind,2016,,,,,Irish Wind Energy Association,http://www.iwea.com/windfarmsinireland,,,,,,,Operating,Ireland,,53.7356,-8.06795,,,,,,,,,,,2016
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
1022882,Cuillalea,Wind,3.4,Mayo,Onshore Wind,2004,4,,,V52,Irish Wind Energy Association,http://www.iwea.com/windfarmsinireland,,,,,,,Operating,Ireland,,53.8485,-9.07121,,,,,,,,,,,2016
1022883,Culliagh,Wind,12,Donegal,Onshore Wind,2000,18,,,V47/660,Irish Wind Energy Association,http://www.iwea.com/windfarmsinireland,,,,,,,Operating,Ireland,,,,,,,,,,,,,,2016
1022904,Glenough,Wind,32.5,Tipperary,Onshore Wind,2011,13,ABO Wind,,N80/N90,Irish Wind Energy Association,http://www.iwea.com/windfarmsinireland,,,,,,,Operating,Ireland,,52.6386,-8.07862,,,,,,,,,,,2016
1022905,Gneeves,Wind,9.35,Cork,Onshore Wind,2005,11,SWS,,V52,Irish Wind Energy Association,http://www.iwea.com/windfarmsinireland,,,,,,,Operating,Ireland,,,,,,,,,,,,,,2016
1022906,Gortahaile,Wind,20,Laois,Onshore Wind,2011,8,ABO Wind,,N90,Irish Wind Energy Association,http://www.iwea.com/windfarmsinireland,,,,,,,Operating,Ireland,,,,,,,,,,,,,,2016
1022907,Greenoge,Wind,5.2,Carlow,Onshore Wind,2005,4,Greenoge Windfarm Ltd,,N60,Irish Wind Energy Association,http://www.iwea.com/windfarmsinireland,,,,,,,Operating,Ireland,,,,,,,,,,,,,,2016
1022908,Grouselodge,Wind,20,Limerick,Onshore Wind,2011,8,ESBI,,N90,Irish Wind Energy Association,http://www.iwea.com/windfarmsinireland,,,,,,,Operating,Ireland,,,,,,,,,,,,,,2016
1022909,Hollyford Wind Farm,Wind,9,Tipperary,Onshore Wind,2013,3,Energia Renewables,,SWT-3.0,Irish Wind Energy Association,http://www.iwea.com/windfarmsinireland,,,,,,,Operating,Ireland,,,,,,,,,,,,,,2016
1022910,Inverin 1&2,Wind,3.96,Galway,Onshore Wind,1999,4,,,V47,Irish Wind Energy Association,http://www.iwea.com/windfarmsinireland,,,,,,,Operating,Ireland,,,,,,,,,,,,,,2016
1022884,Curragh,Wind,18,Cork,Onshore Wind,2009,8,SSE Renewables,,2.3VS,Irish Wind Energy Association,http://www.iwea.com/windfarmsinireland,,,,,,,Operating,Ireland,,,,,,,,,,,,,,2016
1022911,Janssen Wind Energy Project,Wind,2,Cork,Onshore Wind,2014,1,Janssen biologics,,E-101,Irish Wind Energy Association,http://www.iwea.com/windfarmsinireland,,,,,,,Operating,Ireland,,,,,,,,,,,,,,2016
1022885,Curraghgraigue,Wind,2.55,Tipperary,Onshore Wind,2004,3,,,V52,Irish Wind Energy Association,http://www.iwea.com/windfarmsinireland,,,,,,,Operating,Ireland,,,,,,,,,,,,,,2016
1022912,Kealkill,Wind,8.5,Cork,Onshore Wind,2006,10,,,V52,Irish Wind Energy Association,http://www.iwea.com/windfarmsinireland,,,,,,,Operating,Ireland,,,,,,,,,,,,,,2016
1022886,DePuy,Wind,2.5,Cork,Onshore Wind,2014,1,DePuy,,E-101,Irish Wind Energy Association,http://www.iwea.com/windfarmsinireland,,,,,,,Operating,Ireland,,,,,,,,,,,,,,2016
1022913,Kilgarvan,Wind,45,Kerry,Onshore Wind,2006,15,SWS,,V90,Irish Wind Energy Association,http://www.iwea.com/windfarmsinireland,,,,,,,Operating,Ireland,,51.9342,-9.32693,,,,,,,,,,,2016
1022888,Derrynadivva,Wind,8,Mayo,Onshore Wind,2009,10,,,E-48,Irish Wind Energy Association,http://www.iwea.com/windfarmsinireland,,,,,,,Operating,Ireland,,53.9104,-9.34083,,,,,,,,,,,2016
1022889,Dromada,Wind,28.5,Limerick,Onshore Wind,2009,19,SSE Renewables,,1.5s,Irish Wind Energy Association,http://www.iwea.com/windfarmsinireland,,,,,,,Operating,Ireland,,,,,,,,,,,,,,2016
1022890,Drumlough,Wind,4.8,Donegal,Onshore Wind,1997,8,B9,,,Irish Wind Energy Association,http://www.iwea.com/windfarmsinireland,,,,,,,Operating,Ireland,,,,,,,,,,,,,,2016
1022891,Drybridge/Dunmore,Wind,1.7,Louth,Onshore Wind,2006,2,,,V52,Irish Wind Energy Association,http://www.iwea.com/windfarmsinireland,,,,,,,Operating,Ireland,,,,,,,,,,,,,,2016
1022892,Dundalk IT,Wind,0.85,Louth,Onshore Wind,2005,1,DIT,,V52,Irish Wind Energy Association,http://www.iwea.com/windfarmsinireland,,,,,,,Operating,Ireland,,,,,,,,,,,,,,2016
1022893,Dunmore,Wind,1.8,Louth,Onshore Wind,2009,2,,,E-44,Irish Wind Energy Association,http://www.iwea.com/windfarmsinireland,,,,,,,Operating,Ireland,,,,,,,,,,,,,,2016
1022914,Kilgarvan Ext,Wind,30,Kerry,Onshore Wind,2009,13,SWS,,N90,Irish Wind Energy Association,http://www.iwea.com/windfarmsinireland,,,,,,,Operating,Ireland,,,,,,,,,,,,,,2016
1022915,Kill Hill,Wind,36.8,Tipperary,Onshore Wind,2014,16,Brookfield Renewable Energy,,E82,Irish Wind Energy Association,http://www.iwea.com/windfarmsinireland,,,,,,,Operating,Ireland,,52.5394,-7.77453,,,,,,,,,,,2016
