PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Commissioning Year,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_tCO2/MWh
1025007,Blavozy,Solar,4.00894,Blavozy,PV,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,45.0624,3.97161,,,,,,,,,,
1025009,Caudebronde,Wind,4,Caudebronde,Onshore Wind,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,43.388,2.30309,,,,,,,,,,
1025011,La Motte-de-Galaure,Wind,4,La Motte-de-Galaure,Onshore Wind,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,45.1992,4.90066,,,,,,,,,,
1025012,Lavallée,Wind,4,Lavallée,Onshore Wind,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,48.8081,5.33291,,,,,,,,,,
1025013,Levoncourt,Wind,4,Levoncourt,Onshore Wind,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,48.8276,5.34587,,,,,,,,,,
1025014,Jouy-aux-Arches,Hydro,4,Jouy-aux-Arches,Hydro,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,49.0644,6.08666,,,,,,,,,,
1025010,Conteville,Wind,4,Conteville,Onshore Wind,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,49.0892,-0.24419,,,,,,,,,,
1025015,Metz,Hydro,4,Metz,Hydro,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,49.1081,6.19595,,,,,,,,,,
1025016,Litz,Wind,4,Litz,Onshore Wind,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,49.4268,2.3232,,,,,,,,,,
1025008,Villeret,Wind,4,Villeret,Onshore Wind,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,49.9495,3.18832,,,,,,,,,,
1025018,Valhuon,Wind,4,Valhuon,Onshore Wind,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,50.434,2.38402,,,,,,,,,,
1025017,Ambricourt,Wind,4,Ambricourt,Onshore Wind,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,50.4662,2.17088,,,,,,,,,,
1025019,Laval,Hydro,3.96,Laval,Hydro,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,45.2362,5.98152,,,,,,,,,,
1025020,Le Lorrain,Solar,3.95299,Le Lorrain,PV,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,14.8015,-61.0767,,,,,,,,,,
1025021,Gétigné,Solar,3.92821,Gétigné,PV,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,47.0812,-1.21771,,,,,,,,,,
1025022,Chatuzange-le-Goubet,Biomass,3.915,Chatuzange-le-Goubet,,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,45.0113,5.09666,,,,,,,,,,
1025023,Lavilledieu,Solar,3.91288,Lavilledieu,PV,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,44.5818,4.44853,,,,,,,,,,
1025024,Cruas,Solar,3.90128,Cruas,PV,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,44.6565,4.75623,,,,,,,,,,
1025025,Meyras,Hydro,3.9,Meyras,Hydro,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,44.6766,4.26041,,,,,,,,,,
1025026,Saint-Jean-de-Maurienne,Hydro,3.9,Saint-Jean-de-Maurienne,Hydro,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,45.2719,6.34549,,,,,,,,,,
1025027,Cotignac,Solar,3.89115,Cotignac,PV,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,43.5235,6.14436,,,,,,,,,,
1025028,Saint-Thibéry,Solar,3.88792,Saint-Thibéry,PV,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,43.3922,3.40027,,,,,,,,,,
