PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Commissioning Year,Units,Owner,Annual Generation (GWh),Other,Source,URL,Source 2,URL 2,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_specific_emissions_tCO2/MWh
1023202,Bugoye,Hydro,11,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,,,,,,,,,Operating,Uganda,,0.30547600000,30.09802200000,,,,,,,,,,
1023203,Bujagali Falls,Hydro,250,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,,,,,,,,,Operating,Uganda,,0.49818200000,33.13736500000,,,,,,,,,,
1023204,Ishasha River,Hydro,10,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,,,,,,,,,Operating,Uganda,,-0.88146500000,29.67068100000,,,,,,,,,,
1023205,Kakira Sugar Works,Biomass,12,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,,,,,,,,,Operating,Uganda,,0.44000000000,33.20000000000,,,,,,,,,,
1023206,Kiira,Hydro,205,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,,,,,,,,,Operating,Uganda,,0.45030607120,33.18572759628,,,,,,,,,,
1023207,Lugogo Substation,Diesel,50,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,,,,,,,,,Operating,Uganda,,0.35800000000,32.69400000000,,,,,,,,,,
1023208,Mubuku-3,Hydro,10.5,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,,,,,,,,,Operating,Uganda,,0.32410000000,30.04600000000,,,,,,,,,,
1023209,Narubale,Hydro,180,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,,,,,,,,,Operating,Uganda,,0.44320000000,33.18520000000,,,,,,,,,,
