PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Age,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language
1008650,Riyadh PP5,Oil (crude),538,,OCGT,1972-1982,12(45),,,,Electricity & Cogeneration Regulatory Authority (ECRA),http://saudi%20electric%20long%20term%20planning%202006.pdf/,,,,,,,Operating,Saudi Arabia,,,,,,,,,,,
1008650,Riyadh PP4X,Oil (diesel),210,,OCGT,1977-1978,2(13)5(38),,,,Electricity & Cogeneration Regulatory Authority (ECRA),http://saudi%20electric%20long%20term%20planning%202006.pdf/,,,,,,,Operating,Saudi Arabia,,,,,,,,,,,
1008650,Riyadh PP4,Oil (diesel),90,,OCGT,1975,4(23),,,,Electricity & Cogeneration Regulatory Authority (ECRA),http://saudi%20electric%20long%20term%20planning%202006.pdf/,,,,,,,Operating,Saudi Arabia,,,,,,,,,,,
1008650,Riyadh PP3,Oil (diesel),55,,OCGT,1969-1978,4(10)1(15),,,,Electricity & Cogeneration Regulatory Authority (ECRA),http://saudi%20electric%20long%20term%20planning%202006.pdf/,,,,,,,Operating,Saudi Arabia,,,,,,,,,,,
1008651,Qassim PP3,Oil (crude),816,,OCGT,1982-1983,9(48)6(55),,,,Electricity & Cogeneration Regulatory Authority (ECRA),http://saudi%20electric%20long%20term%20planning%202006.pdf/,,,,,,,Operating,Saudi Arabia,,,,,,,,,,,
1008652,Buraydah,Oil (diesel),89,,OCGT,,5(18),,,,Electricity & Cogeneration Regulatory Authority (ECRA),http://saudi%20electric%20long%20term%20planning%202006.pdf/,,,,,,,Operating,Saudi Arabia,,,,,,,,,,,
1008653,Hail II and III,Oil (crude),977,,OCGT,"1985, 2011",5(60)6(112),,,,Electricity & Cogeneration Regulatory Authority (ECRA),http://saudi%20electric%20long%20term%20planning%202006.pdf/,,,,,,,Operating,Saudi Arabia,,27.4689,41.7416,,,,,,,,
1008654,Hail I,Oil (diesel),43,,OCGT,1981-1983,2(15)2(7),,,,Electricity & Cogeneration Regulatory Authority (ECRA),http://saudi%20electric%20long%20term%20planning%202006.pdf/,,,,,,,Operating,Saudi Arabia,,,,,,,,,,,
1008655,Layla,Oil (crude),81,,OCGT,1987,6(13.5),,,,Electricity & Cogeneration Regulatory Authority (ECRA),http://saudi%20electric%20long%20term%20planning%202006.pdf/,,,,,,,Operating,Saudi Arabia,,,,,,,,,,,
1008656,Riyadh 10,Oil (crude),"3,400",,CCGT,2015,40(55),,,,Electricity & Cogeneration Regulatory Authority (ECRA),http://saudi%20electric%20long%20term%20planning%202006.pdf/,,,,,,,Operating,Saudi Arabia,,,,,,,,,,,
1008657,Riyadh 11,Oil (crude),"1,729",,CCGT,2013,,,,,Electricity & Cogeneration Regulatory Authority (ECRA),http://saudi%20electric%20long%20term%20planning%202006.pdf/,,,,,,,Operating,Saudi Arabia,,,,,,,,,,,
1008658,Jeddah PP3A,Oil (diesel),991,,OCGT,"1976, 2004",11(45) 8(62),,,,Electricity & Cogeneration Regulatory Authority (ECRA),http://saudi%20electric%20long%20term%20planning%202006.pdf/,,,,,,,Operating,Saudi Arabia,,,,,,,,,,,
1008658,Jeddah PP3B,Oil (crude),832,,OCGT,1984,16(52),,,,Electricity & Cogeneration Regulatory Authority (ECRA),http://saudi%20electric%20long%20term%20planning%202006.pdf/,,,,,,,Operating,Saudi Arabia,,,,,,,,,,,
1008658,Jeddah PP2,Oil (diesel),116,,OCGT,"1965, 1974, 1978",,,,,Electricity & Cogeneration Regulatory Authority (ECRA),http://saudi%20electric%20long%20term%20planning%202006.pdf/,,,,,,,Operating,Saudi Arabia,,,,,,,,,,,
1008659,Rabigh (thermal),Heavy Fuel Oil,"3,672",,Sub-critical Thermal,1985 (First four units) 1995 (last 2 units) 2014 (last 3 units),4(260)2(266)3(700),,,,Electricity & Cogeneration Regulatory Authority (ECRA),http://saudi%20electric%20long%20term%20planning%202006.pdf/,,,,,,,Operating,Saudi Arabia,,,,,,,,,,,
1008660,Rabigh (CC),Oil (crude),"1,091",,CCGT,1994,1(398)2(346),,,,Electricity & Cogeneration Regulatory Authority (ECRA),http://saudi%20electric%20long%20term%20planning%202006.pdf/,,,,,,,Operating,Saudi Arabia,,,,,,,,,,,
1008661,Sha'iba,Heavy Fuel Oil,"5,347",,"Sub-critical thermal, desalinzation",2001-2012,11(393) 3(400),,,,Electricity & Cogeneration Regulatory Authority (ECRA),http://saudi%20electric%20long%20term%20planning%202006.pdf/,,,,,,,Operating,Saudi Arabia,,20.63342,39.56034,,,,,,,,
1008662,Makkah,Oil (diesel),778,,OCGT,1975-1984,1(18)2(22)3(40)3(46)2(49)6(53),,,,Electricity & Cogeneration Regulatory Authority (ECRA),http://saudi%20electric%20long%20term%20planning%202006.pdf/,,,,,,,Operating,Saudi Arabia,,,,,,,,,,,
1008663,Madinah,Oil (diesel),318,,OCGT,"1976-1981, 1996",2(17)3(20)2(50)2(62),,,,Electricity & Cogeneration Regulatory Authority (ECRA),http://saudi%20electric%20long%20term%20planning%202006.pdf/,,,,,,,Operating,Saudi Arabia,,,,,,,,,,,
1008664,Taif,Oil (diesel),116,,OCGT,1976-1981,5(20)1(16),,,,Electricity & Cogeneration Regulatory Authority (ECRA),http://saudi%20electric%20long%20term%20planning%202006.pdf/,,,,,,,Operating,Saudi Arabia,,,,,,,,,,,
1008665,Yanbu,Oil (diesel),56,,OCGT,1982-1983,3(18),,,,Electricity & Cogeneration Regulatory Authority (ECRA),http://saudi%20electric%20long%20term%20planning%202006.pdf/,,,,,,,Operating,Saudi Arabia,,,,,,,,,,,
1008666,Marafiq Yanbu (OCGT),Oil (crude),516,,OCGT,2003,8(56) 1(68),,,,Electricity & Cogeneration Regulatory Authority (ECRA),http://saudi%20electric%20long%20term%20planning%202006.pdf/,,,,,,,Operating,Saudi Arabia,,,,,,,,,,,
1008667,Marafiq Yanbu (thermal),Heavy Fuel Oil,"1,014",,Sub-critical thermal,"2003, 2012",3(128)2(250)1(130),,,,Electricity & Cogeneration Regulatory Authority (ECRA),http://saudi%20electric%20long%20term%20planning%202006.pdf/,,,,,,,Operating,Saudi Arabia,,,,,,,,,,,
1008668,Asir CPS,Oil (diesel),433,,OCGT,"1985, 1996-2012",,,,,Electricity & Cogeneration Regulatory Authority (ECRA),http://saudi%20electric%20long%20term%20planning%202006.pdf/,,,,,,,Operating,Saudi Arabia,,,,,,,,,,,
1008669,Asir CPS (diesel engine),Oil (diesel),81,,Diesel Engine,1978,9(9),,,,Electricity & Cogeneration Regulatory Authority (ECRA),http://saudi%20electric%20long%20term%20planning%202006.pdf/,,,,,,,Operating,Saudi Arabia,,,,,,,,,,,
1008670,Jizan (OCGT),Oil (diesel),677,,OCGT,1980-2002,6(18)3(24)2(56)3(15)3(60)2(79),,,,Electricity & Cogeneration Regulatory Authority (ECRA),http://saudi%20electric%20long%20term%20planning%202006.pdf/,,,,,,,Operating,Saudi Arabia,,,,,,,,,,,
1008671,Bisha,Oil (diesel),144,,OCGT,1983-1987,2(23)2(53)1(56)1(120)2(80)2(60),,,,Electricity & Cogeneration Regulatory Authority (ECRA),http://saudi%20electric%20long%20term%20planning%202006.pdf/,,,,,,,Operating,Saudi Arabia,,,,,,,,,,,
1008672,Tihama,Oil (crude and diesel),602,,OCGT,"1986-2003, 2007",,,,,Electricity & Cogeneration Regulatory Authority (ECRA),http://saudi%20electric%20long%20term%20planning%202006.pdf/,,,,,,,Operating,Saudi Arabia,,,,,,,,,,,
1008673,Najran,Oil (crude),267,,OCGT,"1985, 1998-2002",,,,,Electricity & Cogeneration Regulatory Authority (ECRA),http://saudi%20electric%20long%20term%20planning%202006.pdf/,,,,,,,Operating,Saudi Arabia,,,,,,,,,,,
1008674,Shuqaiq 2 IWPP,Heavy Fuel Oil,850,,"Sub-critical thermal, desalinzation",2010,6(142),,,,Electricity & Cogeneration Regulatory Authority (ECRA),http://saudi%20electric%20long%20term%20planning%202006.pdf/,,,,,,,Operating,Saudi Arabia,,,,,,,,,,,
1008675,Arar,Oil (diesel),197,,Diesel Engine,1985-2000,,,,,Electricity & Cogeneration Regulatory Authority (ECRA),http://saudi%20electric%20long%20term%20planning%202006.pdf/,,,,,,,Operating,Saudi Arabia,,,,,,,,,,,
1008676,Rafha,Oil (diesel),198,,Diesel Engine,,,,,,Electricity & Cogeneration Regulatory Authority (ECRA),http://saudi%20electric%20long%20term%20planning%202006.pdf/,,,,,,,Operating,Saudi Arabia,,,,,,,,,,,
1008677,Qurayt,Oil (diesel),246,,Diesel Engine,2007,,,,,Electricity & Cogeneration Regulatory Authority (ECRA),http://saudi%20electric%20long%20term%20planning%202006.pdf/,,,,,,,Operating,Saudi Arabia,,,,,,,,,,,
1008678,Al Jawf,Oil (diesel),370,,Diesel Engine,2007,,,,,Electricity & Cogeneration Regulatory Authority (ECRA),http://saudi%20electric%20long%20term%20planning%202006.pdf/,,,,,,,Operating,Saudi Arabia,,,,,,,,,,,
1008679,Juba,Oil (diesel),318,,Diesel Engine,2005,,,,,Electricity & Cogeneration Regulatory Authority (ECRA),http://saudi%20electric%20long%20term%20planning%202006.pdf/,,,,,,,Operating,Saudi Arabia,,,,,,,,,,,
1008680,Tabuk,Oil (diesel),573,,Diesel Engine,2005,,,,,Electricity & Cogeneration Regulatory Authority (ECRA),http://saudi%20electric%20long%20term%20planning%202006.pdf/,,,,,,,Operating,Saudi Arabia,,,,,,,,,,,
1008681,Tabuk (diesel engine),Oil (diesel),64,,Diesel Engine,,,,,,Electricity & Cogeneration Regulatory Authority (ECRA),http://saudi%20electric%20long%20term%20planning%202006.pdf/,,,,,,,Operating,Saudi Arabia,,,,,,,,,,,
1008682,Dhuba,Oil (diesel),147,,Diesel Engine,,,,,,Electricity & Cogeneration Regulatory Authority (ECRA),http://saudi%20electric%20long%20term%20planning%202006.pdf/,,,,,,,Operating,Saudi Arabia,,,,,,,,,,,
1008683,Al-Gola,Oil (diesel),68,,Diesel Engine,,,,,,Electricity & Cogeneration Regulatory Authority (ECRA),http://saudi%20electric%20long%20term%20planning%202006.pdf/,,,,,,,Operating,Saudi Arabia,,,,,,,,,,,
1008684,Sharourah,Oil (diesel),203,,Diesel Engine,,1(75)2(64,,,,Electricity & Cogeneration Regulatory Authority (ECRA),http://saudi%20electric%20long%20term%20planning%202006.pdf/,,,,,,,Operating,Saudi Arabia,,,,,,,,,,,
