PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Commissioning Year,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_specific_emissions_tCO2/MWh
1022129,Petit Saut,Hydro,113.6,Sinamary River,Gravity Dam,1994,,Électricité de France,,,EDF Guiana,https://www.edf.gf/edf-en-guyane/les-engagements-edf-en-guyane/sites-de-production-et-reseau,,,,,,,Operating,French Guiana,,5.062662,-53.047633,,,,,,,,,,
1023509,Dégrad des Cannes,Diesel,40,Remire-Montjoly,Diesel Engine,,,Électricité de France,,,EDF Guiana,https://www.edf.gf/edf-en-guyane/les-engagements-edf-en-guyane/sites-de-production-et-reseau,,,,,,,Operating,French Guiana,,4.862644,-52.274794,,,,,,,,,,
1023510,Dégrad des Cannes,Natural Gas,72,Remire-Montjoly,OCGT,,,Électricité de France,,,EDF Guiana,https://www.edf.gf/edf-en-guyane/les-engagements-edf-en-guyane/sites-de-production-et-reseau,,,,,,,Operating,French Guiana,,4.863187,-52.275642,,,,,,,,,,
1023511,Kourou,Biomass,2,,,,,Électricité de France,,,EDF Guiana,https://www.edf.gf/edf-en-guyane/les-engagements-edf-en-guyane/sites-de-production-et-reseau,,,,,,,Operating,French Guiana,,5.163597,-52.670203,,,,,,,,,,
1023512,Kourou,Natural Gas,20,,,,,Électricité de France,,,EDF Guiana,https://www.edf.gf/edf-en-guyane/les-engagements-edf-en-guyane/sites-de-production-et-reseau,,,,,,,Operating,French Guiana,,5.163597,-52.670203,,,,,,,,,,
1023513,Maripasoula,Diesel,1.28,,,,,Électricité de France,,,EDF Guiana,https://www.edf.gf/edf-en-guyane/les-engagements-edf-en-guyane/sites-de-production-et-reseau,,,,,,,Operating,French Guiana,,,,,,,,,,,,,
