PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Commissioning Year,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_specific_emissions_tCO2/MWh
1023582,Kalba Power Station (KPS),Natural Gas,108,,,1987,,SEWA,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,,,,,,Diesel,,,,Dry Cooling,,,,,
1023583,Khorfakkan Station (KHPS),Natural Gas,144,,,1987,,SEWA,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,,,,25.3671,56.34012,Diesel,,,,Dry Cooling,,,,,
1023584,Layyah Power Station (LPS),Natural Gas,911,,,1977,,SEWA,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,,,,25.3527,55.37049,Heavy Fuel Oil,,,,Dry Cooling,,,,,
1023585,Nakheel,Natural Gas,387,,,1980,,FEWA,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,,,,,,Diesel,,,,,,,,,
1023586,New Mirfah (MIPCO),Natural Gas,"1,728",,,2016,,ADWEA,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,,,,24.104,53.4264,Oil,,,,Once Through,Sea Water,,,,
1023587,Shams Power Company,Natural Gas,50,,,2013,,"Masdar, Total & Abengoa",,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,,,,,,,,,Oil,,,,Once Through,Sea Water,,,,
1023588,Sheikh Mohammed Bin Rashid Al Maktoum Solar Park Phase 1,Solar,10,,,2013,,DEWA,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=284,,,,,,,,,,24.7652,55.37334,,,,,,,,,,
1023589,Wasit Power Station (WPS),Natural Gas,1182,,,1998,,SEWA,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=285,,,,,,,,,,25.3732,55.46114,Diesel,,,,Dry Cooling,,,,,
1023590,zawra,Natural Gas,200,,,1980,,FEWA,,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=286,,,,,,,,,,25.446,55.47766,Diesel,,,,,,,,,
1023591,Shams,Solar,100,,,2013,,"Masdar (60%), Abengoa Solar (20%), Total SA (20%)",,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=287,,,,,,,,,,23.5711,53.71432,,,,,,,,,,
