PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Commissioning Year,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language
1018579,Tasajero II,Coal,160,,Sub-critical thermal,,,Termotasejero,,,ProColombia,http://www.cc.lu/fileadmin/user_upload/cc.lu/Manifestations/20150701_Mexico_Colombia_Mission/01___Electric_Power_Generation_in_Colombia_-_2015.pdf,,,,,,,,Colombia,,,,,,,,,,,
1018580,Termobarranquilla,Natural Gas,918,,CCGT,,,TEBSA,,,ProColombia,http://www.cc.lu/fileadmin/user_upload/cc.lu/Manifestations/20150701_Mexico_Colombia_Mission/01___Electric_Power_Generation_in_Colombia_-_2015.pdf,,,,,,,,Colombia,,,,,,,,,,,
1018581,Termocandeleria,Natural Gas,314,,OCGT,,,Termocandeleria S.A.E.S.P,,,ProColombia,http://www.cc.lu/fileadmin/user_upload/cc.lu/Manifestations/20150701_Mexico_Colombia_Mission/01___Electric_Power_Generation_in_Colombia_-_2015.pdf,,,,,,,,Colombia,,,,,,,,,,,
1018582,Termocentro,Natural Gas,300,,CCGT,,,Isagen S.A.,,,ProColombia,http://www.cc.lu/fileadmin/user_upload/cc.lu/Manifestations/20150701_Mexico_Colombia_Mission/01___Electric_Power_Generation_in_Colombia_-_2015.pdf,,,,,,,,Colombia,,,,,,,,,,,
1018583,Termoflores,Natural Gas,670,,CCGT,,,Termoflores S.A.E.S.P,,,ProColombia,http://www.cc.lu/fileadmin/user_upload/cc.lu/Manifestations/20150701_Mexico_Colombia_Mission/01___Electric_Power_Generation_in_Colombia_-_2015.pdf,,,,,,,,Colombia,,,,,,,,,,,
1018584,Termopaipa,Coal,321,,Sub-critical thermal,,,Gensa,,,ProColombia,http://www.cc.lu/fileadmin/user_upload/cc.lu/Manifestations/20150701_Mexico_Colombia_Mission/01___Electric_Power_Generation_in_Colombia_-_2015.pdf,,,,,,,,Colombia,,,,,,,,,,,
1018585,Termovalle,Natural Gas,205,,CCGT,,,Termovalle S.A.,,,ProColombia,http://www.cc.lu/fileadmin/user_upload/cc.lu/Manifestations/20150701_Mexico_Colombia_Mission/01___Electric_Power_Generation_in_Colombia_-_2015.pdf,,,,,,,,Colombia,,,,,,,,,,,
1018586,Tomila,Hydro,55,,Dam with Reservoir,,,EPSA,,,ProColombia,http://www.cc.lu/fileadmin/user_upload/cc.lu/Manifestations/20150701_Mexico_Colombia_Mission/01___Electric_Power_Generation_in_Colombia_-_2015.pdf,,,,,,,,Colombia,,,,,,,,,,,
1018587,Troneras Central,Hydro,40,,Dam with Reservoir,,,EPM,,,ProColombia,http://www.cc.lu/fileadmin/user_upload/cc.lu/Manifestations/20150701_Mexico_Colombia_Mission/01___Electric_Power_Generation_in_Colombia_-_2015.pdf,,,,,,,,Colombia,,,,,,,,,,,
1018588,Zipa,Coal,223,,sub-critical thermal,,,ENDESA,,,ProColombia,http://www.cc.lu/fileadmin/user_upload/cc.lu/Manifestations/20150701_Mexico_Colombia_Mission/01___Electric_Power_Generation_in_Colombia_-_2015.pdf,,,,,,,,Colombia,,,,,,,,,,,
