PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Age,Units,Owner,Annual Generation (GWh),Other,Source,URL,Source 2,URL 2,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_specific_emissions_tCO2/MWh
1023079,Boke,Hydro,45,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,EcoRex,http://www.ecowrex.org/resources/energy_generators?title_field_value=&&&&&items_per_page=20&page=5,,,,,,,Operating,Guinea,,10.93333330000,-14.30000000000,,,,,,,,,,
1023080,Donkea,Hydro,15,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,EcoRex,http://www.ecowrex.org/resources/energy_generators?title_field_value=&&&&&items_per_page=20&page=5,,,,,,,Operating,Guinea,,9.95000000000,-12.99500000000,,,,,,,,,,
1023081,Garafiri,Hydro,75,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,EcoRex,http://www.ecowrex.org/resources/energy_generators?title_field_value=&&&&&items_per_page=20&page=5,,,,,,,Operating,Guinea,,10.52830000000,-12.66350000000,,,,,,,,,,
1023082,Grandes Chutes,Hydro,28.32,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,EcoRex,http://www.ecowrex.org/resources/energy_generators?title_field_value=&&&&&items_per_page=20&page=5,,,,,,,Operating,Guinea,,9.92111110000,-13.09861110000,,,,,,,,,,
1023083,Kaleta,Hydro,240,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,EcoRex,http://www.ecowrex.org/resources/energy_generators?title_field_value=&&&&&items_per_page=20&page=5,,,,,,,Operating,Guinea,,10.46270000000,-13.27650000000,,,,,,,,,,
1023084,Kamsar,Diesel,26.28,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,EcoRex,http://www.ecowrex.org/resources/energy_generators?title_field_value=&&&&&items_per_page=20&page=5,,,,,,,Operating,Guinea,,10.66666670000,-14.60000000000,,,,,,,,,,
1023085,Sangaredi,Diesel,16.57,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,EcoRex,http://www.ecowrex.org/resources/energy_generators?title_field_value=&&&&&items_per_page=20&page=5,,,,,,,Operating,Guinea,,11.09700000000,-13.79000000000,,,,,,,,,,
1023086,Tinkisso,Hydro,15,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,EcoRex,http://www.ecowrex.org/resources/energy_generators?title_field_value=&&&&&items_per_page=20&page=5,,,,,,,Operating,Guinea,,10.75000000000,-11.11666670000,,,,,,,,,,
1023087,Tombo,Diesel,49.25,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,EcoRex,http://www.ecowrex.org/resources/energy_generators?title_field_value=&&&&&items_per_page=20&page=5,,,,,,,Operating,Guinea,,9.50916670000,-13.71222220000,,,,,,,,,,
