PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Age,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_specific_emissions_tCO2/MWh
1018739,Denizli,Lignite Coal,5.5,,Sub-critical thermal,,,Aynes Gıda,,Lignite Coal,Enerji Atlasi,http://www.enerjiatlasi.com/komur/,,,,,,,,Turkey,,,,,,,,,,,,,
1018740,Kirklareli,Lignite Coal,5.4,,Sub-critical thermal,,,Türkiye Şeker Fabrikaları,,Lignite Coal,Enerji Atlasi,http://www.enerjiatlasi.com/komur/,,,,,,,,Turkey,,,,,,,,,,,,,
1018741,Erzurum,Lignite Coal,5.4,,Sub-critical thermal,,,Türkiye Şeker Fabrikaları,,Lignite Coal,Enerji Atlasi,http://www.enerjiatlasi.com/komur/,,,,,,,,Turkey,,,,,,,,,,,,,
1018916,Atakoy,Hydro,5,,Dam with Reservoir,,,,,,Enerji Atlasi,http://www.enerjiatlasi.com/hidroelektrik/,,,,,,,,Turkey,,,,,,,,,,,,,
1018742,Denizli,Lignite Coal,5,,Sub-critical thermal,,,Küçüker Tekstil,,Lignite Coal,Enerji Atlasi,http://www.enerjiatlasi.com/komur/,,,,,,,,Turkey,,,,,,,,,,,,,
1018991,Diana Hotel Güneş Enerjisi Santrali,Solar,5,Burdur,PV,,,Diana Hotel,,,Enerji Atlasi,http://www.enerjiatlasi.com/sehir/,,,,,,,,Turkey,,,,,,,,,,,,,
1018992,Mersin Gülnar Güneş Enerji Santrali,Solar,5,Mersin,PV,,,T Dinamik Enerji,,,Enerji Atlasi,http://www.enerjiatlasi.com/sehir/,,,,,,,,Turkey,,,,,,,,,,,,,
1018993,T Dinamik Enerji Güneş Enerjisi Santrali,Solar,5,Adana,PV,,,T Dinamik Enerji,,,Enerji Atlasi,http://www.enerjiatlasi.com/sehir/,,,,,,,,Turkey,,,,,,,,,,,,,
1018994,Özkoyuncu Madencilik Güneş Santrali,Solar,5,Kayseri,PV,,,Özkoyuncu Madencilik,,,Enerji Atlasi,http://www.enerjiatlasi.com/sehir/,,,,,,,,Turkey,,,,,,,,,,,,,
1018995,Ekonova Güneş Enerji Santrali,Solar,5,Ankara,PV,,,,,,Enerji Atlasi,http://www.enerjiatlasi.com/sehir/,,,,,,,,Turkey,,,,,,,,,,,,,
1018996,Omega Enerji Konya Karatay GES,Solar,5,Konya,PV,,,Omega Enerji,,,Enerji Atlasi,http://www.enerjiatlasi.com/sehir/,,,,,,,,Turkey,,,,,,,,,,,,,
1018997,T Dinamik Niğde Gölcük GES,Solar,5,Niğde,PV,,,T Dinamik Enerji,,,Enerji Atlasi,http://www.enerjiatlasi.com/sehir/,,,,,,,,Turkey,,,,,,,,,,,,,
