PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Age,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language
1004050,Aue-Dotierzentrale,Hydro,0.5,,,2013,,,,,Swiss Federal Office of Energy,http://www.bfe.admin.ch/themen/00490/00491/index.html?lang=en,,,,,,,Operational,Switzerland,,,,,,,,,,,
1004051,Augst,Hydro,35,Nenzlingen,,1912,,,,,Swiss Federal Office of Energy,http://www.bfe.admin.ch/themen/00490/00491/index.html?lang=en,,,,,,,Operational,Switzerland,,,,,,,,,,,
1004052,Bäch,Hydro,0.3,,,1957,,,,,Swiss Federal Office of Energy,http://www.bfe.admin.ch/themen/00490/00491/index.html?lang=en,,,,,,,Operational,Switzerland,,,,,,,,,,,
1004053,Bachtoli,Hydro,0.98,,,2014,,,,,Swiss Federal Office of Energy,http://www.bfe.admin.ch/themen/00490/00491/index.html?lang=en,,,,,,,Operational,Switzerland,,,,,,,,,,,
1004054,"Badhalte, Brig-Glis",Hydro,1.44,,,2015,,,,,Swiss Federal Office of Energy,http://www.bfe.admin.ch/themen/00490/00491/index.html?lang=en,,,,,,,Under Construction,Switzerland,,,,,,,,,,,
1004055,Balavaud,Hydro,0.48,,,1971,,,,,Swiss Federal Office of Energy,http://www.bfe.admin.ch/themen/00490/00491/index.html?lang=en,,,,,,,Operational,Switzerland,,,,,,,,,,,
1004056,Baltschieder,Hydro,0.33,,,1994,,,,,Swiss Federal Office of Energy,http://www.bfe.admin.ch/themen/00490/00491/index.html?lang=en,,,,,,,Operational,Switzerland,,,,,,,,,,,
1004057,Bannwald,Hydro,0.44,,,1959,,,,,Swiss Federal Office of Energy,http://www.bfe.admin.ch/themen/00490/00491/index.html?lang=en,,,,,,,Operational,Switzerland,,,,,,,,,,,
1004058,Bannwald (WVA),Hydro,0.3,,,2002,,,,,Swiss Federal Office of Energy,http://www.bfe.admin.ch/themen/00490/00491/index.html?lang=en,,,,,,,Operational,Switzerland,,,,,,,,,,,
1004059,Bannwil,Hydro,28.5,Nufenen,,1970,,,,,Swiss Federal Office of Energy,http://www.bfe.admin.ch/themen/00490/00491/index.html?lang=en,,,,,,,Operational,Switzerland,,,,,,,,,,,
1004060,Bärenburg,Hydro,220,Hagendorn,,1962,,,,,Swiss Federal Office of Energy,http://www.bfe.admin.ch/themen/00490/00491/index.html?lang=en,,,,,,,Operational,Switzerland,,,,,,,,,,,
1004061,Bärenburg-Dotierzentrale,Hydro,0.76,,,1968,,,,,Swiss Federal Office of Energy,http://www.bfe.admin.ch/themen/00490/00491/index.html?lang=en,,,,,,,Operational,Switzerland,,,,,,,,,,,
1004062,Bargaus,Hydro,2.82,,,1963,,,,,Swiss Federal Office of Energy,http://www.bfe.admin.ch/themen/00490/00491/index.html?lang=en,,,,,,,Operational,Switzerland,,,,,,,,,,,
1004063,Bassecourt,Hydro,1.03,,,1920,,,,,Swiss Federal Office of Energy,http://www.bfe.admin.ch/themen/00490/00491/index.html?lang=en,,,,,,,Operational,Switzerland,,,,,,,,,,,
1004064,Bätterkinden,Hydro,0.4,,,1855,,,,,Swiss Federal Office of Energy,http://www.bfe.admin.ch/themen/00490/00491/index.html?lang=en,,,,,,,Operational,Switzerland,,,,,,,,,,,
1004065,Bavona,Hydro,140,Unterschächen,,1966,,,,,Swiss Federal Office of Energy,http://www.bfe.admin.ch/themen/00490/00491/index.html?lang=en,,,,,,,Operational,Switzerland,,,,,,,,,,,
1004066,Bellerive,Hydro,0.52,,,1905,,,,,Swiss Federal Office of Energy,http://www.bfe.admin.ch/themen/00490/00491/index.html?lang=en,,,,,,,Operational,Switzerland,,,,,,,,,,,
1004067,Beulet,Hydro,0.72,,,1907,,,,,Swiss Federal Office of Energy,http://www.bfe.admin.ch/themen/00490/00491/index.html?lang=en,,,,,,,Operational,Switzerland,,,,,,,,,,,
1004068,Bevieux,Hydro,1.9,,,1943,,,,,Swiss Federal Office of Energy,http://www.bfe.admin.ch/themen/00490/00491/index.html?lang=en,,,,,,,Operational,Switzerland,,,,,,,,,,,
1004069,Beznau,Hydro,19.5,,,1902,,,,,Swiss Federal Office of Energy,http://www.bfe.admin.ch/themen/00490/00491/index.html?lang=en,,,,,,,Operational,Switzerland,,,,,,,,,,,
1004070,Beznau-Wehrkraftwerk,Hydro,6.2,,,2001,,,,,Swiss Federal Office of Energy,http://www.bfe.admin.ch/themen/00490/00491/index.html?lang=en,,,,,,,Operational,Switzerland,,,,,,,,,,,
1004071,Biasca,Hydro,324,Ziegelbrücke,,1959,,,,,Swiss Federal Office of Energy,http://www.bfe.admin.ch/themen/00490/00491/index.html?lang=en,,,,,,,Operational,Switzerland,,,,,,,,,,,
1004072,Biaschina,Hydro,141,Boudry,,1966,,,,,Swiss Federal Office of Energy,http://www.bfe.admin.ch/themen/00490/00491/index.html?lang=en,,,,,,,Operational,Switzerland,,,,,,,,,,,
1004073,Biberist (Papierfabrik),Hydro,0.5,,,1864,,,,,Swiss Federal Office of Energy,http://www.bfe.admin.ch/themen/00490/00491/index.html?lang=en,,,,,,,Operational,Switzerland,,,,,,,,,,,
1004074,Bieudron,Hydro,1285,"Adelboden, Engstligenalp",,1999,,,1780,,Swiss Federal Office of Energy,http://www.bfe.admin.ch/themen/00490/00491/index.html?lang=en,,,,,,,Operational,Switzerland,,,,,,,,,,,
1004075,Birsfelden,Hydro,100,Soyhières,,1955,,,,,Swiss Federal Office of Energy,http://www.bfe.admin.ch/themen/00490/00491/index.html?lang=en,,,,,,,Operational,Switzerland,,,,,,,,,,,
1004076,Bischofszell (Papierfabrik),Hydro,1.02,,,1864,,,,,Swiss Federal Office of Energy,http://www.bfe.admin.ch/themen/00490/00491/index.html?lang=en,,,,,,,Operational,Switzerland,,,,,,,,,,,
1004077,Bisisthal,Hydro,15.8,,,1956,,,,,Swiss Federal Office of Energy,http://www.bfe.admin.ch/themen/00490/00491/index.html?lang=en,,,,,,,Operational,Switzerland,,,,,,,,,,,
1004078,Bitsch (Biel),Hydro,340,Orbe,,1969,,,,,Swiss Federal Office of Energy,http://www.bfe.admin.ch/themen/00490/00491/index.html?lang=en,,,,,,,Operational,Switzerland,,,,,,,,,,,
1004079,Blatten,Hydro,0.45,,,1915,,,,,Swiss Federal Office of Energy,http://www.bfe.admin.ch/themen/00490/00491/index.html?lang=en,,,,,,,Operational,Switzerland,,,,,,,,,,,
1004080,Blatten (SAK),Hydro,0.35,,,1906,,,,,Swiss Federal Office of Energy,http://www.bfe.admin.ch/themen/00490/00491/index.html?lang=en,,,,,,,Operational,Switzerland,,,,,,,,,,,
1004081,Bleiche,Hydro,2.22,,,1903,,,,,Swiss Federal Office of Energy,http://www.bfe.admin.ch/themen/00490/00491/index.html?lang=en,,,,,,,Operational,Switzerland,,,,,,,,,,,
1004082,Blumenstein,Hydro,0.64,,,1918,,,,,Swiss Federal Office of Energy,http://www.bfe.admin.ch/themen/00490/00491/index.html?lang=en,,,,,,,Operational,Switzerland,,,,,,,,,,,
1004083,Bocki 1,Hydro,1.7,,,1931,,,,,Swiss Federal Office of Energy,http://www.bfe.admin.ch/themen/00490/00491/index.html?lang=en,,,,,,,Operational,Switzerland,,,,,,,,,,,
1004083,Bocki 2,Hydro,7,,,1963,,,,,Swiss Federal Office of Energy,http://www.bfe.admin.ch/themen/00490/00491/index.html?lang=en,,,,,,,Operational,Switzerland,,,,,,,,,,,
1004084,Bondo,Hydro,6.9,,,1962,,,,,Swiss Federal Office of Energy,http://www.bfe.admin.ch/themen/00490/00491/index.html?lang=en,,,,,,,Operational,Switzerland,,,,,,,,,,,
1004085,Bortelalp,Hydro,2.35,,,1990,,,,,Swiss Federal Office of Energy,http://www.bfe.admin.ch/themen/00490/00491/index.html?lang=en,,,,,,,Operational,Switzerland,,,,,,,,,,,
1004086,Boudry (les Essert),Hydro,0.5,,,2014,,,,,Swiss Federal Office of Energy,http://www.bfe.admin.ch/themen/00490/00491/index.html?lang=en,,,,,,,Operational,Switzerland,,,,,,,,,,,
1004087,Bözingen,Hydro,3.25,,,1876,,,,,Swiss Federal Office of Energy,http://www.bfe.admin.ch/themen/00490/00491/index.html?lang=en,,,,,,,Operational,Switzerland,,,,,,,,,,,
1004088,Bramois (Groupe 7),Hydro,0.43,,,1953,,,,,Swiss Federal Office of Energy,http://www.bfe.admin.ch/themen/00490/00491/index.html?lang=en,,,,,,,Operational,Switzerland,,,,,,,,,,,
1004089,Bramois (Groupes 1 à 4),Hydro,25.2,Buochs,,1915,,,,,Swiss Federal Office of Energy,http://www.bfe.admin.ch/themen/00490/00491/index.html?lang=en,,,,,,,Operational,Switzerland,,,,,,,,,,,
1004090,Breite Stäg,Hydro,1.3,,,2010,,,,,Swiss Federal Office of Energy,http://www.bfe.admin.ch/themen/00490/00491/index.html?lang=en,,,,,,,Operational,Switzerland,,,,,,,,,,,
1004091,Bremgarten-Zufikon,Hydro,20,,,1975,,,,,Swiss Federal Office of Energy,http://www.bfe.admin.ch/themen/00490/00491/index.html?lang=en,,,,,,,Operational,Switzerland,,,,,,,,,,,
1004092,Broc,Hydro,25,Wolhusen,,1921,,,,,Swiss Federal Office of Energy,http://www.bfe.admin.ch/themen/00490/00491/index.html?lang=en,,,,,,,Operational,Switzerland,,,,,,,,,,,
1004093,Brügg,Hydro,5.2,,,1995,,,,,Swiss Federal Office of Energy,http://www.bfe.admin.ch/themen/00490/00491/index.html?lang=en,,,,,,,Operational,Switzerland,,,,,,,,,,,
1004094,Bruggmühle,Hydro,0.54,,,1998,,,,,Swiss Federal Office of Energy,http://www.bfe.admin.ch/themen/00490/00491/index.html?lang=en,,,,,,,Operational,Switzerland,,,,,,,,,,,
1004095,"Brummbach, Braunwald",Hydro,0.93,,,2014,,,,,Swiss Federal Office of Energy,http://www.bfe.admin.ch/themen/00490/00491/index.html?lang=en,,,,,,,Operational,Switzerland,,,,,,,,,,,
1004096,"Brummbach, Linthal",Hydro,3.9,,,1921,,,,,Swiss Federal Office of Energy,http://www.bfe.admin.ch/themen/00490/00491/index.html?lang=en,,,,,,,Operational,Switzerland,,,,,,,,,,,
1004097,Buochs,Hydro,0.33,,,1888,,,,,Swiss Federal Office of Energy,http://www.bfe.admin.ch/themen/00490/00491/index.html?lang=en,,,,,,,Closed,Switzerland,,,,,,,,,,,
1004098,Buoholzbach,Hydro,2,,,2013,,,,,Swiss Federal Office of Energy,http://www.bfe.admin.ch/themen/00490/00491/index.html?lang=en,,,,,,,Operational,Switzerland,,,,,,,,,,,
1004099,Burentobel,Hydro,0.3,,,2008,,,,,Swiss Federal Office of Energy,http://www.bfe.admin.ch/themen/00490/00491/index.html?lang=en,,,,,,,Operational,Switzerland,,,,,,,,,,,
1004100,Bürglen (Kanal),Hydro,0.7,,,1872,,,,,Swiss Federal Office of Energy,http://www.bfe.admin.ch/themen/00490/00491/index.html?lang=en,,,,,,,Operational,Switzerland,,,,,,,,,,,
1004101,Bürglen (Loreto),Hydro,1.5,,,1895,,,,,Swiss Federal Office of Energy,http://www.bfe.admin.ch/themen/00490/00491/index.html?lang=en,,,,,,,Operational,Switzerland,,,,,,,,,,,
1004102,Bürglen (Säge),Hydro,0.44,,,1956,,,,,Swiss Federal Office of Energy,http://www.bfe.admin.ch/themen/00490/00491/index.html?lang=en,,,,,,,Operational,Switzerland,,,,,,,,,,,
1004103,Bürglen (Unterschächen),Hydro,20.8,Bäch,,1967,,,,,Swiss Federal Office of Energy,http://www.bfe.admin.ch/themen/00490/00491/index.html?lang=en,,,,,,,Operational,Switzerland,,,,,,,,,,,
1004104,Büttenen 1,Hydro,0.55,,,1861,,,,,Swiss Federal Office of Energy,http://www.bfe.admin.ch/themen/00490/00491/index.html?lang=en,,,,,,,Operational,Switzerland,,,,,,,,,,,
1004104,Büttenen 2,Hydro,0.5,,,1864,,,,,Swiss Federal Office of Energy,http://www.bfe.admin.ch/themen/00490/00491/index.html?lang=en,,,,,,,Operational,Switzerland,,,,,,,,,,,
1004105,Calcaccia,Hydro,3.6,,,1922,,,,,Swiss Federal Office of Energy,http://www.bfe.admin.ch/themen/00490/00491/index.html?lang=en,,,,,,,Operational,Switzerland,,,,,,,,,,,
1004106,Campo Vallemaggia,Hydro,1.28,,,2002,,,,,Swiss Federal Office of Energy,http://www.bfe.admin.ch/themen/00490/00491/index.html?lang=en,,,,,,,Operational,Switzerland,,,,,,,,,,,
1004107,Campocologno 1,Hydro,50,Flims,,1907,,,,,Swiss Federal Office of Energy,http://www.bfe.admin.ch/themen/00490/00491/index.html?lang=en,,,,,,,Operational,Switzerland,,,,,,,,,,,
1004108,Campocologno 2,Hydro,1.62,,,1950,,,,,Swiss Federal Office of Energy,http://www.bfe.admin.ch/themen/00490/00491/index.html?lang=en,,,,,,,Operational,Switzerland,,,,,,,,,,,
1004109,Castasegna,Hydro,100,Challex,,1959,,,,,Swiss Federal Office of Energy,http://www.bfe.admin.ch/themen/00490/00491/index.html?lang=en,,,,,,,Operational,Switzerland,,,,,,,,,,,
1004110,Cavaglia,Hydro,8.3,,,1927,,,,,Swiss Federal Office of Energy,http://www.bfe.admin.ch/themen/00490/00491/index.html?lang=en,,,,,,,Operational,Switzerland,,,,,,,,,,,
1004111,Cavergno,Hydro,114,Wittenbach,,1955,,,,,Swiss Federal Office of Energy,http://www.bfe.admin.ch/themen/00490/00491/index.html?lang=en,,,,,,,Operational,Switzerland,,,,,,,,,,,
1004112,Cerentino,Hydro,1.38,,,2004,,,,,Swiss Federal Office of Energy,http://www.bfe.admin.ch/themen/00490/00491/index.html?lang=en,,,,,,,Operational,Switzerland,,,,,,,,,,,
1004113,Ceresa 1,Hydro,2,,,1950,,,,,Swiss Federal Office of Energy,http://www.bfe.admin.ch/themen/00490/00491/index.html?lang=en,,,,,,,Operational,Switzerland,,,,,,,,,,,
1004114,Chable II,Hydro,0.42,,,2014,,,,,Swiss Federal Office of Energy,http://www.bfe.admin.ch/themen/00490/00491/index.html?lang=en,,,,,,,Operational,Switzerland,,,,,,,,,,,
