PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Age,Units,Owner,Annual Generation (GWh),Other,Source,URL,Latitude,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_specific_emissions_tCO2/MWh
1019058,EC Wrotków,Natural Gas,231,,,,,,1341.61,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Poland,,,,,,,,,,,,,
1019059,Chorzów,Coal,226,,,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Poland,,50.30798,18.96949,,,,,,,,,,
1019060,Gdańsk 2,Coal,217,,,,,,1437.017,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Poland,,54.378105,18.64128,,,,,,,,,,
1019061,EC Łódź-3,Coal,205,,,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Poland,,51.798258,19.42201,,,,,,,,,,
1019062,Połaniec 2-Pasywna,Biomass,205,,,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Poland,,50.43719,21.3399,,,,,,,,,,
1019063,FW Darłowo,Wind,202,,Onshore,,,,345.118,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Poland,,54.450406,16.42242,,,,,,,,,,
1019064,EC Łódź-4,Coal,198,,,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Poland,,51.74571,19.538785,,,,,,,,,,
1019065,Solina,Hydro,198,,Pumped Storage,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Poland,,,,,,,,,,,,,
1019066,Jaworzno 2,Coal,189,,,,,,839.264,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Poland,,,,,,,,,,,,,
1019067,Zielona Góra,Natural Gas,188,,,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Poland,,51.9513,15.488,,,,,,,,,,
1019068,Bydgoszcz 2,Coal,183,,,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Poland,,,,,,,,,,,,,
1019069,Blachownia,Natural Gas,158,,,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Poland,,,,,,,,,,,,,
1019070,Żydowo,Hydro Pumped Storage,157,,Pumped Storage,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Poland,,54.024965,16.7069,,,,,,,,,,
1019071,EC Białystok,Coal,157,,,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Poland,,53.1488,23.169184,,,,,,,,,,
1019072,Włocławek,Hydro,156,,Run-of-River,,,,169.744,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Poland,,52.6564,19.1339,,,,,,,,,,
1019073,Karolin 1,Coal,149,,,,,,829.352,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Poland,,,,,,,,,,,,,
1019075,Katowice,Coal,135,,,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Poland,,,,,,,,,,,,,
1019076,Pomorzany,Coal,134,,,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Poland,,,,,,,,,,,,,
1019077,EC Nowa Sarzyna,Natural Gas,129,,,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Poland,,,,,,,,,,,,,
1019078,Konin,Lignite Coal,128,,,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Poland,,,,,,,,,,,,,
1019079,Nowa,Coal,125,,,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Poland,,,,,,,,,,,,,
1019080,Farma Wiatrowa Margonin,Wind,120,,Onshore,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Poland,,52.969194,17.119249,,,,,,,,,,
1019081,ZA Puławy,Coal,112,,,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Poland,,,,,,,,,,,,,
1019082,International Paper Kwidzyn,Coal,112,,,,,,467.639,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Poland,,,,,,,,,,,,,
1019083,FW EGL,Wind,111,,Onshore,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Poland,,,,,,,,,,,,,
1019084,Karolin 2,Coal,106,,,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Poland,,,,,,,,,,,,,
1019085,Gdynia 3,Coal,105,,,,,,446.513,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Poland,,,,,,,,,,,,,
1019086,Azoty Tarnów,Coal,102,,,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Poland,,50.027864,20.908151,,,,,,,,,,
1019087,EC Rzeszów,Natural Gas,101,,,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Poland,,,,,,,,,,,,,
1019088,Zakłady Chemiczne Police SA,Coal,100,,,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Poland,,53.5749,14.53282,,,,,,,,,,
1019089,Mondi Świecie,Coal,100,,,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Poland,,53.393815,18.375138,,,,,,,,,,
1019090,Czechnica,Coal,100,,,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Poland,,,,,,,,,,,,,
1019091,Gorzów,Natural Gas,98,,,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Poland,,,,,,,,,,,,,
1019092,Tychy,Coal,40,,,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Poland,,50.10593,19.016349,,,,,,,,,,
1019074,EC Gorzów,Natural Gas,0,,,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Poland,,,,,,,,,,,,,
