PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Age,Units,Owner,Annual Generation (GWh),Other,Source,URL,Source 2,URL 2,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,
1023863,Hongsongwa,Wind,155.7,Inner Mongolia,Onshore Wind,,,,,,China Wind Power Center,http://www.cwpc.cn/cwpp/en/information/wind-farms-china/wind-farm-map/,,,,,,,,,Operating,China,,42.560177,117.7357,,,,,
1026354,TBEA Hami,Solar,20,,PV,,,"TBEA Hami New Energy Co., Ltd.",,,CDM,http://cdm.unfccc.int/Projects/DB/CEC1350629722.5/history,,,,,,,,,Operating,China,,43.0157,93.633,,,,,
1000525,Niululing,Hydro,80,Wanquan,,1979,,,281,Hydro,State Electricity Regulatory Commission Dam Safety Supervision Center,http://www.dam.com.cn/damView/view.jsp?id=1007,Global Reservoir and Dam,http://sedac.ciesin.columbia.edu/data/collection/grand-v85,,,,,,,Operating,China,,19.012083,110.19625,,,Qionghai,,
1023862,Saihanba,Wind,165.75,Inner Mongolia,Onshore Wind,,,,,,China Wind Power Center,http://www.cwpc.cn/cwpp/en/information/wind-farms-china/wind-farm-map/,,,,,,,,,Operating,China,,42.60514,117.6819,,,,,
1026355,Qinghai Jingneng Ge'ermu,Solar,20,,PV,,,"Qinghai Jingneng Construction Investment Co., Ltd.",,,CDM,http://cdm.unfccc.int/Projects/DB/ERM-CVS1351863806.17/view,,,,,,,,,Operating,China,,36.3975,95.24446,,,,,
1000530,Liangjiang,Hydro,20,,Run of the River,2005,,,,,State Electricity Regulatory Commission Dam Safety Supervision Center,http://www.dam.com.cn/damView/view.jsp?id=1743,,,,,,,,,Operating,China,,42.577315,128.089035,,,,,
1023861,Wudaogou,Wind,49.5,Inner Mongolia,Onshore Wind,,,,,,China Wind Power Center,http://www.cwpc.cn/cwpp/en/information/wind-farms-china/wind-farm-map/,,,,,,,,,Operating,China,,42.620036,117.9562,,,,,
1026356,Gansu Zhangye,Solar,10,,PV,,,Longyuan Zhangye New Energy Development Company,,,CDM,https://cdm.unfccc.int/Projects/DB/TUEV-RHEIN1342499751.82/view,,,,,,,,,Operating,China,,38.7215,100.406,,,,,
1019318,Angu,Hydro,772,Dadu,Dam with Reservoir,,4x190,,,,Toshiba,https://www.toshiba.com.cn/news/business_news/news_2015/news-20150929-01.html,,,,,,,,,Operating,China,,29.517643,103.636736,,,,,安谷水电站
1023860,Dongshan,Wind,57.2,Inner Mongolia,Onshore Wind,,,,,,China Wind Power Center,http://www.cwpc.cn/cwpp/en/information/wind-farms-china/wind-farm-map/,,,,,,,,,Operating,China,,42.620036,117.9398,,,,,
1000501,Langyashan,Hydro,658,,Pumped Storage,2005,,,,,Vaptech,http://www.vaptech.bg/uploads/references/References_Hydro-rev20130115.pdf,,,,,,,,,Operating,China,,32.30747,118.269671,,,,,
1019316,Chuhe,Hydro,276,Han River,Dam with Reservoir,,6x46,,,,Baike,http://baike.baidu.com/subview/10536518/10723674.htm,,,,,,,,,Operating,China,,32.926842,109.697607,,,,,蜀河水电站
1019317,Tongzilin,Hydro,600,Yalong,Dam with Reservoir,,4x150,,,,Baike,http://baike.baidu.com/view/4016426.htm,,,,,,,,,Operating,China,,26.70721,101.850745,,,,,桐子林水电站
1000552,Shuangpai,Hydro,150,Xiao Shui,,1962,,,,Hydro,CDM,https://cdm.unfccc.int/filestorage/E/V/G/EVG17JAMYXC2Z4LNBDTKO8P5RS390H/Hunan%20Shuangpai%20Hydropower%20Expansion%20Project%20PDD.pdf?t=cjh8b2JseHg4fDAC_f7BwCGcJWElKxtGMHso,Global Reservoir and Dam,http://sedac.ciesin.columbia.edu/data/collection/grand-v60,,,,,,,Operating,China,,25.95375,111.682917,,,Shuangpai,,
1000573,Huashan,Hydro,10,Gushui He,Dam with Reservoir,1994,,,,Hydro,CDM,https://cdm.unfccc.int/filestorage/5/0/K/50KAS8OJZR4XVL6WM2BE9DQC7PNIY3/Redford%20Huashan-GSP%20PDD%20%28V1%209Feb2012%29-uploaded.pdf?t=Y1R8b2JtNDJxfDC6UTUIOydvF5TZdKo1UE9M,Global Reservoir and Dam,http://sedac.ciesin.columbia.edu/data/collection/grand-v75,,,,,,,Operating,China,,23.899583,112.567083,,,Guangning,,
1000578,Bailongtan,Hydro,192,Hongshuihe,dam with Reservoir,,,,,,CEDC,http://www.ghcb.com.cn/index.php/a/show/catid/20/id/76/index.html,,,,,,,,,Operating,China,,23.855984,108.132119,,,,,百龙滩水电站
1000508,Yamzho Yumco,Hydro,510,Yarlung Zango,,2011,,Gezhouba Group,2500,Hydro,China Daily Asia,http://www.chinadailyasia.com/nation/2015-10/13/content_15329030.html,Global Reservoir and Dam,http://sedac.ciesin.columbia.edu/data/collection/grand-v6,,,,,,,Operating,China,,29.095417,90.377083,,,,,
1000492,Danjiangkou,Hydro,900,Han Shui,,1973,,,,Hydro,China Development Gateway,https://web.archive.org/web/20160303213752/http://chinagate.cn/english/1393.htm,Global Reservoir and Dam,http://sedac.ciesin.columbia.edu/data/collection/grand-v17,,,,,,,Operating,China,,32.557917,111.487917,,,Danjiangkou,,
1000531,Wanjiazhai,Hydro,1080,Yellor River,Gravity Dam with Reservoir,2000,6x180,,,,China Development Gateway,https://web.archive.org/web/20160303215031/http://chinagate.cn/english/1405.htm,,,,,,,,,Operating,China,,39.578651,111.428917,,,,,
1000541,Jilebulake,Hydro,160,Haba River,Dam with Reservoir,2013,,,495,,China Energy News,http://feature.mei.net.cn/dg12q1/news/20120322/421269.html,,,,,,,,,Operating,China,,48.264329,86.399137,,,,,
1000548,Xilongchi,Hydro,1200,,Pumped Storage,2007,4x300,,,,China Gezhouba,http://web.archive.org/web/20140720175804/http://www.gzbgj.com/english/article.aspx?menuid=1380&tab=tab_e&tabid=1413,,,,,,,,,Operating,China,,38.534239,113.269205,,,,,
1026357,Jiangsu Dafeng,Solar,20,,PV,,,"CPI Dafeng Solar Power Generation Co., Ltd.",,,CDM,https://cdm.unfccc.int/Projects/DB/Germanischer1342171418.8/view,,,,,,,,,Operating,China,,33.1389,120.8162,,,,,
1023859,Sunjiaying,Wind,100.5,Inner Mongolia,Onshore Wind,,,,,,China Wind Power Center,http://www.cwpc.cn/cwpp/en/information/wind-farms-china/wind-farm-map/,,,,,,,,,Operating,China,,42.677818,118.0476,,,,,
1026358,Dahe Solar Power Project,Solar,40,,PV,,,Zhangjiakou Wind and Solar Power Energy Demonstration Station Co.,,,CDM,https://cdm.unfccc.int/Projects/DB/RWTUV1341350687.73/view,,,,,,,,,Operating,China,,41.0681,114.3762,,,,,
1000517,Bailianhe,Hydro,300,Xishui He,,1960,,,,Hydro,Vaptech,http://www.vaptech.bg/uploads/references/References_Hydro-rev20130115.pdf,Global Reservoir and Dam,http://sedac.ciesin.columbia.edu/data/collection/grand-v24,,,,,,,Operating,China,,30.587083,115.450417,,,Xishui-Yingshan,,
1023858,Fangjiatun,Wind,49.5,Liaoning,Onshore Wind,,,,,,China Wind Power Center,http://www.cwpc.cn/cwpp/en/information/wind-farms-china/wind-farm-map/,,,,,,,,,Operating,China,,42.693176,122.8637,,,,,
